a40 b40 c40 d40 e40 f40 g40 h40 
a11 b11 c11 d11 e11 f11 g11 h11 
a26 b26 c26 d26 e26 f26 g26 h26 
a8 b8 c8 d8 e8 f8 g8 h8 
a10 b10 c10 d10 e10 f10 g10 h10 
a188 b188 c188 d188 e188 f188 g188 h188 
a18 b18 c18 d18 e18 f18 g18 h18 
a4 b4 c4 d4 e4 f4 g4 h4 
a15 b15 c15 d15 e15 f15 g15 h15 
a19 b19 c19 d19 e19 f19 g19 h19 
a191 b191 c191 d191 e191 f191 g191 h191 
a68 b68 c68 d68 e68 f68 g68 h68 
a189 b189 c189 d189 e189 f189 g189 h189 
a12 b12 c12 d12 e12 f12 g12 h12 
a165 a452 b165 c165 d165 e165 f165 g165 h165 
a7 b7 c7 d7 e7 f7 g7 h7 
a70 b70 c70 d70 e70 f70 g70 h70 
a5 b5 c5 d5 e5 f5 g5 h5 
a314 b314 c314 d314 e314 f314 g314 h314 
a202 b202 c202 d202 e202 f202 g202 h202 
a64 b64 c64 d64 e64 f64 g64 h64 
a196 b196 c196 d196 e196 f196 g196 h196 
a3 b3 c3 d3 e3 f3 g3 h3 
a283 b283 c283 d283 e283 f283 g283 h283 
a36 b36 c36 d36 e36 f36 g36 h36 
a309 b309 c309 d309 e309 f309 g309 h309 
a316 b316 c316 d316 e316 f316 g316 h316 
a292 b292 c292 d292 e292 f292 g292 h292 
a233 b233 c233 d233 e233 f233 g233 h233 
a6 b6 c6 d6 e6 f6 g6 h6 
a29 b29 c29 d29 e29 f29 g29 h29 
a9 b9 c9 d9 e9 f9 g9 h9 
a105 b105 c105 d105 e105 f105 g105 h105 
a304 b304 c304 d304 e304 f304 g304 h304 
a276 b276 c276 d276 e276 f276 g276 h276 
a371 b371 c371 d371 e371 f371 g371 h371 
a305 b305 c305 d305 e305 f305 g305 h305 
a56 b56 c56 d56 e56 f56 g56 h56 
a23 b23 c23 d23 e23 f23 g23 h23 
a339 b339 c339 d339 e339 f339 g339 h339 
a163 b163 c163 d163 e163 f163 g163 h163 
a92 b92 c92 d92 e92 f92 g92 h92 
a277 b277 c277 d277 e277 f277 g277 h277 
a1 b1 c1 d1 e1 f1 g1 h1 
a116 b116 c116 d116 e116 f116 g116 h116 
a59 b59 c59 d59 e59 f59 g59 h59 
a228 b228 c228 d228 e228 f228 g228 h228 
a175 b175 c175 d175 e175 f175 g175 h175 
a50 b50 c50 d50 e50 f50 g50 h50 
a108 b108 c108 d108 e108 f108 g108 h108 
a178 b178 c178 d178 e178 f178 g178 h178 
a33 b33 c33 d33 e33 f33 g33 h33 
a37 b37 c37 d37 e37 f37 g37 h37 
a133 b133 c133 d133 e133 f133 g133 h133 
a392 b392 c392 d392 e392 f392 g392 h392 
a209 b209 c209 d209 e209 f209 g209 h209 
a194 b194 c194 d194 e194 f194 g194 h194 
a122 b122 c122 d122 e122 f122 g122 h122 
a197 b197 c197 d197 e197 f197 g197 h197 h406 h572 
a17 b17 c17 d17 e17 f17 g17 h17 
a45 b45 c45 d45 e45 f45 g45 h45 
a345 b345 c345 d345 e345 f345 g345 h345 
a95 b95 c95 d95 e95 f95 g95 h95 
a43 b43 c43 d43 e43 f43 g43 h43 
a172 b172 c172 d172 e172 f172 g172 h172 
a337 b337 c337 d337 e337 f337 g337 h337 
a79 b79 c79 d79 e79 f79 g79 h79 
a30 b30 c30 d30 d404 e30 f30 g30 h30 
a14 b14 c14 d14 e14 f14 g14 h14 
a77 b77 c77 d77 e77 f77 g77 h77 
a21 b21 c21 d21 e21 f21 g21 h21 
a343 b343 c343 d343 e343 f343 g343 h343 
a78 b78 c78 d78 e78 f78 g78 h78 
a240 b240 c240 d240 e240 f240 g240 h240 
a44 b44 c44 d44 e44 f44 g44 h44 
a13 b13 c13 d13 e13 f13 g13 h13 
a236 b236 c236 d236 e236 f236 g236 h236 
a110 b110 c110 d110 e110 f110 g110 h110 
a170 b170 c170 d170 e170 f170 g170 h170 
a41 b41 c41 d41 e41 f41 g41 h41 
a251 b251 c251 d251 e251 f251 g251 h251 
a354 b354 c354 d354 e354 f354 g354 h354 
