mo14210	hu12906
mo10232	hu18032
mo16086	hu14114
mo10282	hu7866
mo13265	hu15073
mo2344	hu15723
hu17628	mo15809
mo9089	hu15033
mo8240	hu13346
mo16790	hu16737
rt14782	hu15492
mo4714	hu12224
mo3402	hu6624
mo4097	hu14
mo12822	hu11649
rt3496	hu7253	mo9223
rt12975	hu16574
rt11331	mo15158
rt13037	mo14051
hu14687	mo11826	rt9148
rt13678	mo15420
mo15568	hu15487
rt166	hu13397
rt13802	mo16952
mo16948	hu13497
rt15166	hu16005	mo16491
rt13682	mo8033
rt692	hu3110	mo678
mo15053	hu12347
rt12081	hu17972
rt10637	hu855	mo13230
mo16879	hu8683
mo5397	hu4660
rt15523	mo16994
mo15448	hu15667
rt5767	mo15955
rt9050	mo14081
mo8334	hu12484
mo2654	hu11481
mo14425	hu5315
mo15316	hu10039
mo4256	hu13432
mo15996	hu3835
hu11118	mo6479	rt7821
rt14812	hu15235
rt15254	mo11703
hu9269	mo7079	rt3104
rt15199	mo841
mo8067	hu6939
rt4475	mo16075
mo7346	hu11391
mo12842	hu8095	rt12965
mo16617	hu13349
rt13554	hu14799
mo6231	hu13026
rt9376	hu10575	mo11620
rt15471	hu17214
hu12393	mo15900	rt7265
mo5733	hu3577
mo894	hu14364	rt7835
hu173	mo13124	rt9212
rt15029	hu16955	mo15657
mo10706	hu11097
mo14106	hu4323
hu16858	mo14490	rt12734
mo14848	hu18027
mo8274	hu13029
hu17167	mo9056	rt11575
mo11874	hu12775
hu14884	mo12688	rt14533
mo13041	hu17784
rt6559	mo16344
mo10289	hu11247
rt15123	mo14543
hu6670	mo34	rt1857
mo13575	hu14913
mo16255	hu15454
hu6716	rt13999
mo16045	hu10827
hu13334	mo1012	rt8077
rt15500	mo16299
rt14952	mo14908
mo15717	hu17958
mo13786	hu17514
mo6889	hu13897
hu12532	mo8433	rt10636
mo15893	hu14377
rt15490	mo14006
rt13772	mo16823
rt14959	mo14611
mo15331	hu6352
hu4943	mo8371	rt7393
rt15238	mo16666
hu16233	mo13468	rt6916
mo4984	hu16325
rt4667	mo7237
mo5869	hu10056
hu2929	mo2572	rt5653
hu6130	mo3643
rt14885	mo13158
rt12426	mo5611
mo8337	hu12895
mo11280	hu4140
mo4018	hu4402
rt14967	mo14679
rt4502	hu11620
mo10540	hu10363
mo12796	hu7324
hu1766	mo6784	rt1648
rt495	hu995
hu6471	mo396	rt10831
mo7515	rt15666
mo8495	hu17173
rt13096	mo10655
rt12922	mo15580
rt10309	mo16928
mo15156	hu4543
mo15806	hu9293
hu16240	mo1966	rt14217
rt4756	mo13153
mo7494	hu7028
mo15501	hu15356
mo9573	hu12760
mo5568	hu4170	rt2685
rt15225	mo14890
mo14704	hu7675
mo16193	hu11014
mo16663	hu5100
rt82	hu6500	mo7273
rt7751	hu1448	mo11599
rt15316	hu10574
rt3971	hu14607	mo11995
rt14040	mo10294
mo16566	hu8361
mo16142	hu16483
mo2439	hu1005
rt651	hu8300	mo2702
mo2994	hu9427	rt11307
mo13321	hu14462
rt3998	mo11448
rt15229	hu10736
mo12666	hu14858	rt14908
mo10441	hu10021
mo9083	hu1729
hu5060	mo796	rt989
rt12178	hu14926
rt15528	mo16069
hu15278	mo17476	rt15722
mo14731	hu7251
mo14622	hu9341
rt14437	mo16980
hu10119	mo8503
mo9630	hu10685	rt4912
rt9596	hu8168	mo12034
mo17430	hu1183
mo15667	hu17998
mo8111	hu13621
mo13422	hu10161
mo16463	hu14720
rt13310	mo16273
mo1654	hu4238
mo11530	hu12024
rt3540	hu12868	mo8974
rt14377	hu14568	mo16590
mo11399	hu13664
mo826	hu1839
rt11373	mo16339
rt13136	hu11598	mo5932
mo16863	hu15982
hu15283	mo14922	rt8076
mo1374	hu4933
mo12409	hu15514
rt8658	hu13640	mo5782
mo16132	hu13759
mo5199	hu5185
rt2636	hu10109	mo8984
mo14650	hu11143
mo2847	hu6704
mo4268	hu6427
mo16873	hu17336
rt12174	mo345
rt800	hu5163
hu17122	mo4805
mo15135	hu17743	rt14997
mo3142	hu6202
rt2472	hu7453
mo12709	hu12092
hu2694	mo14277	rt6758
rt3051	hu7504	mo5571
hu1297	mo3097	rt3646
rt13981	mo13926
mo15410	hu17689
rt12600	mo15542
rt4945	hu712	mo3488
hu1344	mo22	rt92
rt14502	hu16425	mo16294
rt9467	hu14575
mo10117	hu10190
mo16842	hu17365
mo15961	hu2110
rt1256	hu1021	mo7291
mo14340	hu7813
rt1920	hu729	mo10001
mo15064	hu1897
rt6998	hu9982	mo5065
mo11326	hu14315	rt13200
hu4117	mo9270	rt6392
mo15987	hu2156
mo13472	hu15133
