cat_cow,9798/15381,63.70196996294129%
cat_dog,9928/15490,64.09296320206585%
cat_guinea_pig,9897/14733,67.1757279576461%
cat_horse,10050/15288,65.73783359497645%
cat_human,10183/15500,65.69677419354839%
cat_mouse,9531/15383,61.958005590587014%
cat_pig,9920/15703,63.17264217028593%
cat_rabbit,8973/14072,63.76492325184764%
cat_rat,9115/14832,61.4549622437972%
cat_sheep,9768/15316,63.7764429354923%
cow_dog,12217/15435,79.15127955944283%
cow_guinea_pig,12124/14835,81.72564880350522%
cow_horse,12357/15429,80.08944195994556%
cow_human,12843/15641,82.1111182149479%
cow_mouse,12023/15580,77.16944801026958%
cow_pig,12453/15655,79.54647077610987%
cow_rabbit,10822/14202,76.20053513589636%
cow_rat,11383/14988,75.94742460635175%
cow_sheep,12346/16454,75.03342652242615%
dog_guinea_pig,12155/14714,82.60840016310996%
dog_horse,12405/15300,81.07843137254902%
dog_human,12837/15616,82.20414959016394%
dog_mouse,11969/15474,77.34910171901254%
dog_pig,12359/15492,79.77665892073328%
dog_rabbit,10784/14145,76.23895369388477%
dog_rat,11303/14862,76.05302112770825%
dog_sheep,12109/15404,78.60945209036613%
guinea_pig_horse,12282/14713,83.47719703663427%
guinea_pig_human,12639/15084,83.79077167859984%
guinea_pig_mouse,12104/15349,78.85855756075314%
guinea_pig_pig,12177/14858,81.95584870103647%
guinea_pig_rabbit,10823/13706,78.96541660586604%
guinea_pig_rat,11402/14663,77.76034917820364%
guinea_pig_sheep,11984/14741,81.29706261447663%
horse_human,12994/15552,83.55195473251028%
horse_mouse,12169/15454,78.74336741296752%
horse_pig,12416/15387,80.69149281861311%
horse_rabbit,11058/14191,77.92262701712353%
horse_rat,11427/14803,77.19381206512193%
horse_sheep,12368/15354,80.55229907515957%
human_mouse,12798/15996,80.00750187546886%
human_pig,13017/15744,82.67911585365853%
human_rabbit,11294/14339,78.76420949857034%
human_rat,11922/15206,78.40326187031435%
human_sheep,12820/15601,82.17421960130761%
mouse_pig,12179/15645,77.84595717481623%
mouse_rabbit,10671/14417,74.01678573905805%
mouse_rat,11789/16674,70.70289072807965%
mouse_sheep,11962/15527,77.03999484768468%
pig_rabbit,10933/14200,76.99295774647888%
pig_rat,11468/15037,76.2652124758928%
pig_sheep,12344/15644,78.90565072871388%
rabbit_rat,10099/13837,72.98547372985473%
rabbit_sheep,10854/14181,76.53903109794796%
rat_sheep,11362/14910,76.20389000670691%
