INTERACTOR_A	INTERACTOR_B
AA1	AA3
AA1	AA5
AA2	AA5
AA3	AA5
AA4	AA5
AA1	AA6
AA2	AA6
AA3	AA6
AA4	AA6
AA1	AA7
AA2	AA7
AA3	AA7
AA5	AA7
AA1	AA8
AA3	AA8
AA6	AA8
AA7	AA8
AA2	AA9
AA3	AA9
AA6	AA9
AA7	AA9
AA3	AA10
AA6	AA10
AA8	AA10
AA9	AA10
AA3	AA11
AA8	AA11
AA9	AA11
AA10	AA11
AA2	AA12
AA4	AA12
AA8	AA12
AA10	AA12
AA2	AA13
AA10	AA13
AA11	AA13
AA12	AA13
AA3	AA14
AA4	AA14
AA10	AA14
AA13	AA14
AA1	AA15
AA8	AA15
AA11	AA15
AA12	AA15
AA4	AA16
AA6	AA16
AA10	AA16
AA15	AA16
AA8	AA17
AA9	AA17
AA10	AA17
AA14	AA17
AA4	AA18
AA6	AA18
AA12	AA18
AA15	AA18
AA6	AA19
AA9	AA19
AA11	AA19
AA18	AA19
AA5	AA20
AA7	AA20
AA16	AA20
AA17	AA20
AA3	AA21
AA4	AA21
AA14	AA21
AA17	AA21
AA7	AA22
AA9	AA22
AA18	AA22
AA19	AA22
AA9	AA23
AA12	AA23
AA18	AA23
AA21	AA23
AA9	AA24
AA19	AA24
AA22	AA24
AA23	AA24
AA3	AA25
AA14	AA25
AA19	AA25
AA22	AA25
AA9	AA26
AA14	AA26
AA16	AA26
AA19	AA26
AA4	AA27
AA12	AA27
AA25	AA27
AA26	AA27
AA12	AA28
AA16	AA28
AA24	AA28
AA27	AA28
AA8	AA29
AA10	AA29
AA12	AA29
AA17	AA29
AA14	AA30
AA17	AA30
AA18	AA30
AA23	AA30
AA1	AA31
AA4	AA31
AA24	AA31
AA26	AA31
AA3	AA32
AA14	AA32
AA21	AA32
AA26	AA32
AA21	AA33
AA23	AA33
AA24	AA33
AA31	AA33
AA5	AA34
AA18	AA34
AA19	AA34
AA20	AA34
AA3	AA35
AA11	AA35
AA19	AA35
AA23	AA35
AA1	AA36
AA7	AA36
AA34	AA36
AA35	AA36
AA12	AA37
AA18	AA37
AA23	AA37
AA34	AA37
AA3	AA38
AA4	AA38
AA9	AA38
AA15	AA38
AA4	AA39
AA6	AA39
AA22	AA39
AA33	AA39
AA2	AA40
AA11	AA40
AA16	AA40
AA19	AA40
AA23	AA41
AA33	AA41
AA39	AA41
AA40	AA41
AA5	AA42
AA13	AA42
AA15	AA42
AA22	AA42
AA15	AA43
AA29	AA43
AA38	AA43
AA40	AA43
AA11	AA44
AA40	AA44
AA42	AA44
AA43	AA44
AA10	AA45
AA30	AA45
AA40	AA45
AA41	AA45
AA2	AA46
AA11	AA46
AA20	AA46
AA28	AA46
AA10	AA47
AA37	AA47
AA41	AA47
AA45	AA47
AA1	AA48
AA23	AA48
AA24	AA48
AA41	AA48
AA11	AA49
AA28	AA49
AA33	AA49
AA36	AA49
AA43	AA50
AA44	AA50
AA48	AA50
AA49	AA50
AA3	AA51
AA4	AA51
AA5	AA51
AA42	AA51
AA19	AA52
AA28	AA52
AA29	AA52
AA50	AA52
AA8	AA53
AA33	AA53
AA43	AA53
AA47	AA53
AA33	AA54
AA39	AA54
AA41	AA54
AA45	AA54
AA3	AA55
AA38	AA55
AA41	AA55
AA43	AA55
AA5	AA56
AA7	AA56
AA15	AA56
AA47	AA56
AA33	AA57
AA49	AA57
AA50	AA57
AA56	AA57
AA18	AA58
AA29	AA58
AA35	AA58
AA44	AA58
AA6	AA59
AA35	AA59
AA36	AA59
AA56	AA59
AA11	AA60
AA16	AA60
AA40	AA60
AA45	AA60
AA39	AA61
AA41	AA61
AA48	AA61
AA58	AA61
AA29	AA62
AA40	AA62
AA43	AA62
AA55	AA62
AA4	AA63
AA12	AA63
AA26	AA63
AA27	AA63
AA18	AA64
AA36	AA64
AA52	AA64
AA59	AA64
AA10	AA65
AA29	AA65
AA43	AA65
AA52	AA65
AA3	AA66
AA13	AA66
AA41	AA66
AA48	AA66
AA24	AA67
AA34	AA67
AA49	AA67
AA63	AA67
AA8	AA68
AA10	AA68
AA11	AA68
AA64	AA68
AA15	AA69
AA16	AA69
AA64	AA69
AA68	AA69
AA64	AA70
AA66	AA70
AA68	AA70
AA69	AA70
AA31	AA71
AA32	AA71
AA47	AA71
AA50	AA71
AA14	AA72
AA22	AA72
AA31	AA72
AA52	AA72
AA5	AA73
AA49	AA73
AA53	AA73
AA63	AA73
AA64	AA74
AA70	AA74
AA71	AA74
AA72	AA74
