INTERACTOR_A	INTERACTOR_B
BB1	BB3
BB1	BB5
BB2	BB5
BB3	BB5
BB4	BB5
BB1	BB6
BB2	BB6
BB3	BB6
BB4	BB6
BB1	BB7
BB2	BB7
BB3	BB7
BB5	BB7
BB1	BB8
BB3	BB8
BB6	BB8
BB7	BB8
BB2	BB9
BB3	BB9
BB6	BB9
BB7	BB9
BB3	BB10
BB6	BB10
BB8	BB10
BB9	BB10
BB3	BB11
BB8	BB11
BB9	BB11
BB10	BB11
BB2	BB12
BB4	BB12
BB8	BB12
BB10	BB12
BB2	BB13
BB10	BB13
BB11	BB13
BB12	BB13
BB3	BB14
BB4	BB14
BB10	BB14
BB13	BB14
BB1	BB15
BB8	BB15
BB11	BB15
BB12	BB15
BB4	BB16
BB6	BB16
BB10	BB16
BB15	BB16
BB8	BB17
BB9	BB17
BB10	BB17
BB14	BB17
BB4	BB18
BB6	BB18
BB12	BB18
BB15	BB18
BB6	BB19
BB9	BB19
BB11	BB19
BB18	BB19
BB5	BB20
BB7	BB20
BB16	BB20
BB17	BB20
BB3	BB21
BB4	BB21
BB14	BB21
BB17	BB21
BB7	BB22
BB9	BB22
BB18	BB22
BB19	BB22
BB9	BB23
BB12	BB23
BB18	BB23
BB21	BB23
BB9	BB24
BB19	BB24
BB22	BB24
BB23	BB24
BB3	BB25
BB14	BB25
BB19	BB25
BB22	BB25
BB9	BB26
BB14	BB26
BB16	BB26
BB19	BB26
BB4	BB27
BB12	BB27
BB25	BB27
BB26	BB27
BB12	BB28
BB16	BB28
BB24	BB28
BB27	BB28
BB8	BB29
BB10	BB29
BB12	BB29
BB17	BB29
BB14	BB30
BB17	BB30
BB18	BB30
BB23	BB30
BB1	BB31
BB4	BB31
BB24	BB31
BB26	BB31
BB3	BB32
BB14	BB32
BB21	BB32
BB26	BB32
BB21	BB33
BB23	BB33
BB24	BB33
BB31	BB33
BB5	BB34
BB18	BB34
BB19	BB34
BB20	BB34
BB3	BB35
BB11	BB35
BB19	BB35
BB23	BB35
BB1	BB36
BB7	BB36
BB34	BB36
BB35	BB36
BB12	BB37
BB18	BB37
BB23	BB37
BB34	BB37
BB3	BB38
BB4	BB38
BB9	BB38
BB15	BB38
BB4	BB39
BB6	BB39
BB22	BB39
BB33	BB39
BB2	BB40
BB11	BB40
BB16	BB40
BB19	BB40
BB23	BB41
BB33	BB41
BB39	BB41
BB40	BB41
BB5	BB42
BB13	BB42
BB15	BB42
BB22	BB42
BB15	BB43
