INTERACTOR_A	INTERACTOR_B
GG1	GG3
GG1	GG5
GG2	GG5
GG3	GG5
GG4	GG5
GG1	GG6
GG2	GG6
GG3	GG6
GG4	GG6
GG1	GG7
GG2	GG7
GG3	GG7
GG5	GG7
GG1	GG8
GG3	GG8
GG6	GG8
GG7	GG8
GG2	GG9
GG3	GG9
GG6	GG9
GG7	GG9
GG3	GG10
GG6	GG10
GG8	GG10
GG9	GG10
GG3	GG11
GG8	GG11
GG9	GG11
GG10	GG11
GG2	GG12
GG4	GG12
GG8	GG12
GG10	GG12
GG2	GG13
GG10	GG13
GG11	GG13
GG12	GG13
GG3	GG14
GG4	GG14
GG10	GG14
GG13	GG14
GG1	GG15
GG8	GG15
GG11	GG15
GG12	GG15
GG4	GG16
GG6	GG16
GG10	GG16
GG15	GG16
GG8	GG17
GG9	GG17
GG10	GG17
GG14	GG17
GG4	GG18
GG6	GG18
GG12	GG18
GG15	GG18
GG6	GG19
GG9	GG19
GG11	GG19
GG18	GG19
GG5	GG20
GG7	GG20
GG16	GG20
GG17	GG20
GG3	GG21
GG4	GG21
GG14	GG21
GG17	GG21
GG7	GG22
GG9	GG22
GG18	GG22
GG19	GG22
GG9	GG23
GG12	GG23
GG18	GG23
GG21	GG23
GG9	GG24
GG19	GG24
GG22	GG24
GG23	GG24
GG3	GG25
GG14	GG25
GG19	GG25
GG22	GG25
GG9	GG26
GG14	GG26
GG16	GG26
GG19	GG26
GG4	GG27
GG12	GG27
GG25	GG27
GG26	GG27
GG12	GG28
GG16	GG28
GG24	GG28
GG27	GG28
GG8	GG29
GG10	GG29
GG12	GG29
GG17	GG29
GG14	GG30
GG17	GG30
GG18	GG30
GG23	GG30
GG1	GG31
GG4	GG31
GG24	GG31
GG26	GG31
GG3	GG32
GG14	GG32
GG21	GG32
GG26	GG32
GG21	GG33
GG23	GG33
GG24	GG33
GG31	GG33
GG5	GG34
GG18	GG34
GG19	GG34
GG20	GG34
GG3	GG35
GG11	GG35
GG19	GG35
GG23	GG35
GG1	GG36
GG7	GG36
GG34	GG36
GG35	GG36
GG12	GG37
GG18	GG37
GG23	GG37
GG34	GG37
GG3	GG38
GG4	GG38
GG9	GG38
GG15	GG38
GG4	GG39
GG6	GG39
GG22	GG39
GG33	GG39
GG2	GG40
GG11	GG40
GG16	GG40
GG19	GG40
GG23	GG41
GG33	GG41
GG39	GG41
GG40	GG41
GG5	GG42
GG13	GG42
GG15	GG42
GG22	GG42
GG15	GG43
GG29	GG43
GG38	GG43
GG40	GG43
GG11	GG44
GG40	GG44
GG42	GG44
GG43	GG44
GG10	GG45
GG30	GG45
GG40	GG45
GG41	GG45
GG2	GG46
GG11	GG46
GG20	GG46
GG28	GG46
GG10	GG47
GG37	GG47
GG41	GG47
GG45	GG47
GG1	GG48
GG23	GG48
GG24	GG48
GG41	GG48
GG11	GG49
GG28	GG49
GG33	GG49
GG36	GG49
GG43	GG50
GG44	GG50
GG48	GG50
GG49	GG50
GG3	GG51
GG4	GG51
GG5	GG51
GG42	GG51
GG19	GG52
GG28	GG52
GG29	GG52
GG50	GG52
GG8	GG53
GG33	GG53
GG43	GG53
GG47	GG53
GG33	GG54
GG39	GG54
GG41	GG54
GG45	GG54
GG3	GG55
GG38	GG55
GG41	GG55
GG43	GG55
GG5	GG56
GG7	GG56
GG15	GG56
GG47	GG56
GG33	GG57
GG49	GG57
GG50	GG57
GG56	GG57
GG18	GG58
GG29	GG58
GG35	GG58
GG44	GG58
GG6	GG59
GG35	GG59
GG36	GG59
GG56	GG59
GG11	GG60
GG16	GG60
GG40	GG60
GG45	GG60
GG39	GG61
GG41	GG61
GG48	GG61
GG58	GG61
GG29	GG62
GG40	GG62
GG43	GG62
GG55	GG62
GG4	GG63
GG12	GG63
GG26	GG63
GG27	GG63
GG18	GG64
GG36	GG64
GG52	GG64
GG59	GG64
GG10	GG65
GG29	GG65
GG43	GG65
GG52	GG65
GG3	GG66
GG13	GG66
GG41	GG66
GG48	GG66
GG24	GG67
GG34	GG67
GG49	GG67
GG63	GG67
GG8	GG68
GG10	GG68
GG11	GG68
GG64	GG68
GG15	GG69
GG16	GG69
GG64	GG69
GG68	GG69
GG64	GG70
GG66	GG70
GG68	GG70
GG69	GG70
GG31	GG71
GG32	GG71
GG47	GG71
GG50	GG71
GG14	GG72
GG22	GG72
GG31	GG72
GG52	GG72
GG5	GG73
GG49	GG73
GG53	GG73
GG63	GG73
GG64	GG74
GG70	GG74
GG71	GG74
GG72	GG74
GG15	GG75
GG26	GG75
GG52	GG75
GG70	GG75
GG18	GG76
GG34	GG76
GG37	GG76
GG71	GG76
GG5	GG77
GG26	GG77
GG30	GG77
GG45	GG77
GG7	GG78
GG29	GG78
GG61	GG78
GG71	GG78
GG8	GG79
GG41	GG79
GG57	GG79
GG74	GG79
GG4	GG80
GG15	GG80
GG18	GG80
GG76	GG80
GG29	GG81
GG58	GG81
GG78	GG81
GG79	GG81
GG3	GG82
GG47	GG82
GG51	GG82
GG57	GG82
GG8	GG83
GG22	GG83
GG33	GG83
GG39	GG83
GG11	GG84
GG40	GG84
GG44	GG84
GG62	GG84
GG11	GG85
GG40	GG85
GG60	GG85
GG78	GG85
GG21	GG86
GG57	GG86
GG62	GG86
GG83	GG86
GG5	GG87
GG7	GG87
GG17	GG87
GG20	GG87
GG17	GG88
GG21	GG88
GG32	GG88
GG86	GG88
GG36	GG89
GG43	GG89
GG44	GG89
GG77	GG89
GG5	GG90
GG86	GG90
GG88	GG90
GG89	GG90
GG11	GG91
GG13	GG91
GG89	GG91
GG90	GG91
GG10	GG92
GG14	GG92
GG17	GG92
GG87	GG92
GG88	GG93
GG89	GG93
GG90	GG93
GG91	GG93
GG64	GG94
GG68	GG94
GG86	GG94
GG88	GG94
GG7	GG95
GG44	GG95
GG70	GG95
GG89	GG95
GG21	GG96
GG26	GG96
GG79	GG96
GG91	GG96
GG11	GG97
GG59	GG97
GG65	GG97
GG78	GG97
GG14	GG98
GG26	GG98
GG77	GG98
GG95	GG98
GG4	GG99
GG5	GG99
GG37	GG99
GG98	GG99
GG12	GG100
GG95	GG100
GG98	GG100
GG99	GG100
GG39	GG101
GG85	GG101
GG88	GG101
GG95	GG101
GG95	GG102
GG97	GG102
GG98	GG102
GG101	GG102
GG95	GG103
GG96	GG103
GG98	GG103
GG102	GG103
GG4	GG104
GG95	GG104
GG98	GG104
GG102	GG104
GG1	GG105
GG2	GG105
GG4	GG105
GG7	GG105
GG26	GG106
GG52	GG106
GG75	GG106
GG105	GG106
GG12	GG107
GG17	GG107
GG87	GG107
GG92	GG107
GG36	GG108
GG59	GG108
GG105	GG108
GG106	GG108
GG36	GG109
GG66	GG109
GG76	GG109
GG89	GG109
GG105	GG110
GG106	GG110
GG108	GG110
GG109	GG110
GG105	GG111
GG106	GG111
GG108	GG111
GG110	GG111
GG19	GG112
GG28	GG112
GG52	GG112
GG65	GG112
GG5	GG113
GG7	GG113
GG17	GG113
GG87	GG113
GG3	GG114
GG19	GG114
GG40	GG114
GG97	GG114
GG12	GG115
GG24	GG115
GG45	GG115
GG92	GG115
GG4	GG116
GG21	GG116
GG51	GG116
GG69	GG116
GG105	GG117
GG108	GG117
GG110	GG117
GG111	GG117
GG35	GG118
GG36	GG118
GG108	GG118
GG116	GG118
GG20	GG119
GG47	GG119
GG50	GG119
GG68	GG119
GG78	GG120
GG116	GG120
GG118	GG120
GG119	GG120
GG15	GG121
GG28	GG121
GG104	GG121
GG114	GG121
GG36	GG122
GG116	GG122
GG118	GG122
GG120	GG122
GG116	GG123
GG118	GG123
GG120	GG123
GG122	GG123
GG26	GG124
GG30	GG124
GG77	GG124
GG89	GG124
GG4	GG125
GG27	GG125
GG28	GG125
GG121	GG125
GG61	GG126
GG119	GG126
GG121	GG126
GG125	GG126
GG116	GG127
GG118	GG127
GG119	GG127
GG123	GG127
GG50	GG128
GG59	GG128
GG102	GG128
GG110	GG128
GG4	GG129
GG31	GG129
GG49	GG129
GG125	GG129
GG57	GG130
GG79	GG130
GG81	GG130
GG96	GG130
GG60	GG131
GG71	GG131
GG73	GG131
GG88	GG131
GG45	GG132
GG60	GG132
GG77	GG132
GG131	GG132
GG1	GG133
GG13	GG133
GG39	GG133
GG83	GG133
GG129	GG134
GG131	GG134
GG132	GG134
GG133	GG134
GG128	GG135
GG129	GG135
GG132	GG135
GG133	GG135
GG34	GG136
GG128	GG136
GG129	GG136
GG135	GG136
GG113	GG137
GG128	GG137
GG133	GG137
GG135	GG137
GG10	GG138
GG69	GG138
GG92	GG138
GG108	GG138
GG129	GG139
GG133	GG139
GG136	GG139
GG138	GG139
GG131	GG140
GG132	GG140
GG133	GG140
GG134	GG140
GG44	GG141
GG79	GG141
GG97	GG141
GG99	GG141
GG23	GG142
GG99	GG142
GG104	GG142
GG107	GG142
GG39	GG143
GG101	GG143
GG141	GG143
GG142	GG143
