INTERACTOR_A	INTERACTOR_B
AA1	AA2
AA1	AA3
AA4	AA5
AA1	AA6
AA4	AA7
AA7	AA8
AA5	AA9
AA1	AA10
AA4	AA10
AA11	AA12
AA12	AA14
AA2	AA15
AA11	AA15
AA13	AA15
AA14	AA15
AA12	AA16
AA15	AA16
AA14	AA19
AA2	AA26
AA14	AA30
AA14	AA37
AA2	AA39
AA11	AA40
AA16	AA41
AA11	AA46
AA9	AA47
AA12	AA49
AA4	AA53
AA10	AA54
AA54	AA55
AA5	AA56
AA2	AA58
AA2	AA61
AA6	AA61
AA8	AA61
AA2	AA67
AA6	AA67
AA7	AA67
AA25	AA67
AA51	AA67
AA14	AA68
AA11	AA70
AA14	AA72
AA5	AA73
AA14	AA75
AA4	AA76
AA15	AA77
AA69	AA77
AA5	AA78
AA4	AA83
AA4	AA84
AA45	AA85
AA11	AA87
AA50	AA91
AA14	AA94
AA65	AA95
AA32	AA97
AA2	AA100
AA11	AA100
AA65	AA101
AA65	AA102
AA77	AA102
AA77	AA104
AA51	AA105
AA67	AA105
AA2	AA107
AA35	AA107
AA66	AA107
AA80	AA107
AA98	AA107
AA65	AA108
AA74	AA108
AA11	AA110
AA14	AA111
AA67	AA112
AA11	AA113
AA14	AA119
AA30	AA119
AA2	AA121
AA90	AA122
AA46	AA123
AA63	AA124
AA92	AA125
AA77	AA126
AA11	AA127
AA2	AA130
AA126	AA131
AA41	AA132
AA82	AA132
AA92	AA132
AA14	AA134
AA20	AA134
AA31	AA134
AA64	AA134
AA65	AA134
AA69	AA134
AA89	AA134
AA104	AA134
AA129	AA134
AA92	AA135
AA13	AA136
AA50	AA141
AA6	AA142
AA7	AA142
AA2	AA143
AA59	AA144
AA50	AA145
AA2	AA146
AA2	AA148
AA2	AA149
AA14	AA150
AA17	AA152
AA92	AA153
AA5	AA154
AA77	AA155
AA1	AA157
AA4	AA157
AA5	AA157
AA1	AA158
AA1	AA159
AA55	AA159
AA107	AA160
AA31	AA164
AA74	AA164
AA86	AA164
AA126	AA164
AA129	AA164
AA161	AA164
AA2	AA165
AA6	AA165
AA61	AA165
AA159	AA165
AA132	AA168
AA63	AA169
AA65	AA170
AA164	AA170
AA14	AA173
AA75	AA173
AA4	AA174
AA14	AA176
AA28	AA176
AA136	AA176
AA63	AA178
AA57	AA179
AA59	AA181
AA171	AA183
AA63	AA185
AA16	AA187
AA82	AA187
AA132	AA187
AA8	AA189
AA66	AA189
AA115	AA189
AA162	AA189
AA184	AA189
AA92	AA190
AA2	AA191
AA163	AA192
AA1	AA193
AA163	AA194
AA5	AA197
AA52	AA200
AA1	AA201
AA164	AA202
AA92	AA203
AA5	AA204
AA36	AA206
AA50	AA206
AA93	AA206
AA65	AA208
AA77	AA208
AA92	AA208
AA95	AA208
AA65	AA209
AA4	AA210
AA6	AA210
AA52	AA210
AA200	AA210
AA14	AA212
AA2	AA213
AA11	AA214
AA2	AA216
AA11	AA216
AA144	AA216
AA4	AA218
AA9	AA218
AA160	AA222
AA14	AA223
AA4	AA224
AA92	AA225
AA5	AA227
AA171	AA227
AA132	AA229
AA206	AA230
AA9	AA231
AA11	AA232
AA16	AA232
AA23	AA232
AA92	AA232
AA118	AA232
AA5	AA233
AA189	AA235
AA132	AA236
AA218	AA238
AA5	AA239
AA6	AA239
AA7	AA239
AA14	AA239
AA63	AA239
AA142	AA239
AA159	AA239
AA14	AA242
AA2	AA244
AA6	AA244
AA7	AA244
AA112	AA244
AA114	AA244
AA157	AA244
AA25	AA245
AA105	AA245
AA107	AA245
AA2	AA246
AA189	AA247
AA61	AA249
AA106	AA252
AA163	AA252
AA50	AA253
AA128	AA254
AA4	AA257
AA80	AA259
AA245	AA259
AA5	AA261
AA9	AA261
AA63	AA261
AA80	AA261
AA61	AA262
AA249	AA262
AA8	AA264
AA159	AA264
AA86	AA265
AA126	AA265
AA129	AA265
AA156	AA265
AA161	AA265
AA175	AA265
AA190	AA265
AA202	AA265
AA208	AA265
AA241	AA265
AA106	AA266
AA163	AA266
AA144	AA269
AA77	AA271
AA106	AA272
AA61	AA273
AA63	AA273
AA2	AA274
AA136	AA275
AA2	AA276
AA15	AA277
AA15	AA278
AA215	AA280
AA2	AA281
AA92	AA282
AA95	AA282
AA102	AA282
AA164	AA282
AA5	AA283
AA16	AA284
AA255	AA284
AA82	AA286
AA187	AA286
AA16	AA287
AA77	AA288
AA265	AA288
AA2	AA293
AA27	AA293
AA165	AA293
AA218	AA293
AA243	AA293
AA284	AA294
AA61	AA295
AA11	AA296
AA14	AA297
AA138	AA297
AA152	AA297
AA54	AA298
AA61	AA298
AA67	AA298
AA239	AA298
AA244	AA298
AA245	AA298
AA4	AA299
AA109	AA300
AA118	AA300
AA55	AA301
AA261	AA301
AA1	AA302
AA2	AA303
AA6	AA303
AA7	AA303
AA189	AA304
AA5	AA305
AA163	AA306
AA183	AA306
AA227	AA306
AA285	AA306
AA207	AA307
AA232	AA307
AA25	AA309
AA76	AA309
AA80	AA309
AA107	AA309
AA63	AA310
AA136	AA312
AA311	AA313
AA63	AA314
AA289	AA314
AA107	AA315
AA182	AA315
AA298	AA315
AA4	AA316
AA10	AA316
AA63	AA316
AA251	AA316
AA264	AA316
AA279	AA316
AA291	AA316
AA293	AA316
AA11	AA317
AA14	AA318
AA2	AA319
AA8	AA319
AA165	AA319
AA264	AA319
AA163	AA320
AA14	AA321
AA89	AA321
AA2	AA323
AA1	AA324
AA4	AA324
AA9	AA324
AA73	AA324
AA78	AA324
AA117	AA324
AA157	AA324
AA180	AA324
AA195	AA324
AA205	AA324
AA220	AA324
AA221	AA324
AA227	AA324
AA233	AA324
AA239	AA324
AA261	AA324
AA268	AA324
AA283	AA324
AA285	AA324
AA313	AA324
AA4	AA325
AA82	AA326
AA187	AA326
AA15	AA327
AA14	AA328
AA2	AA329
AA164	AA330
AA297	AA330
AA14	AA331
AA20	AA331
AA65	AA331
AA85	AA331
AA129	AA331
AA147	AA331
AA156	AA331
AA271	AA331
AA50	AA332
AA100	AA333
AA189	AA334
AA206	AA335
AA297	AA335
AA12	AA336
AA28	AA336
AA181	AA336
AA179	AA337
AA199	AA337
AA100	AA338
AA267	AA340
AA122	AA341
AA165	AA341
AA279	AA341
AA293	AA341
AA319	AA341
AA1	AA343
AA265	AA344
AA25	AA346
AA107	AA346
AA182	AA346
AA261	AA346
AA2	AA347
AA307	AA348
AA297	AA349
AA138	AA350
AA164	AA350
AA321	AA350
AA183	AA351
AA285	AA351
AA218	AA352
AA14	AA353
AA261	AA354
AA298	AA354
AA14	AA355
AA168	AA355
AA187	AA355
AA229	AA355
AA236	AA355
AA326	AA355
AA164	AA356
AA11	AA357
AA5	AA358
AA2	AA359
AA2	AA360
AA1	AA363
AA302	AA363
AA63	AA364
AA2	AA365
AA143	AA365
AA235	AA366
AA324	AA367
AA4	AA369
AA14	AA370
AA22	AA372
AA232	AA372
AA250	AA372
AA255	AA372
AA294	AA372
AA2	AA374
AA213	AA374
AA316	AA375
AA14	AA376
AA24	AA376
AA236	AA376
AA2	AA377
AA8	AA378
AA18	AA378
