INTERACTOR_A	INTERACTOR_B
AA1	AA2
AA1	AA3
AA2	AA3
AA1	AA4
AA2	AA4
AA3	AA4
AA1	AA5
AA2	AA5
AA3	AA5
AA4	AA5
AA1	AA6
AA2	AA6
AA3	AA6
AA4	AA6
AA5	AA6
AA1	AA7
AA2	AA7
AA3	AA7
AA4	AA7
AA5	AA7
AA6	AA7
AA1	AA8
AA2	AA8
AA3	AA8
AA4	AA8
AA5	AA8
AA6	AA8
AA7	AA8
AA1	AA9
AA2	AA9
AA3	AA9
AA4	AA9
AA5	AA9
AA6	AA9
AA7	AA9
AA8	AA9
AA1	AA10
AA2	AA10
AA3	AA10
AA4	AA10
AA5	AA10
AA6	AA10
AA7	AA10
AA8	AA10
AA9	AA10
AA5	AA12
AA7	AA12
AA10	AA12
AA11	AA12
AA8	AA13
AA11	AA13
AA12	AA13
AA11	AA14
AA12	AA14
AA13	AA14
AA9	AA15
AA11	AA15
AA12	AA15
AA13	AA15
AA14	AA15
AA2	AA16
AA11	AA16
AA12	AA16
AA13	AA16
AA14	AA16
AA15	AA16
AA5	AA17
AA10	AA17
AA11	AA17
AA12	AA17
AA13	AA17
AA14	AA17
AA15	AA17
AA16	AA17
AA9	AA18
AA2	AA19
AA8	AA20
AA13	AA21
AA5	AA22
AA13	AA23
AA9	AA24
AA5	AA25
AA13	AA26
AA9	AA27
AA14	AA28
AA11	AA29
AA5	AA30
AA13	AA31
AA9	AA32
AA9	AA33
AA4	AA34
AA15	AA35
AA6	AA36
AA5	AA37
AA15	AA38
AA12	AA39
AA10	AA40
AA4	AA41
AA13	AA42
AA17	AA43
AA9	AA44
AA3	AA45
AA10	AA46
AA10	AA47
AA2	AA48
AA9	AA49
AA2	AA50
AA1	AA51
AA3	AA51
AA5	AA51
AA9	AA51
AA8	AA52
AA37	AA53
AA7	AA54
AA10	AA54
AA11	AA54
AA15	AA54
AA16	AA54
AA2	AA55
AA3	AA55
AA5	AA55
AA9	AA55
AA34	AA55
AA41	AA55
AA11	AA56
AA2	AA57
AA5	AA57
AA8	AA57
AA10	AA57
AA51	AA57
AA29	AA58
AA15	AA59
AA28	AA59
AA14	AA60
AA10	AA61
AA54	AA62
AA52	AA63
AA9	AA64
AA4	AA65
AA27	AA65
AA4	AA66
AA6	AA66
AA24	AA66
AA44	AA66
AA51	AA66
AA29	AA67
AA2	AA68
AA55	AA69
AA9	AA70
AA12	AA71
AA13	AA72
AA59	AA73
AA61	AA73
AA44	AA74
AA51	AA74
AA5	AA75
AA1	AA76
AA5	AA76
AA9	AA76
AA66	AA76
AA15	AA77
AA16	AA77
AA54	AA78
AA3	AA79
AA7	AA79
AA10	AA79
AA52	AA79
AA5	AA80
AA29	AA81
AA9	AA82
AA10	AA83
AA63	AA84
AA10	AA85
AA3	AA86
AA19	AA86
AA52	AA86
AA2	AA87
AA9	AA88
AA9	AA89
AA66	AA89
AA12	AA90
AA37	AA91
AA66	AA92
AA2	AA93
AA8	AA93
AA51	AA93
AA11	AA94
AA12	AA94
AA17	AA94
AA23	AA94
AA42	AA94
AA4	AA95
AA2	AA96
AA5	AA96
AA41	AA96
AA1	AA97
AA3	AA97
AA6	AA97
AA27	AA97
AA55	AA97
AA64	AA97
AA70	AA97
AA76	AA97
AA27	AA98
AA45	AA99
AA2	AA100
AA43	AA101
AA9	AA102
AA9	AA103
AA10	AA104
AA94	AA105
AA3	AA106
AA99	AA106
AA2	AA107
AA94	AA108
AA29	AA109
AA15	AA110
AA1	AA111
AA2	AA111
AA5	AA111
AA7	AA111
AA9	AA111
AA3	AA112
AA5	AA112
AA13	AA112
AA93	AA112
AA9	AA113
AA11	AA114
AA13	AA114
AA15	AA114
AA17	AA114
AA42	AA114
AA43	AA115
AA14	AA116
AA10	AA117
AA15	AA118
AA4	AA119
AA24	AA119
AA51	AA119
AA77	AA119
AA89	AA119
AA92	AA119
AA4	AA120
AA24	AA120
AA44	AA120
AA76	AA120
AA10	AA121
AA57	AA121
AA73	AA121
AA58	AA122
AA67	AA122
AA81	AA122
AA11	AA123
AA12	AA123
AA16	AA123
AA28	AA123
AA116	AA123
AA2	AA124
AA41	AA124
AA51	AA125
AA2	AA126
AA3	AA126
AA7	AA126
AA8	AA126
AA12	AA126
AA25	AA126
AA30	AA126
AA37	AA126
AA57	AA126
AA76	AA126
AA55	AA127
AA3	AA128
AA5	AA128
AA7	AA128
AA2	AA129
AA5	AA129
AA10	AA129
AA121	AA129
AA37	AA130
AA9	AA131
AA59	AA132
AA121	AA132
AA13	AA133
AA28	AA133
AA13	AA134
AA1	AA135
AA3	AA135
AA27	AA135
AA21	AA136
AA69	AA136
AA97	AA136
AA15	AA137
AA13	AA138
AA45	AA139
AA102	AA139
AA9	AA140
AA14	AA141
AA15	AA141
AA53	AA141
AA77	AA141
AA123	AA141
AA13	AA142
AA94	AA142
AA7	AA143
AA30	AA143
AA37	AA143
AA57	AA143
AA94	AA144
AA11	AA145
AA2	AA146
AA50	AA146
AA66	AA147
AA14	AA148
AA101	AA149
AA14	AA150
AA5	AA151
AA10	AA151
AA5	AA152
AA10	AA152
AA29	AA152
AA3	AA153
AA5	AA153
AA28	AA154
AA45	AA154
AA55	AA155
AA3	AA156
AA7	AA156
AA9	AA156
AA10	AA156
AA12	AA156
AA37	AA156
AA55	AA156
AA80	AA156
AA96	AA156
AA111	AA156
AA128	AA156
AA153	AA156
AA11	AA157
AA23	AA157
AA112	AA157
AA134	AA157
AA11	AA158
AA23	AA158
AA112	AA158
AA55	AA159
AA14	AA160
AA49	AA161
AA5	AA162
AA10	AA162
AA2	AA163
AA2	AA164
AA31	AA165
AA72	AA165
AA112	AA165
AA134	AA165
AA142	AA165
AA11	AA166
AA58	AA166
AA109	AA166
AA43	AA167
AA149	AA167
AA2	AA168
AA156	AA169
AA10	AA170
AA12	AA170
AA96	AA170
AA169	AA170
AA56	AA171
AA13	AA172
AA17	AA172
AA39	AA172
AA156	AA172
AA3	AA173
AA2	AA174
AA133	AA175
AA166	AA175
AA2	AA176
AA3	AA176
AA6	AA176
AA65	AA176
AA95	AA176
AA15	AA177
AA171	AA178
AA156	AA179
AA112	AA180
AA165	AA181
AA97	AA182
AA105	AA182
AA10	AA183
AA173	AA183
AA4	AA184
AA5	AA184
AA9	AA184
AA40	AA184
AA54	AA184
AA57	AA184
AA61	AA184
AA151	AA184
AA152	AA184
AA170	AA184
AA183	AA184
AA2	AA185
AA7	AA185
AA34	AA185
AA65	AA185
AA95	AA185
AA119	AA185
AA37	AA186
AA141	AA186
AA28	AA187
AA177	AA188
AA14	AA189
AA185	AA190
AA43	AA191
AA5	AA192
AA89	AA193
AA2	AA194
AA89	AA195
AA54	AA196
AA12	AA197
AA13	AA197
AA14	AA197
AA15	AA197
AA17	AA197
AA77	AA197
AA123	AA197
AA2	AA198
AA15	AA199
AA2	AA200
AA50	AA200
AA2	AA201
AA6	AA201
AA65	AA201
AA3	AA202
AA7	AA202
AA9	AA202
AA96	AA202
AA111	AA202
AA169	AA202
AA6	AA203
AA65	AA203
AA5	AA204
AA183	AA205
AA15	AA206
