INTERACTOR_A	INTERACTOR_B
DD1	DD2
DD1	DD3
DD2	DD3
DD1	DD4
DD2	DD4
DD3	DD4
DD1	DD5
DD2	DD5
DD3	DD5
DD4	DD5
DD1	DD6
DD2	DD6
DD3	DD6
DD4	DD6
DD5	DD6
DD1	DD7
DD2	DD7
DD3	DD7
DD4	DD7
DD5	DD7
DD6	DD7
DD1	DD8
DD2	DD8
DD3	DD8
DD4	DD8
DD5	DD8
DD6	DD8
DD7	DD8
DD1	DD9
DD2	DD9
DD3	DD9
DD4	DD9
DD5	DD9
DD6	DD9
DD7	DD9
DD8	DD9
DD1	DD10
DD2	DD10
DD3	DD10
DD4	DD10
DD5	DD10
DD6	DD10
DD7	DD10
DD8	DD10
DD9	DD10
DD5	DD12
DD7	DD12
DD10	DD12
DD11	DD12
DD8	DD13
DD11	DD13
DD12	DD13
DD11	DD14
DD12	DD14
DD13	DD14
DD9	DD15
DD11	DD15
DD12	DD15
DD13	DD15
DD14	DD15
DD2	DD16
DD11	DD16
DD12	DD16
DD13	DD16
DD14	DD16
DD15	DD16
DD5	DD17
DD10	DD17
DD11	DD17
DD12	DD17
DD13	DD17
DD14	DD17
DD15	DD17
DD16	DD17
DD9	DD18
DD2	DD19
DD8	DD20
DD13	DD21
DD5	DD22
DD13	DD23
DD9	DD24
DD5	DD25
DD13	DD26
DD9	DD27
DD14	DD28
DD11	DD29
DD5	DD30
DD13	DD31
DD9	DD32
DD9	DD33
DD4	DD34
DD15	DD35
DD6	DD36
DD5	DD37
DD15	DD38
DD12	DD39
DD10	DD40
DD4	DD41
DD13	DD42
DD17	DD43
DD9	DD44
DD3	DD45
DD10	DD46
DD10	DD47
DD2	DD48
DD9	DD49
DD2	DD50
DD1	DD51
DD3	DD51
DD5	DD51
DD9	DD51
DD8	DD52
DD37	DD53
DD7	DD54
DD10	DD54
DD11	DD54
DD15	DD54
DD16	DD54
DD2	DD55
DD3	DD55
DD5	DD55
DD9	DD55
DD34	DD55
DD41	DD55
DD11	DD56
DD2	DD57
DD5	DD57
DD8	DD57
DD10	DD57
DD51	DD57
DD29	DD58
DD15	DD59
DD28	DD59
DD14	DD60
DD10	DD61
DD54	DD62
DD52	DD63
DD9	DD64
DD4	DD65
