INTERACTOR_A	INTERACTOR_B
HH1	HH2
HH1	HH3
HH2	HH3
HH1	HH4
HH2	HH4
HH3	HH4
HH1	HH5
HH2	HH5
HH3	HH5
HH4	HH5
HH1	HH6
HH2	HH6
HH3	HH6
HH4	HH6
HH5	HH6
HH1	HH7
HH2	HH7
HH3	HH7
HH4	HH7
HH5	HH7
HH6	HH7
HH1	HH8
HH2	HH8
HH3	HH8
HH4	HH8
HH5	HH8
HH6	HH8
HH7	HH8
HH1	HH9
HH2	HH9
HH3	HH9
HH4	HH9
HH5	HH9
HH6	HH9
HH7	HH9
HH8	HH9
HH1	HH10
HH2	HH10
HH3	HH10
HH4	HH10
HH5	HH10
HH6	HH10
HH7	HH10
HH8	HH10
HH9	HH10
HH5	HH12
HH7	HH12
HH10	HH12
HH11	HH12
HH8	HH13
HH11	HH13
HH12	HH13
HH11	HH14
HH12	HH14
HH13	HH14
HH9	HH15
HH11	HH15
HH12	HH15
HH13	HH15
HH14	HH15
HH2	HH16
HH11	HH16
HH12	HH16
HH13	HH16
HH14	HH16
HH15	HH16
HH5	HH17
HH10	HH17
HH11	HH17
HH12	HH17
HH13	HH17
HH14	HH17
HH15	HH17
HH16	HH17
HH9	HH18
HH2	HH19
HH8	HH20
HH13	HH21
HH5	HH22
HH13	HH23
HH9	HH24
HH5	HH25
HH13	HH26
HH9	HH27
HH14	HH28
HH11	HH29
HH5	HH30
HH13	HH31
HH9	HH32
HH9	HH33
HH4	HH34
HH15	HH35
HH6	HH36
HH5	HH37
HH15	HH38
HH12	HH39
HH10	HH40
HH4	HH41
HH13	HH42
HH17	HH43
HH9	HH44
HH3	HH45
HH10	HH46
HH10	HH47
HH2	HH48
HH9	HH49
HH2	HH50
HH1	HH51
HH3	HH51
HH5	HH51
HH9	HH51
HH8	HH52
HH37	HH53
HH7	HH54
HH10	HH54
HH11	HH54
HH15	HH54
HH16	HH54
HH2	HH55
HH3	HH55
HH5	HH55
HH9	HH55
HH34	HH55
HH41	HH55
HH11	HH56
HH2	HH57
HH5	HH57
HH8	HH57
HH10	HH57
HH51	HH57
HH29	HH58
HH15	HH59
HH28	HH59
HH14	HH60
HH10	HH61
HH54	HH62
HH52	HH63
HH9	HH64
HH4	HH65
HH27	HH65
HH4	HH66
HH6	HH66
HH24	HH66
HH44	HH66
HH51	HH66
HH29	HH67
HH2	HH68
HH55	HH69
HH9	HH70
HH12	HH71
HH13	HH72
HH59	HH73
HH61	HH73
HH44	HH74
HH51	HH74
HH5	HH75
HH1	HH76
HH5	HH76
HH9	HH76
HH66	HH76
HH15	HH77
HH16	HH77
HH54	HH78
HH3	HH79
HH7	HH79
HH10	HH79
HH52	HH79
HH5	HH80
HH29	HH81
HH9	HH82
HH10	HH83
HH63	HH84
HH10	HH85
HH3	HH86
HH19	HH86
HH52	HH86
HH2	HH87
HH9	HH88
HH9	HH89
HH66	HH89
HH12	HH90
HH37	HH91
HH66	HH92
HH2	HH93
