INTERACTOR_A	INTERACTOR_B
CC1	CC3
CC1	CC5
CC2	CC5
CC3	CC5
CC4	CC5
CC1	CC6
CC2	CC6
CC3	CC6
CC4	CC6
CC1	CC7
CC2	CC7
CC3	CC7
CC5	CC7
CC1	CC8
CC3	CC8
CC6	CC8
CC7	CC8
CC2	CC9
CC3	CC9
CC6	CC9
CC7	CC9
CC3	CC10
CC6	CC10
CC8	CC10
CC9	CC10
CC3	CC11
CC8	CC11
CC9	CC11
CC10	CC11
CC2	CC12
CC4	CC12
CC8	CC12
CC10	CC12
CC2	CC13
CC10	CC13
CC11	CC13
CC12	CC13
CC3	CC14
CC4	CC14
CC10	CC14
CC13	CC14
CC1	CC15
CC8	CC15
CC11	CC15
CC12	CC15
CC4	CC16
CC6	CC16
CC10	CC16
CC15	CC16
CC8	CC17
CC9	CC17
CC10	CC17
CC14	CC17
CC4	CC18
CC6	CC18
CC12	CC18
CC15	CC18
CC6	CC19
CC9	CC19
CC11	CC19
CC18	CC19
CC5	CC20
CC7	CC20
CC16	CC20
CC17	CC20
CC3	CC21
CC4	CC21
CC14	CC21
CC17	CC21
CC7	CC22
CC9	CC22
CC18	CC22
CC19	CC22
CC9	CC23
CC12	CC23
CC18	CC23
CC21	CC23
CC9	CC24
CC19	CC24
CC22	CC24
CC23	CC24
CC3	CC25
CC14	CC25
CC19	CC25
CC22	CC25
CC9	CC26
CC14	CC26
CC16	CC26
CC19	CC26
CC4	CC27
CC12	CC27
CC25	CC27
CC26	CC27
CC12	CC28
CC16	CC28
CC24	CC28
CC27	CC28
CC8	CC29
CC10	CC29
CC12	CC29
CC17	CC29
CC14	CC30
CC17	CC30
CC18	CC30
CC23	CC30
CC1	CC31
CC4	CC31
CC24	CC31
CC26	CC31
CC3	CC32
CC14	CC32
CC21	CC32
CC26	CC32
CC21	CC33
CC23	CC33
CC24	CC33
CC31	CC33
CC5	CC34
CC18	CC34
CC19	CC34
CC20	CC34
CC3	CC35
CC11	CC35
CC19	CC35
CC23	CC35
CC1	CC36
CC7	CC36
CC34	CC36
CC35	CC36
CC12	CC37
CC18	CC37
CC23	CC37
CC34	CC37
CC3	CC38
CC4	CC38
CC9	CC38
CC15	CC38
CC4	CC39
CC6	CC39
CC22	CC39
CC33	CC39
CC2	CC40
CC11	CC40
CC16	CC40
CC19	CC40
CC23	CC41
CC33	CC41
CC39	CC41
CC40	CC41
CC5	CC42
CC13	CC42
CC15	CC42
CC22	CC42
CC15	CC43
CC29	CC43
CC38	CC43
CC40	CC43
CC11	CC44
CC40	CC44
CC42	CC44
CC43	CC44
CC10	CC45
CC30	CC45
CC40	CC45
CC41	CC45
CC2	CC46
CC11	CC46
CC20	CC46
CC28	CC46
CC10	CC47
CC37	CC47
CC41	CC47
CC45	CC47
CC1	CC48
CC23	CC48
CC24	CC48
CC41	CC48
CC11	CC49
CC28	CC49
CC33	CC49
CC36	CC49
CC43	CC50
CC44	CC50
CC48	CC50
CC49	CC50
CC3	CC51
CC4	CC51
CC5	CC51
CC42	CC51
CC19	CC52
CC28	CC52
CC29	CC52
CC50	CC52
CC8	CC53
CC33	CC53
CC43	CC53
CC47	CC53
CC33	CC54
CC39	CC54
CC41	CC54
CC45	CC54
CC3	CC55
CC38	CC55
CC41	CC55
CC43	CC55
CC5	CC56
CC7	CC56
CC15	CC56
CC47	CC56
CC33	CC57
CC49	CC57
CC50	CC57
CC56	CC57
CC18	CC58
CC29	CC58
CC35	CC58
CC44	CC58
CC6	CC59
CC35	CC59
CC36	CC59
CC56	CC59
CC11	CC60
CC16	CC60
CC40	CC60
CC45	CC60
CC39	CC61
CC41	CC61
CC48	CC61
CC58	CC61
CC29	CC62
CC40	CC62
CC43	CC62
CC55	CC62
CC4	CC63
CC12	CC63
CC26	CC63
CC27	CC63
CC18	CC64
CC36	CC64
CC52	CC64
CC59	CC64
CC10	CC65
CC29	CC65
CC43	CC65
CC52	CC65
CC3	CC66
CC13	CC66
CC41	CC66
CC48	CC66
CC24	CC67
CC34	CC67
CC49	CC67
CC63	CC67
CC8	CC68
CC10	CC68
CC11	CC68
CC64	CC68
CC15	CC69
CC16	CC69
CC64	CC69
CC68	CC69
CC64	CC70
CC66	CC70
CC68	CC70
CC69	CC70
CC31	CC71
CC32	CC71
CC47	CC71
CC50	CC71
CC14	CC72
CC22	CC72
CC31	CC72
CC52	CC72
CC5	CC73
CC49	CC73
CC53	CC73
CC63	CC73
CC64	CC74
CC70	CC74
CC71	CC74
CC72	CC74
CC15	CC75
CC26	CC75
CC52	CC75
CC70	CC75
CC18	CC76
CC34	CC76
CC37	CC76
CC71	CC76
CC5	CC77
CC26	CC77
CC30	CC77
CC45	CC77
CC7	CC78
CC29	CC78
CC61	CC78
CC71	CC78
CC8	CC79
CC41	CC79
CC57	CC79
CC74	CC79
CC4	CC80
CC15	CC80
CC18	CC80
CC76	CC80
CC29	CC81
CC58	CC81
CC78	CC81
CC79	CC81
CC3	CC82
CC47	CC82
CC51	CC82
CC57	CC82
CC8	CC83
CC22	CC83
CC33	CC83
CC39	CC83
CC11	CC84
CC40	CC84
CC44	CC84
CC62	CC84
CC11	CC85
CC40	CC85
CC60	CC85
CC78	CC85
CC21	CC86
CC57	CC86
CC62	CC86
CC83	CC86
CC5	CC87
CC7	CC87
CC17	CC87
CC20	CC87
CC17	CC88
CC21	CC88
CC32	CC88
CC86	CC88
CC36	CC89
CC43	CC89
CC44	CC89
CC77	CC89
CC5	CC90
CC86	CC90
CC88	CC90
CC89	CC90
CC11	CC91
CC13	CC91
CC89	CC91
CC90	CC91
CC10	CC92
CC14	CC92
CC17	CC92
CC87	CC92
CC88	CC93
CC89	CC93
CC90	CC93
CC91	CC93
CC64	CC94
CC68	CC94
CC86	CC94
CC88	CC94
CC7	CC95
CC44	CC95
CC70	CC95
CC89	CC95
CC21	CC96
CC26	CC96
CC79	CC96
CC91	CC96
CC11	CC97
CC59	CC97
CC65	CC97
CC78	CC97
CC14	CC98
CC26	CC98
