INTERACTOR_A	INTERACTOR_B
DD1	DD3
DD1	DD5
DD2	DD5
DD3	DD5
DD4	DD5
DD1	DD6
DD2	DD6
DD3	DD6
DD4	DD6
DD1	DD7
DD2	DD7
DD3	DD7
DD5	DD7
DD1	DD8
DD3	DD8
DD6	DD8
DD7	DD8
DD2	DD9
DD3	DD9
DD6	DD9
DD7	DD9
DD3	DD10
DD6	DD10
DD8	DD10
DD9	DD10
DD3	DD11
DD8	DD11
DD9	DD11
DD10	DD11
DD2	DD12
DD4	DD12
DD8	DD12
DD10	DD12
DD2	DD13
DD10	DD13
DD11	DD13
DD12	DD13
DD3	DD14
DD4	DD14
DD10	DD14
DD13	DD14
DD1	DD15
DD8	DD15
DD11	DD15
DD12	DD15
DD4	DD16
DD6	DD16
DD10	DD16
DD15	DD16
DD8	DD17
DD9	DD17
DD10	DD17
DD14	DD17
DD4	DD18
DD6	DD18
DD12	DD18
DD15	DD18
DD6	DD19
DD9	DD19
DD11	DD19
DD18	DD19
DD5	DD20
DD7	DD20
DD16	DD20
DD17	DD20
DD3	DD21
DD4	DD21
DD14	DD21
DD17	DD21
DD7	DD22
DD9	DD22
DD18	DD22
DD19	DD22
DD9	DD23
DD12	DD23
DD18	DD23
DD21	DD23
DD9	DD24
DD19	DD24
DD22	DD24
DD23	DD24
DD3	DD25
DD14	DD25
DD19	DD25
DD22	DD25
DD9	DD26
DD14	DD26
DD16	DD26
DD19	DD26
DD4	DD27
DD12	DD27
DD25	DD27
DD26	DD27
DD12	DD28
DD16	DD28
DD24	DD28
DD27	DD28
DD8	DD29
DD10	DD29
DD12	DD29
DD17	DD29
DD14	DD30
DD17	DD30
DD18	DD30
DD23	DD30
DD1	DD31
DD4	DD31
DD24	DD31
DD26	DD31
DD3	DD32
DD14	DD32
DD21	DD32
DD26	DD32
DD21	DD33
DD23	DD33
DD24	DD33
DD31	DD33
DD5	DD34
DD18	DD34
DD19	DD34
DD20	DD34
DD3	DD35
DD11	DD35
DD19	DD35
DD23	DD35
DD1	DD36
DD7	DD36
DD34	DD36
DD35	DD36
DD12	DD37
DD18	DD37
DD23	DD37
DD34	DD37
DD3	DD38
DD4	DD38
DD9	DD38
DD15	DD38
DD4	DD39
DD6	DD39
DD22	DD39
DD33	DD39
DD2	DD40
DD11	DD40
DD16	DD40
DD19	DD40
DD23	DD41
DD33	DD41
DD39	DD41
DD40	DD41
DD5	DD42
DD13	DD42
DD15	DD42
DD22	DD42
DD15	DD43
DD29	DD43
DD38	DD43
DD40	DD43
DD11	DD44
DD40	DD44
DD42	DD44
DD43	DD44
DD10	DD45
DD30	DD45
DD40	DD45
DD41	DD45
DD2	DD46
DD11	DD46
DD20	DD46
DD28	DD46
DD10	DD47
DD37	DD47
DD41	DD47
DD45	DD47
DD1	DD48
DD23	DD48
DD24	DD48
DD41	DD48
DD11	DD49
DD28	DD49
DD33	DD49
DD36	DD49
DD43	DD50
DD44	DD50
DD48	DD50
DD49	DD50
DD3	DD51
DD4	DD51
DD5	DD51
DD42	DD51
DD19	DD52
DD28	DD52
DD29	DD52
DD50	DD52
DD8	DD53
DD33	DD53
DD43	DD53
DD47	DD53
DD33	DD54
DD39	DD54
DD41	DD54
DD45	DD54
DD3	DD55
DD38	DD55
DD41	DD55
DD43	DD55
DD5	DD56
DD7	DD56
DD15	DD56
DD47	DD56
DD33	DD57
DD49	DD57
DD50	DD57
DD56	DD57
DD18	DD58
DD29	DD58
DD35	DD58
DD44	DD58
DD6	DD59
DD35	DD59
DD36	DD59
DD56	DD59
DD11	DD60
DD16	DD60
