INTERACTOR_A	INTERACTOR_B
FF1	FF3
FF1	FF5
FF2	FF5
FF3	FF5
FF4	FF5
FF1	FF6
FF2	FF6
FF3	FF6
FF4	FF6
FF1	FF7
FF2	FF7
FF3	FF7
FF5	FF7
FF1	FF8
FF3	FF8
FF6	FF8
FF7	FF8
FF2	FF9
FF3	FF9
FF6	FF9
FF7	FF9
FF3	FF10
FF6	FF10
FF8	FF10
FF9	FF10
FF3	FF11
FF8	FF11
FF9	FF11
FF10	FF11
FF2	FF12
FF4	FF12
FF8	FF12
FF10	FF12
FF2	FF13
FF10	FF13
FF11	FF13
FF12	FF13
FF3	FF14
FF4	FF14
FF10	FF14
FF13	FF14
FF1	FF15
FF8	FF15
FF11	FF15
FF12	FF15
FF4	FF16
FF6	FF16
FF10	FF16
FF15	FF16
FF8	FF17
FF9	FF17
FF10	FF17
FF14	FF17
FF4	FF18
FF6	FF18
FF12	FF18
FF15	FF18
FF6	FF19
FF9	FF19
FF11	FF19
FF18	FF19
FF5	FF20
FF7	FF20
FF16	FF20
FF17	FF20
FF3	FF21
FF4	FF21
FF14	FF21
FF17	FF21
FF7	FF22
FF9	FF22
FF18	FF22
FF19	FF22
FF9	FF23
FF12	FF23
FF18	FF23
FF21	FF23
FF9	FF24
FF19	FF24
FF22	FF24
FF23	FF24
FF3	FF25
FF14	FF25
FF19	FF25
FF22	FF25
FF9	FF26
FF14	FF26
FF16	FF26
FF19	FF26
FF4	FF27
FF12	FF27
FF25	FF27
FF26	FF27
FF12	FF28
FF16	FF28
FF24	FF28
FF27	FF28
FF8	FF29
FF10	FF29
FF12	FF29
FF17	FF29
FF14	FF30
FF17	FF30
FF18	FF30
FF23	FF30
FF1	FF31
FF4	FF31
FF24	FF31
FF26	FF31
FF3	FF32
FF14	FF32
FF21	FF32
FF26	FF32
FF21	FF33
FF23	FF33
FF24	FF33
FF31	FF33
FF5	FF34
FF18	FF34
FF19	FF34
FF20	FF34
FF3	FF35
FF11	FF35
FF19	FF35
FF23	FF35
FF1	FF36
FF7	FF36
FF34	FF36
FF35	FF36
FF12	FF37
FF18	FF37
FF23	FF37
FF34	FF37
FF3	FF38
FF4	FF38
FF9	FF38
FF15	FF38
FF4	FF39
FF6	FF39
FF22	FF39
FF33	FF39
FF2	FF40
FF11	FF40
FF16	FF40
FF19	FF40
FF23	FF41
FF33	FF41
FF39	FF41
FF40	FF41
FF5	FF42
FF13	FF42
FF15	FF42
FF22	FF42
FF15	FF43
FF29	FF43
FF38	FF43
FF40	FF43
FF11	FF44
FF40	FF44
FF42	FF44
FF43	FF44
FF10	FF45
FF30	FF45
FF40	FF45
FF41	FF45
FF2	FF46
FF11	FF46
FF20	FF46
FF28	FF46
FF10	FF47
FF37	FF47
FF41	FF47
FF45	FF47
FF1	FF48
FF23	FF48
FF24	FF48
FF41	FF48
FF11	FF49
FF28	FF49
FF33	FF49
FF36	FF49
FF43	FF50
FF44	FF50
FF48	FF50
FF49	FF50
FF3	FF51
FF4	FF51
FF5	FF51
FF42	FF51
FF19	FF52
FF28	FF52
FF29	FF52
FF50	FF52
FF8	FF53
FF33	FF53
FF43	FF53
FF47	FF53
FF33	FF54
FF39	FF54
FF41	FF54
FF45	FF54
FF3	FF55
FF38	FF55
FF41	FF55
FF43	FF55
FF5	FF56
FF7	FF56
FF15	FF56
FF47	FF56
FF33	FF57
