INTERACTOR_A	INTERACTOR_B
HH1	HH3
HH1	HH5
HH2	HH5
HH3	HH5
HH4	HH5
HH1	HH6
HH2	HH6
HH3	HH6
HH4	HH6
HH1	HH7
HH2	HH7
HH3	HH7
HH5	HH7
HH1	HH8
HH3	HH8
HH6	HH8
HH7	HH8
HH2	HH9
HH3	HH9
HH6	HH9
HH7	HH9
HH3	HH10
HH6	HH10
HH8	HH10
HH9	HH10
HH3	HH11
HH8	HH11
HH9	HH11
HH10	HH11
HH2	HH12
HH4	HH12
HH8	HH12
HH10	HH12
HH2	HH13
HH10	HH13
HH11	HH13
HH12	HH13
HH3	HH14
HH4	HH14
HH10	HH14
HH13	HH14
HH1	HH15
HH8	HH15
HH11	HH15
HH12	HH15
HH4	HH16
HH6	HH16
HH10	HH16
HH15	HH16
HH8	HH17
HH9	HH17
HH10	HH17
HH14	HH17
HH4	HH18
HH6	HH18
HH12	HH18
HH15	HH18
HH6	HH19
HH9	HH19
HH11	HH19
HH18	HH19
HH5	HH20
HH7	HH20
HH16	HH20
HH17	HH20
HH3	HH21
HH4	HH21
HH14	HH21
HH17	HH21
HH7	HH22
HH9	HH22
HH18	HH22
HH19	HH22
HH9	HH23
HH12	HH23
HH18	HH23
HH21	HH23
HH9	HH24
HH19	HH24
HH22	HH24
HH23	HH24
HH3	HH25
HH14	HH25
HH19	HH25
HH22	HH25
HH9	HH26
HH14	HH26
HH16	HH26
HH19	HH26
HH4	HH27
HH12	HH27
HH25	HH27
HH26	HH27
HH12	HH28
HH16	HH28
HH24	HH28
HH27	HH28
HH8	HH29
HH10	HH29
HH12	HH29
HH17	HH29
HH14	HH30
HH17	HH30
HH18	HH30
HH23	HH30
HH1	HH31
HH4	HH31
HH24	HH31
HH26	HH31
HH3	HH32
HH14	HH32
HH21	HH32
HH26	HH32
HH21	HH33
HH23	HH33
HH24	HH33
HH31	HH33
HH5	HH34
HH18	HH34
HH19	HH34
HH20	HH34
HH3	HH35
HH11	HH35
HH19	HH35
HH23	HH35
HH1	HH36
HH7	HH36
HH34	HH36
HH35	HH36
HH12	HH37
HH18	HH37
HH23	HH37
HH34	HH37
HH3	HH38
HH4	HH38
HH9	HH38
HH15	HH38
HH4	HH39
HH6	HH39
HH22	HH39
HH33	HH39
HH2	HH40
HH11	HH40
HH16	HH40
HH19	HH40
HH23	HH41
HH33	HH41
HH39	HH41
HH40	HH41
HH5	HH42
HH13	HH42
HH15	HH42
HH22	HH42
HH15	HH43
HH29	HH43
HH38	HH43
HH40	HH43
HH11	HH44
HH40	HH44
HH42	HH44
HH43	HH44
HH10	HH45
HH30	HH45
HH40	HH45
HH41	HH45
HH2	HH46
HH11	HH46
HH20	HH46
HH28	HH46
HH10	HH47
HH37	HH47
HH41	HH47
HH45	HH47
HH1	HH48
HH23	HH48
HH24	HH48
HH41	HH48
HH11	HH49
HH28	HH49
HH33	HH49
HH36	HH49
HH43	HH50
HH44	HH50
HH48	HH50
HH49	HH50
HH3	HH51
HH4	HH51
HH5	HH51
HH42	HH51
HH19	HH52
HH28	HH52
HH29	HH52
HH50	HH52
HH8	HH53
HH33	HH53
HH43	HH53
HH47	HH53
HH33	HH54
HH39	HH54
HH41	HH54
HH45	HH54
HH3	HH55
HH38	HH55
HH41	HH55
HH43	HH55
HH5	HH56
HH7	HH56
HH15	HH56
HH47	HH56
HH33	HH57
HH49	HH57
HH50	HH57
HH56	HH57
HH18	HH58
HH29	HH58
HH35	HH58
HH44	HH58
HH6	HH59
HH35	HH59
HH36	HH59
HH56	HH59
HH11	HH60
HH16	HH60
HH40	HH60
HH45	HH60
HH39	HH61
HH41	HH61
HH48	HH61
HH58	HH61
HH29	HH62
HH40	HH62
HH43	HH62
HH55	HH62
HH4	HH63
HH12	HH63
HH26	HH63
HH27	HH63
HH18	HH64
HH36	HH64
HH52	HH64
HH59	HH64
HH10	HH65
HH29	HH65
HH43	HH65
HH52	HH65
HH3	HH66
HH13	HH66
HH41	HH66
HH48	HH66
HH24	HH67
HH34	HH67
HH49	HH67
HH63	HH67
HH8	HH68
HH10	HH68
HH11	HH68
HH64	HH68
HH15	HH69
HH16	HH69
HH64	HH69
HH68	HH69
HH64	HH70
HH66	HH70
HH68	HH70
HH69	HH70
HH31	HH71
HH32	HH71
HH47	HH71
HH50	HH71
HH14	HH72
HH22	HH72
HH31	HH72
HH52	HH72
HH5	HH73
HH49	HH73
HH53	HH73
HH63	HH73
HH64	HH74
HH70	HH74
HH71	HH74
HH72	HH74
HH15	HH75
HH26	HH75
HH52	HH75
HH70	HH75
HH18	HH76
HH34	HH76
HH37	HH76
HH71	HH76
HH5	HH77
HH26	HH77
HH30	HH77
HH45	HH77
HH7	HH78
HH29	HH78
HH61	HH78
HH71	HH78
HH8	HH79
HH41	HH79
HH57	HH79
HH74	HH79
HH4	HH80
HH15	HH80
HH18	HH80
HH76	HH80
HH29	HH81
HH58	HH81
HH78	HH81
HH79	HH81
HH3	HH82
HH47	HH82
HH51	HH82
HH57	HH82
HH8	HH83
HH22	HH83
HH33	HH83
HH39	HH83
HH11	HH84
HH40	HH84
HH44	HH84
HH62	HH84
HH11	HH85
HH40	HH85
HH60	HH85
HH78	HH85
HH21	HH86
HH57	HH86
HH62	HH86
HH83	HH86
HH5	HH87
HH7	HH87
HH17	HH87
HH20	HH87
HH17	HH88
HH21	HH88
HH32	HH88
HH86	HH88
HH36	HH89
HH43	HH89
HH44	HH89
HH77	HH89
HH5	HH90
HH86	HH90
HH88	HH90
HH89	HH90
HH11	HH91
HH13	HH91
HH89	HH91
HH90	HH91
HH10	HH92
HH14	HH92
HH17	HH92
HH87	HH92
HH88	HH93
HH89	HH93
HH90	HH93
HH91	HH93
HH64	HH94
HH68	HH94
HH86	HH94
HH88	HH94
HH7	HH95
HH44	HH95
HH70	HH95
HH89	HH95
HH21	HH96
HH26	HH96
HH79	HH96
HH91	HH96
HH11	HH97
HH59	HH97
HH65	HH97
HH78	HH97
HH14	HH98
HH26	HH98
HH77	HH98
HH95	HH98
HH4	HH99
HH5	HH99
HH37	HH99
HH98	HH99
HH12	HH100
HH95	HH100
HH98	HH100
HH99	HH100
HH39	HH101
HH85	HH101
HH88	HH101
HH95	HH101
HH95	HH102
HH97	HH102
HH98	HH102
HH101	HH102
HH95	HH103
HH96	HH103
HH98	HH103
HH102	HH103
HH4	HH104
HH95	HH104
HH98	HH104
HH102	HH104
HH1	HH105
HH2	HH105
HH4	HH105
HH7	HH105
HH26	HH106
HH52	HH106
HH75	HH106
HH105	HH106
HH12	HH107
HH17	HH107
HH87	HH107
HH92	HH107
HH36	HH108
HH59	HH108
HH105	HH108
HH106	HH108
HH36	HH109
HH66	HH109
HH76	HH109
HH89	HH109
HH105	HH110
HH106	HH110
HH108	HH110
HH109	HH110
HH105	HH111
HH106	HH111
HH108	HH111
HH110	HH111
HH19	HH112
HH28	HH112
HH52	HH112
HH65	HH112
HH5	HH113
HH7	HH113
HH17	HH113
HH87	HH113
HH3	HH114
HH19	HH114
HH40	HH114
HH97	HH114
HH12	HH115
HH24	HH115
HH45	HH115
HH92	HH115
HH4	HH116
HH21	HH116
HH51	HH116
HH69	HH116
HH105	HH117
HH108	HH117
HH110	HH117
HH111	HH117
HH35	HH118
HH36	HH118
HH108	HH118
HH116	HH118
HH20	HH119
HH47	HH119
HH50	HH119
HH68	HH119
HH78	HH120
HH116	HH120
HH118	HH120
HH119	HH120
HH15	HH121
HH28	HH121
HH104	HH121
HH114	HH121
HH36	HH122
HH116	HH122
HH118	HH122
HH120	HH122
HH116	HH123
HH118	HH123
HH120	HH123
HH122	HH123
HH26	HH124
HH30	HH124
HH77	HH124
HH89	HH124
HH4	HH125
HH27	HH125
HH28	HH125
HH121	HH125
HH61	HH126
HH119	HH126
HH121	HH126
HH125	HH126
HH116	HH127
HH118	HH127
HH119	HH127
HH123	HH127
HH50	HH128
HH59	HH128
HH102	HH128
HH110	HH128
HH4	HH129
HH31	HH129
HH49	HH129
HH125	HH129
HH57	HH130
HH79	HH130
HH81	HH130
HH96	HH130
HH60	HH131
HH71	HH131
HH73	HH131
HH88	HH131
HH45	HH132
HH60	HH132
HH77	HH132
HH131	HH132
HH1	HH133
HH13	HH133
HH39	HH133
HH83	HH133
HH129	HH134
HH131	HH134
HH132	HH134
HH133	HH134
HH128	HH135
HH129	HH135
HH132	HH135
HH133	HH135
HH34	HH136
HH128	HH136
HH129	HH136
HH135	HH136
HH113	HH137
HH128	HH137
HH133	HH137
HH135	HH137
HH10	HH138
HH69	HH138
HH92	HH138
HH108	HH138
HH129	HH139
HH133	HH139
HH136	HH139
HH138	HH139
HH131	HH140
HH132	HH140
HH133	HH140
HH134	HH140
HH44	HH141
HH79	HH141
HH97	HH141
HH99	HH141
HH23	HH142
HH99	HH142
HH104	HH142
HH107	HH142
HH39	HH143
HH101	HH143
HH141	HH143
HH142	HH143
HH41	HH144
HH87	HH144
HH107	HH144
HH113	HH144
HH35	HH145
HH83	HH145
HH103	HH145
HH115	HH145
HH16	HH146
HH31	HH146
HH103	HH146
HH120	HH146
HH141	HH147
HH142	HH147
HH143	HH147
HH146	HH147
HH141	HH148
HH145	HH148
HH146	HH148
HH147	HH148
HH141	HH149
