INTERACTOR_A	INTERACTOR_B
BB1	BB2
BB1	BB3
BB4	BB5
BB4	BB7
BB7	BB8
BB1	BB9
BB2	BB9
BB1	BB10
BB4	BB10
BB11	BB12
BB12	BB14
BB2	BB15
BB11	BB15
BB14	BB15
BB12	BB16
BB15	BB16
BB14	BB19
BB2	BB26
BB14	BB30
BB14	BB37
BB2	BB39
BB11	BB40
BB16	BB41
BB9	BB47
BB12	BB49
BB4	BB53
BB10	BB54
BB54	BB55
BB5	BB56
BB2	BB58
BB2	BB61
BB6	BB61
BB8	BB61
BB9	BB63
BB2	BB67
BB6	BB67
BB7	BB67
BB9	BB67
BB25	BB67
BB51	BB67
BB14	BB68
BB11	BB70
BB14	BB72
BB5	BB73
BB14	BB75
BB15	BB77
BB65	BB77
BB69	BB77
BB5	BB78
BB63	BB79
BB57	BB81
BB4	BB83
BB4	BB84
BB45	BB85
BB11	BB87
BB50	BB91
BB11	BB92
BB12	BB92
BB42	BB92
BB43	BB92
BB14	BB94
BB65	BB95
BB32	BB97
BB2	BB100
BB11	BB100
BB65	BB101
BB65	BB102
BB77	BB102
BB77	BB104
BB51	BB105
BB67	BB105
BB2	BB107
BB35	BB107
BB66	BB107
BB80	BB107
BB98	BB107
BB65	BB108
BB74	BB108
BB14	BB111
BB11	BB113
BB105	BB114
BB92	BB116
BB30	BB119
BB2	BB121
BB90	BB122
BB63	BB124
BB92	BB125
BB77	BB126
BB2	BB130
BB77	BB131
BB126	BB131
BB24	BB132
BB41	BB132
BB82	BB132
BB92	BB132
BB14	BB134
BB20	BB134
BB31	BB134
BB64	BB134
BB65	BB134
BB69	BB134
BB85	BB134
BB89	BB134
BB104	BB134
BB129	BB134
BB92	BB135
BB6	BB142
BB7	BB142
BB2	BB143
BB59	BB144
BB50	BB145
BB2	BB146
BB2	BB148
BB2	BB149
BB14	BB150
BB17	BB152
BB92	BB153
BB5	BB154
BB77	BB155
BB1	BB157
BB4	BB157
BB5	BB157
BB1	BB159
BB55	BB159
BB107	BB160
BB9	BB163
BB74	BB164
BB86	BB164
BB126	BB164
BB161	BB164
BB2	BB165
BB6	BB165
BB61	BB165
BB159	BB165
BB163	BB167
BB132	BB168
BB63	BB169
BB65	BB170
BB164	BB170
BB14	BB173
BB75	BB173
BB4	BB174
BB14	BB176
BB136	BB176
BB63	BB178
BB57	BB179
BB59	BB181
BB171	BB183
BB63	BB185
BB63	BB186
BB16	BB187
BB82	BB187
BB132	BB187
BB8	BB189
BB115	BB189
BB159	BB189
BB162	BB189
BB184	BB189
BB2	BB191
BB163	BB192
BB1	BB193
BB163	BB194
BB5	BB197
BB9	BB198
BB52	BB200
BB164	BB202
BB92	BB203
BB5	BB204
BB93	BB206
BB65	BB208
BB77	BB208
BB92	BB208
BB95	BB208
BB65	BB209
BB4	BB210
BB6	BB210
BB52	BB210
BB200	BB210
BB14	BB212
BB2	BB213
BB11	BB214
BB2	BB216
BB11	BB216
BB144	BB216
BB92	BB217
BB4	BB218
BB200	BB218
BB189	BB219
BB160	BB222
BB14	BB223
BB4	BB224
BB92	BB225
BB5	BB227
BB171	BB227
BB132	BB229
BB92	BB230
BB206	BB230
BB9	BB231
BB11	BB232
BB16	BB232
BB23	BB232
BB92	BB232
BB118	BB232
BB5	BB233
BB189	BB235
BB132	BB236
BB218	BB238
BB5	BB239
BB6	BB239
BB7	BB239
BB14	BB239
BB63	BB239
BB142	BB239
BB159	BB239
BB218	BB239
BB14	BB242
BB2	BB244
BB6	BB244
BB7	BB244
BB112	BB244
BB114	BB244
BB157	BB244
BB25	BB245
BB55	BB245
BB105	BB245
BB107	BB245
BB2	BB246
BB189	BB247
BB9	BB248
BB61	BB249
BB106	BB252
BB163	BB252
