INTERACTOR_A	INTERACTOR_B
CC1	CC2
CC1	CC3
CC1	CC6
CC1	CC9
CC2	CC9
CC5	CC9
CC4	CC10
CC11	CC12
CC11	CC14
CC12	CC14
CC11	CC15
CC13	CC15
CC14	CC15
CC11	CC16
CC12	CC16
CC1	CC21
CC1	CC34
CC14	CC37
CC2	CC39
CC11	CC40
CC16	CC41
CC9	CC47
CC4	CC53
CC10	CC54
CC54	CC55
CC5	CC56
CC2	CC58
CC2	CC61
CC6	CC61
CC8	CC61
CC1	CC67
CC2	CC67
CC6	CC67
CC7	CC67
CC25	CC67
CC51	CC67
CC14	CC68
CC11	CC70
CC11	CC71
CC14	CC72
CC5	CC73
CC20	CC77
CC65	CC77
CC69	CC77
CC5	CC78
CC3	CC80
CC4	CC84
CC45	CC85
CC85	CC86
CC11	CC87
CC50	CC91
CC11	CC92
CC12	CC92
CC42	CC92
CC43	CC92
CC14	CC94
CC65	CC95
CC9	CC99
CC65	CC101
CC65	CC102
CC77	CC102
CC2	CC107
CC35	CC107
CC80	CC107
CC98	CC107
CC65	CC108
CC74	CC108
CC11	CC110
CC62	CC112
CC67	CC112
CC11	CC113
CC105	CC114
CC92	CC116
CC30	CC119
CC90	CC122
CC11	CC123
CC46	CC123
CC63	CC124
CC92	CC125
CC77	CC126
CC11	CC127
CC2	CC130
CC77	CC131
CC126	CC131
CC24	CC132
CC82	CC132
CC92	CC132
CC14	CC134
CC20	CC134
CC31	CC134
CC64	CC134
CC65	CC134
CC69	CC134
CC85	CC134
CC89	CC134
CC104	CC134
CC129	CC134
CC92	CC135
CC13	CC136
CC1	CC140
CC50	CC141
CC59	CC144
CC50	CC145
CC2	CC146
CC14	CC150
CC17	CC152
CC92	CC153
CC1	CC157
CC5	CC157
CC1	CC158
CC1	CC159
CC55	CC159
CC107	CC160
CC9	CC163
CC31	CC164
CC85	CC164
CC86	CC164
CC126	CC164
CC129	CC164
CC161	CC164
CC6	CC165
CC159	CC165
CC163	CC167
CC132	CC168
CC63	CC169
CC163	CC169
CC65	CC170
CC164	CC170
CC11	CC172
CC14	CC173
CC75	CC173
CC4	CC174
CC14	CC176
CC28	CC176
CC57	CC179
CC59	CC181
CC63	CC185
CC5	CC186
CC54	CC186
CC63	CC186
CC107	CC186
CC82	CC187
CC132	CC187
CC8	CC189
CC115	CC189
CC159	CC189
CC162	CC189
CC92	CC190
CC2	CC191
CC163	CC192
CC1	CC193
CC163	CC194
CC9	CC198
CC52	CC200
CC1	CC201
CC164	CC202
CC92	CC203
CC5	CC204
CC13	CC206
CC36	CC206
CC50	CC206
CC89	CC206
CC93	CC206
CC65	CC209
CC200	CC210
CC14	CC212
CC2	CC213
CC11	CC214
CC11	CC216
CC144	CC216
CC92	CC217
CC9	CC218
CC4	CC224
CC92	CC225
CC11	CC226
CC5	CC227
CC171	CC227
CC11	CC228
CC132	CC229
CC92	CC230
CC11	CC232
CC16	CC232
CC92	CC232
CC5	CC233
CC11	CC234
CC132	CC236
CC1	CC239
CC5	CC239
CC6	CC239
CC14	CC239
CC159	CC239
CC2	CC244
CC6	CC244
CC7	CC244
CC9	CC244
CC112	CC244
CC114	CC244
CC157	CC244
