INTERACTOR_A	INTERACTOR_B
DD1	DD2
DD1	DD3
DD1	DD5
DD1	DD6
DD7	DD8
DD1	DD9
DD2	DD9
DD5	DD9
DD1	DD10
DD4	DD10
DD11	DD12
DD11	DD14
DD12	DD14
DD2	DD15
DD11	DD15
DD13	DD15
DD14	DD15
DD11	DD16
DD1	DD21
DD2	DD26
DD1	DD34
DD14	DD37
DD2	DD39
DD11	DD40
DD16	DD41
DD9	DD47
DD4	DD53
DD10	DD54
DD54	DD55
DD5	DD56
DD2	DD58
DD6	DD61
DD8	DD61
DD9	DD63
DD1	DD67
DD2	DD67
DD6	DD67
DD7	DD67
DD25	DD67
DD51	DD67
DD14	DD68
DD11	DD70
DD11	DD71
DD14	DD72
DD5	DD73
DD15	DD77
DD20	DD77
DD65	DD77
DD69	DD77
DD5	DD78
DD63	DD79
DD3	DD80
DD4	DD84
DD45	DD85
DD11	DD87
DD50	DD91
DD11	DD92
DD12	DD92
DD42	DD92
DD43	DD92
DD14	DD94
DD65	DD95
DD9	DD99
DD2	DD100
DD65	DD101
DD65	DD102
DD77	DD102
DD2	DD107
DD35	DD107
DD66	DD107
DD80	DD107
DD65	DD108
DD74	DD108
DD11	DD110
DD62	DD112
DD11	DD113
DD92	DD116
DD30	DD119
DD2	DD121
DD90	DD122
DD11	DD123
DD46	DD123
DD63	DD124
DD92	DD125
DD77	DD126
DD11	DD127
DD63	DD128
DD2	DD130
DD126	DD131
DD24	DD132
DD41	DD132
DD82	DD132
DD92	DD132
DD14	DD134
DD20	DD134
DD31	DD134
DD64	DD134
DD65	DD134
DD69	DD134
DD89	DD134
DD104	DD134
DD129	DD134
DD92	DD135
DD13	DD136
DD1	DD140
DD50	DD141
DD6	DD142
DD2	DD143
DD50	DD145
DD2	DD146
DD2	DD148
DD2	DD149
DD14	DD150
DD17	DD152
DD92	DD153
DD5	DD154
DD1	DD158
DD1	DD159
DD55	DD159
DD107	DD160
DD9	DD163
DD31	DD164
DD85	DD164
DD86	DD164
DD126	DD164
DD129	DD164
DD161	DD164
DD2	DD165
DD6	DD165
DD159	DD165
DD163	DD167
DD63	DD169
DD163	DD169
DD65	DD170
DD164	DD170
DD11	DD172
DD14	DD173
DD75	DD173
DD4	DD174
