INTERACTOR_A	INTERACTOR_B
FF1	FF2
FF1	FF3
FF1	FF5
FF2	FF5
FF4	FF5
FF1	FF6
FF2	FF6
FF1	FF9
FF2	FF9
FF8	FF9
FF2	FF10
FF7	FF10
FF10	FF11
FF11	FF12
FF11	FF14
FF12	FF14
FF2	FF15
FF11	FF15
FF13	FF15
FF14	FF15
FF12	FF16
FF15	FF16
FF14	FF17
FF14	FF19
FF1	FF21
FF2	FF26
FF14	FF30
FF1	FF34
FF14	FF37
FF2	FF39
FF11	FF40
FF16	FF41
FF11	FF46
FF9	FF47
FF12	FF49
FF4	FF53
FF10	FF54
FF54	FF55
FF5	FF56
FF2	FF58
FF11	FF60
FF1	FF67
FF6	FF67
FF7	FF67
FF25	FF67
FF14	FF68
FF11	FF70
FF14	FF72
FF5	FF73
FF14	FF75
FF4	FF76
FF20	FF77
FF45	FF77
FF64	FF77
FF63	FF79
FF3	FF80
FF57	FF81
FF4	FF83
FF4	FF84
FF45	FF85
FF85	FF86
FF11	FF87
FF50	FF91
FF42	FF92
FF14	FF94
FF65	FF95
FF2	FF96
FF32	FF97
FF2	FF100
FF11	FF100
FF65	FF101
FF65	FF102
FF77	FF104
FF67	FF105
FF66	FF107
FF65	FF108
FF14	FF111
FF9	FF112
FF62	FF112
FF11	FF113
FF105	FF114
FF14	FF119
FF30	FF119
FF2	FF121
FF90	FF122
FF11	FF123
FF46	FF123
FF63	FF124
FF92	FF125
FF77	FF126
FF11	FF127
FF2	FF130
FF126	FF131
FF13	FF132
FF24	FF132
FF41	FF132
FF82	FF132
FF92	FF132
FF14	FF134
FF20	FF134
FF31	FF134
FF65	FF134
FF69	FF134
FF89	FF134
FF129	FF134
FF92	FF135
FF13	FF136
FF112	FF137
FF1	FF140
FF6	FF142
FF7	FF142
FF9	FF142
FF2	FF143
FF59	FF144
FF100	FF144
FF50	FF145
FF2	FF146
FF2	FF148
FF2	FF149
FF14	FF150
FF149	FF151
FF17	FF152
FF92	FF153
FF5	FF154
FF1	FF157
FF1	FF158
FF1	FF159
FF107	FF159
FF9	FF163
FF31	FF164
FF74	FF164
FF85	FF164
FF86	FF164
FF126	FF164
FF61	FF165
FF142	FF165
FF159	FF165
FF2	FF166
FF163	FF167
FF132	FF168
FF63	FF169
FF163	FF169
FF65	FF170
FF14	FF173
FF75	FF173
FF4	FF174
FF14	FF176
FF136	FF176
FF144	FF177
FF63	FF178
FF9	FF179
FF57	FF179
FF2	FF181
FF59	FF181
FF63	FF185
FF5	FF186
FF132	FF187
FF1	FF189
FF92	FF190
FF2	FF191
FF163	FF192
FF1	FF193
FF5	FF197
FF9	FF198
FF1	FF201
FF164	FF202
FF92	FF203
FF5	FF204
FF93	FF206
FF65	FF209
FF4	FF210
FF6	FF210
FF200	FF210
FF14	FF212
FF2	FF213
FF2	FF216
FF11	FF216
FF33	FF216
FF59	FF216
FF144	FF216
FF92	FF217
FF4	FF218
FF160	FF222
FF14	FF223
FF4	FF224
FF92	FF225
FF11	FF226
FF5	FF227
FF171	FF227
FF92	FF230
FF206	FF230
FF9	FF231
FF11	FF232
FF14	FF232
FF16	FF232
FF92	FF232
FF118	FF232
FF207	FF232
FF132	FF236
FF144	FF237
FF218	FF238
FF1	FF239
FF5	FF239
FF6	FF239
FF10	FF239
FF14	FF239
FF142	FF239
FF218	FF239
FF14	FF242
FF7	FF244
FF9	FF244
FF105	FF244
FF10	FF245
FF25	FF245
FF105	FF245
FF107	FF245
FF2	FF246
FF9	FF248
FF63	FF254
FF128	FF254
FF52	FF256
FF200	FF256
FF4	FF257
FF2	FF258
FF80	FF259
FF2	FF260
FF5	FF261
FF9	FF261
FF63	FF261
FF80	FF261
FF112	FF261
FF189	FF261
FF249	FF262
FF2	FF263
FF8	FF264
FF159	FF264
FF85	FF265
FF86	FF265
FF126	FF265
FF161	FF265
FF175	FF265
FF190	FF265
FF202	FF265
FF208	FF265
FF106	FF266
FF144	FF269
FF237	FF269
FF15	FF270
FF181	FF270
FF106	FF272
FF5	FF273
FF2	FF274
FF136	FF275
FF2	FF276
FF15	FF277
FF15	FF278
FF210	FF279
FF215	FF280
FF2	FF281
FF95	FF282
FF102	FF282
FF108	FF282
FF164	FF282
FF5	FF283
FF11	FF284
FF232	FF284
FF273	FF285
FF187	FF286
FF16	FF287
FF265	FF288
FF97	FF289
FF149	FF290
FF112	FF292
FF2	FF293
FF165	FF293
