INTERACTOR_A	INTERACTOR_B
GG1	GG3
GG1	GG5
GG2	GG5
GG4	GG5
GG1	GG6
GG2	GG6
GG7	GG8
GG1	GG9
GG5	GG9
GG6	GG9
GG8	GG9
GG2	GG10
GG8	GG10
GG10	GG11
GG11	GG12
GG11	GG14
GG11	GG15
GG1	GG21
GG2	GG26
GG14	GG30
GG1	GG34
GG14	GG37
GG2	GG39
GG16	GG41
GG11	GG46
GG9	GG47
GG4	GG53
GG10	GG54
GG54	GG55
GG5	GG56
GG2	GG58
GG8	GG61
GG9	GG63
GG1	GG67
GG2	GG67
GG6	GG67
GG9	GG67
GG51	GG67
GG14	GG68
GG11	GG70
GG14	GG72
GG5	GG73
GG4	GG76
GG15	GG77
GG20	GG77
GG45	GG77
GG64	GG77
GG65	GG77
GG63	GG79
GG4	GG83
GG4	GG84
GG85	GG86
GG11	GG87
GG50	GG91
GG11	GG92
GG42	GG92
GG43	GG92
GG14	GG94
GG65	GG95
GG2	GG96
GG32	GG97
GG9	GG99
GG2	GG100
GG65	GG101
GG65	GG102
GG77	GG102
GG9	GG103
GG77	GG104
GG65	GG108
GG74	GG108
GG11	GG110
GG9	GG112
GG48	GG112
GG62	GG112
GG11	GG113
GG105	GG114
GG92	GG116
GG14	GG119
GG2	GG121
GG90	GG122
GG11	GG123
GG46	GG123
GG63	GG124
GG92	GG125
GG77	GG126
GG11	GG127
GG63	GG128
GG77	GG131
GG13	GG132
GG24	GG132
GG41	GG132
GG82	GG132
GG92	GG132
GG20	GG134
GG31	GG134
GG65	GG134
GG69	GG134
GG85	GG134
GG89	GG134
GG104	GG134
GG129	GG134
GG92	GG135
GG13	GG136
GG112	GG137
GG9	GG139
GG1	GG140
GG50	GG141
GG6	GG142
GG7	GG142
GG9	GG142
GG59	GG144
GG50	GG145
GG2	GG146
GG2	GG148
GG2	GG149
GG14	GG150
GG149	GG151
GG17	GG152
GG92	GG153
GG5	GG154
GG77	GG155
GG1	GG157
GG4	GG157
GG5	GG157
GG9	GG157
GG1	GG158
GG1	GG159
GG107	GG159
GG74	GG164
GG85	GG164
GG86	GG164
GG126	GG164
GG142	GG165
GG157	GG165
GG163	GG167
GG132	GG168
GG63	GG169
GG163	GG169
GG65	GG170
GG164	GG170
GG11	GG172
GG4	GG174
GG28	GG176
GG136	GG176
GG144	GG177
GG63	GG178
GG57	GG179
GG2	GG181
GG59	GG181
GG171	GG183
GG63	GG185
GG5	GG186
GG54	GG186
GG63	GG186
GG16	GG187
GG82	GG187
GG132	GG187
GG1	GG189
GG9	GG189
GG66	GG189
GG92	GG190
GG163	GG192
GG1	GG193
GG5	GG197
GG9	GG198
GG1	GG201
GG164	GG202
GG92	GG203
GG5	GG204
GG93	GG206
GG65	GG209
GG4	GG210
GG6	GG210
GG52	GG210
GG2	GG213
GG11	GG214
GG2	GG216
GG11	GG216
GG33	GG216
GG59	GG216
GG144	GG216
GG92	GG217
GG4	GG218
GG9	GG218
GG200	GG218
GG160	GG222
GG14	GG223
GG4	GG224
GG92	GG225
GG11	GG226
GG11	GG228
GG92	GG230
GG9	GG231
GG11	GG232
GG14	GG232
GG16	GG232
GG23	GG232
GG92	GG232
GG118	GG232
GG187	GG232
GG207	GG232
GG5	GG233
GG189	GG235
GG132	GG236
GG144	GG237
GG218	GG238
GG1	GG239
GG5	GG239
GG6	GG239
GG10	GG239
GG14	GG239
GG63	GG239
GG142	GG239
GG218	GG239
GG14	GG242
GG7	GG244
GG9	GG244
GG25	GG244
GG10	GG245
GG105	GG245
GG189	GG247
GG9	GG248
GG61	GG249
GG106	GG252
GG63	GG254
GG128	GG254
GG4	GG257
GG2	GG260
GG5	GG261
GG9	GG261
GG63	GG261
GG189	GG261
GG61	GG262
GG249	GG262
GG8	GG264
GG159	GG264
GG86	GG265
GG126	GG265
GG156	GG265
GG175	GG265
GG202	GG265
GG208	GG265
GG241	GG265
GG106	GG266
GG163	GG266
GG144	GG269
GG237	GG269
GG15	GG270
GG181	GG270
GG77	GG271
GG5	GG273
GG136	GG275
GG15	GG277
GG15	GG278
GG210	GG279
GG2	GG281
GG92	GG282
GG95	GG282
GG102	GG282
GG108	GG282
GG164	GG282
GG5	GG283
GG11	GG284
GG12	GG284
GG232	GG284
GG255	GG284
GG82	GG286
GG187	GG286
GG16	GG287
GG77	GG288
GG265	GG288
GG149	GG290
GG165	GG293
GG189	GG293
GG218	GG293
GG273	GG293
GG61	GG295
GG293	GG295
GG11	GG296
GG14	GG297
GG9	GG298
GG54	GG298
GG67	GG298
GG142	GG298
GG239	GG298
GG4	GG299
GG92	GG300
GG118	GG300
GG55	GG301
GG112	GG301
GG182	GG301
GG2	GG303
GG4	GG303
GG29	GG303
GG90	GG303
GG189	GG304
GG5	GG305
GG5	GG306
GG63	GG306
GG227	GG306
GG285	GG306
GG23	GG307
GG207	GG307
GG232	GG307
GG206	GG308
GG61	GG309
GG259	GG309
GG261	GG309
GG63	GG310
GG136	GG312
GG5	GG313
GG32	GG314
GG106	GG314
GG55	GG315
GG107	GG315
GG112	GG315
GG182	GG315
GG298	GG315
GG1	GG316
GG4	GG316
GG9	GG316
GG63	GG316
GG251	GG316
GG291	GG316
GG293	GG316
GG11	GG317
GG14	GG318
GG2	GG319
GG6	GG319
GG165	GG319
GG264	GG319
GG1	GG324
GG4	GG324
GG9	GG324
GG73	GG324
GG78	GG324
GG117	GG324
GG157	GG324
GG180	GG324
GG183	GG324
GG186	GG324
GG195	GG324
GG205	GG324
GG220	GG324
GG221	GG324
GG233	GG324
GG239	GG324
GG261	GG324
GG268	GG324
GG283	GG324
GG285	GG324
GG311	GG324
GG313	GG324
GG4	GG325
GG82	GG326
GG187	GG326
GG15	GG327
GG14	GG328
GG164	GG330
GG265	GG330
GG297	GG330
GG14	GG331
GG20	GG331
GG31	GG331
GG65	GG331
GG69	GG331
GG85	GG331
GG89	GG331
GG147	GG331
GG156	GG331
GG50	GG332
GG189	GG334
GG297	GG335
GG12	GG336
GG181	GG336
GG199	GG337
GG100	GG338
GG2	GG339
GG267	GG340
GG63	GG341
GG142	GG341
GG279	GG341
GG293	GG341
GG319	GG341
GG90	GG342
GG218	GG342
GG341	GG342
GG1	GG343
GG134	GG344
GG265	GG344
GG182	GG346
GG186	GG346
GG261	GG346
GG16	GG348
GG232	GG348
GG340	GG349
GG183	GG351
GG285	GG351
GG8	GG352
GG218	GG352
GG173	GG353
GG112	GG354
GG261	GG354
GG14	GG355
GG168	GG355
GG187	GG355
GG229	GG355
GG236	GG355
GG326	GG355
GG164	GG356
GG154	GG358
GG2	GG359
GG1	GG361
GG11	GG362
GG302	GG363
GG178	GG364
GG314	GG364
GG2	GG365
GG143	GG365
GG235	GG366
GG324	GG367
GG77	GG368
GG134	GG368
GG4	GG369
GG14	GG370
GG11	GG372
GG12	GG372
GG16	GG372
GG22	GG372
GG255	GG372
GG294	GG372
GG1	GG373
GG213	GG374
GG316	GG375
GG24	GG376
GG236	GG376
GG1	GG378
GG8	GG378
GG18	GG378
GG133	GG378
GG261	GG378
GG292	GG378
GG316	GG378
GG11	GG379
GG14	GG380
GG2	GG381
GG226	GG382
GG6	GG384
GG9	GG384
GG48	GG384
GG62	GG384
GG67	GG384
GG142	GG384
GG186	GG384
GG244	GG384
GG346	GG384
GG2	GG385
GG4	GG385
GG6	GG385
GG7	GG385
GG8	GG385
GG239	GG385
GG293	GG385
GG298	GG385
GG315	GG385
GG316	GG385
GG319	GG385
GG346	GG385
GG6	GG386
GG9	GG386
GG54	GG386
GG62	GG386
GG67	GG386
GG137	GG386
GG142	GG386
GG186	GG386
GG301	GG386
GG315	GG386
GG134	GG389
GG4	GG391
GG4	GG392
GG232	GG393
GG80	GG394
GG189	GG394
GG218	GG394
GG273	GG394
GG316	GG394
GG385	GG394
GG28	GG395
GG340	GG396
GG10	GG398
GG15	GG398
GG16	GG398
GG38	GG398
GG40	GG398
GG44	GG398
GG46	GG398
GG60	GG398
GG71	GG398
GG88	GG398
GG92	GG398
GG110	GG398
GG120	GG398
GG127	GG398
GG172	GG398
GG188	GG398
GG196	GG398
GG211	GG398
GG214	GG398
GG226	GG398
GG228	GG398
GG232	GG398
GG234	GG398
GG240	GG398
GG312	GG398
GG322	GG398
GG357	GG398
GG362	GG398
GG372	GG398
GG385	GG398
GG14	GG399
GG205	GG401
GG189	GG402
GG378	GG402
GG1	GG403
GG2	GG405
GG1	GG406
GG14	GG407
GG76	GG408
GG80	GG408
GG261	GG408
GG2	GG409
GG378	GG410
GG32	GG411
GG289	GG411
GG164	GG412
GG265	GG412
GG15	GG413
GG50	GG414
GG355	GG415
GG4	GG416
GG67	GG416
GG142	GG416
GG239	GG416
GG245	GG416
GG141	GG417
GG206	GG417
GG253	GG417
GG332	GG417
GG414	GG417
GG1	GG418
GG2	GG418
GG6	GG418
GG9	GG418
GG142	GG418
GG210	GG418
GG239	GG418
