INTERACTOR_A	INTERACTOR_B
HH1	HH3
HH1	HH5
HH2	HH5
HH1	HH6
HH2	HH6
HH7	HH8
HH1	HH9
HH6	HH9
HH8	HH9
HH2	HH10
HH8	HH10
HH10	HH11
HH11	HH14
HH11	HH15
HH14	HH15
HH14	HH19
HH1	HH21
HH2	HH26
HH14	HH30
HH1	HH34
HH14	HH37
HH2	HH39
HH16	HH41
HH11	HH46
HH9	HH47
HH10	HH54
HH54	HH55
HH5	HH56
HH2	HH58
HH11	HH60
HH9	HH63
HH1	HH67
HH2	HH67
HH6	HH67
HH9	HH67
HH51	HH67
HH14	HH68
HH11	HH70
HH14	HH72
HH5	HH73
HH14	HH75
HH4	HH76
HH15	HH77
HH20	HH77
HH45	HH77
HH64	HH77
HH65	HH77
HH63	HH79
HH3	HH80
HH85	HH86
HH11	HH87
HH50	HH91
HH11	HH92
HH42	HH92
HH43	HH92
HH14	HH94
HH65	HH95
HH2	HH96
HH32	HH97
HH2	HH100
HH65	HH101
HH65	HH102
HH77	HH102
HH9	HH103
HH77	HH104
HH35	HH107
HH65	HH108
HH74	HH108
HH11	HH110
HH9	HH112
HH48	HH112
HH62	HH112
HH11	HH113
HH105	HH114
HH92	HH116
HH14	HH119
HH2	HH121
HH90	HH122
HH46	HH123
HH63	HH124
HH92	HH125
HH77	HH126
HH63	HH128
HH77	HH131
HH126	HH131
HH13	HH132
HH24	HH132
HH41	HH132
HH82	HH132
HH92	HH132
HH20	HH134
HH31	HH134
HH65	HH134
HH69	HH134
HH85	HH134
HH89	HH134
HH129	HH134
HH92	HH135
HH13	HH136
HH112	HH137
HH9	HH139
HH1	HH140
HH6	HH142
HH7	HH142
HH59	HH144
HH100	HH144
HH50	HH145
HH2	HH146
HH2	HH148
HH2	HH149
HH14	HH150
HH149	HH151
HH17	HH152
HH92	HH153
HH5	HH154
HH77	HH155
HH1	HH157
HH5	HH157
HH1	HH158
HH1	HH159
HH55	HH159
HH107	HH159
HH85	HH164
HH86	HH164
HH126	HH164
HH142	HH165
HH157	HH165
HH159	HH165
HH163	HH167
HH132	HH168
HH63	HH169
HH163	HH169
HH65	HH170
HH164	HH170
HH75	HH173
HH4	HH174
HH28	HH176
HH136	HH176
HH144	HH177
HH63	HH178
HH9	HH179
HH2	HH181
HH59	HH181
HH171	HH183
HH63	HH185
HH5	HH186
HH54	HH186
HH63	HH186
HH107	HH186
HH16	HH187
HH82	HH187
HH132	HH187
HH1	HH189
HH9	HH189
HH66	HH189
HH159	HH189
HH92	HH190
HH163	HH192
HH1	HH193
HH5	HH197
HH9	HH198
HH1	HH201
HH164	HH202
HH92	HH203
HH5	HH204
HH93	HH206
HH65	HH209
HH6	HH210
HH52	HH210
HH2	HH213
HH11	HH214
HH2	HH216
HH11	HH216
HH33	HH216
HH92	HH217
HH4	HH218
HH9	HH218
HH200	HH218
HH160	HH222
HH14	HH223
HH92	HH225
HH11	HH226
HH171	HH227
HH11	HH228
HH92	HH230
HH9	HH231
HH14	HH232
HH16	HH232
HH23	HH232
HH92	HH232
HH118	HH232
HH187	HH232
HH5	HH233
HH189	HH235
HH132	HH236
HH144	HH237
HH218	HH238
HH1	HH239
HH5	HH239
HH6	HH239
HH14	HH239
HH142	HH239
HH159	HH239
HH14	HH242
HH7	HH244
HH9	HH244
HH25	HH244
HH10	HH245
HH105	HH245
HH189	HH247
HH9	HH248
HH61	HH249
HH106	HH252
HH50	HH253
HH63	HH254
HH128	HH254
HH52	HH256
HH4	HH257
HH80	HH259
HH2	HH260
HH5	HH261
HH9	HH261
HH63	HH261
HH80	HH261
HH189	HH261
HH61	HH262
HH249	HH262
HH8	HH264
HH159	HH264
HH126	HH265
HH241	HH265
HH106	HH266
HH163	HH266
HH144	HH269
HH237	HH269
HH15	HH270
HH181	HH270
HH77	HH271
HH106	HH272
HH5	HH273
HH136	HH275
HH15	HH277
HH15	HH278
HH210	HH279
HH2	HH281
HH92	HH282
HH95	HH282
HH108	HH282
HH164	HH282
HH5	HH283
HH11	HH284
HH12	HH284
HH232	HH284
HH82	HH286
HH187	HH286
HH16	HH287
HH77	HH288
HH265	HH288
HH149	HH290
HH27	HH293
HH218	HH293
HH61	HH295
HH293	HH295
HH11	HH296
HH14	HH297
HH2	HH298
HH9	HH298
HH54	HH298
HH67	HH298
HH142	HH298
HH239	HH298
HH245	HH298
HH4	HH299
HH24	HH300
HH55	HH301
HH112	HH301
HH261	HH301
HH1	HH302
HH2	HH303
HH29	HH303
HH90	HH303
HH189	HH304
HH5	HH305
HH5	HH306
HH63	HH306
HH183	HH306
HH227	HH306
HH285	HH306
HH23	HH307
HH232	HH307
HH206	HH308
HH61	HH309
HH259	HH309
HH261	HH309
HH63	HH310
HH136	HH312
HH5	HH313
HH32	HH314
HH63	HH314
HH106	HH314
HH178	HH314
HH55	HH315
HH107	HH315
HH112	HH315
HH298	HH315
HH1	HH316
HH4	HH316
HH63	HH316
HH251	HH316
HH291	HH316
HH293	HH316
HH11	HH317
HH14	HH318
HH2	HH319
HH6	HH319
HH165	HH319
HH264	HH319
HH163	HH320
HH14	HH321
HH1	HH324
HH4	HH324
HH73	HH324
HH78	HH324
HH117	HH324
HH157	HH324
HH180	HH324
HH183	HH324
HH186	HH324
HH195	HH324
HH205	HH324
HH220	HH324
HH221	HH324
HH233	HH324
HH239	HH324
HH261	HH324
HH268	HH324
HH283	HH324
HH285	HH324
HH311	HH324
HH313	HH324
HH82	HH326
HH187	HH326
HH15	HH327
HH14	HH328
HH164	HH330
HH265	HH330
HH14	HH331
HH20	HH331
HH31	HH331
HH65	HH331
HH69	HH331
HH85	HH331
HH89	HH331
HH147	HH331
HH156	HH331
HH271	HH331
HH50	HH332
HH100	HH333
HH189	HH334
HH297	HH335
HH12	HH336
HH181	HH336
HH179	HH337
HH199	HH337
HH100	HH338
HH2	HH339
HH267	HH340
HH63	HH341
HH142	HH341
HH279	HH341
HH293	HH341
HH319	HH341
HH90	HH342
HH1	HH343
HH134	HH344
HH35	HH345
HH182	HH346
HH186	HH346
HH261	HH346
HH16	HH348
HH232	HH348
HH340	HH349
HH183	HH351
HH285	HH351
HH8	HH352
HH218	HH352
HH173	HH353
HH112	HH354
HH261	HH354
HH298	HH354
HH14	HH355
HH168	HH355
HH187	HH355
HH229	HH355
HH236	HH355
HH326	HH355
HH154	HH358
HH2	HH359
HH1	HH361
HH11	HH362
HH1	HH363
HH302	HH363
HH63	HH364
HH178	HH364
HH314	HH364
HH2	HH365
HH143	HH365
HH235	HH366
HH324	HH367
HH77	HH368
HH134	HH368
HH14	HH370
HH11	HH372
HH12	HH372
HH16	HH372
HH22	HH372
HH232	HH372
HH255	HH372
HH1	HH373
HH213	HH374
HH316	HH375
HH14	HH376
HH24	HH376
HH236	HH376
HH1	HH378
HH8	HH378
HH18	HH378
HH35	HH378
HH133	HH378
HH159	HH378
HH261	HH378
HH292	HH378
HH316	HH378
HH14	HH380
HH2	HH381
HH226	HH382
HH6	HH384
HH9	HH384
HH48	HH384
HH62	HH384
HH67	HH384
HH142	HH384
HH186	HH384
HH244	HH384
HH346	HH384
HH2	HH385
HH4	HH385
HH6	HH385
HH7	HH385
HH8	HH385
HH239	HH385
HH245	HH385
HH298	HH385
HH315	HH385
HH316	HH385
HH319	HH385
HH346	HH385
HH6	HH386
HH9	HH386
HH54	HH386
HH62	HH386
HH67	HH386
HH137	HH386
HH142	HH386
HH186	HH386
HH301	HH386
HH315	HH386
HH134	HH389
HH4	HH391
HH4	HH392
HH232	HH393
HH80	HH394
HH189	HH394
HH218	HH394
HH273	HH394
HH316	HH394
HH385	HH394
HH28	HH395
HH340	HH396
HH10	HH398
HH15	HH398
HH16	HH398
HH38	HH398
HH40	HH398
HH44	HH398
HH46	HH398
HH60	HH398
HH71	HH398
HH88	HH398
HH92	HH398
HH100	HH398
HH110	HH398
HH120	HH398
HH127	HH398
HH172	HH398
HH188	HH398
HH196	HH398
HH211	HH398
HH226	HH398
HH228	HH398
HH232	HH398
HH234	HH398
HH240	HH398
HH296	HH398
HH312	HH398
HH322	HH398
HH357	HH398
HH372	HH398
HH385	HH398
HH14	HH399
HH205	HH401
HH189	HH402
HH378	HH402
HH1	HH403
HH2	HH405
HH1	HH406
HH14	HH407
HH76	HH408
HH80	HH408
HH107	HH408
HH261	HH408
HH2	HH409
HH378	HH410
HH32	HH411
HH289	HH411
HH164	HH412
HH15	HH413
HH50	HH414
HH355	HH415
HH4	HH416
HH67	HH416
HH142	HH416
HH245	HH416
HH206	HH417
HH253	HH417
HH332	HH417
HH414	HH417
HH1	HH418
HH2	HH418
HH6	HH418
HH9	HH418
HH142	HH418
HH210	HH418
HH239	HH418
HH303	HH418
HH92	HH419
HH2	HH420
HH293	HH422
HH319	HH422
HH1	HH423
HH8	HH423
HH62	HH423
HH66	HH423
HH115	HH423
HH159	HH423
HH162	HH423
HH184	HH423
HH219	HH423
HH366	HH423
HH394	HH423
HH402	HH423
HH164	HH424
HH77	HH425
HH134	HH425
HH340	HH427
HH142	HH428
HH245	HH428
HH341	HH429
HH14	HH430
HH89	HH430
HH138	HH430
HH321	HH430
HH350	HH430
HH5	HH431
HH189	HH432
HH187	HH433
HH286	HH433
HH301	HH434
