INTERACTOR_A	INTERACTOR_B
BB1	BB2
BB1	BB3
BB2	BB3
BB1	BB4
BB2	BB4
BB3	BB4
BB1	BB5
BB2	BB5
BB3	BB5
BB4	BB5
BB1	BB6
BB2	BB6
BB3	BB6
BB4	BB6
BB5	BB6
BB1	BB7
BB2	BB7
BB3	BB7
BB4	BB7
BB5	BB7
BB6	BB7
BB1	BB8
BB2	BB8
BB3	BB8
BB4	BB8
BB5	BB8
BB6	BB8
BB7	BB8
BB1	BB9
BB2	BB9
BB3	BB9
BB4	BB9
BB5	BB9
BB6	BB9
BB7	BB9
BB8	BB9
BB1	BB10
BB2	BB10
BB3	BB10
BB4	BB10
BB5	BB10
BB6	BB10
BB7	BB10
BB8	BB10
BB9	BB10
BB5	BB12
BB7	BB12
BB10	BB12
BB11	BB12
BB8	BB13
BB11	BB13
BB12	BB13
BB11	BB14
BB12	BB14
BB13	BB14
BB9	BB15
BB11	BB15
BB12	BB15
BB13	BB15
BB14	BB15
BB2	BB16
BB11	BB16
BB12	BB16
BB13	BB16
BB14	BB16
BB15	BB16
BB5	BB17
BB10	BB17
BB11	BB17
BB12	BB17
BB13	BB17
BB14	BB17
BB15	BB17
BB16	BB17
BB9	BB18
BB2	BB19
BB8	BB20
BB13	BB21
BB5	BB22
BB13	BB23
BB9	BB24
BB5	BB25
BB13	BB26
BB9	BB27
BB14	BB28
BB11	BB29
BB5	BB30
BB13	BB31
BB9	BB32
BB9	BB33
BB4	BB34
BB15	BB35
BB6	BB36
BB5	BB37
BB15	BB38
BB12	BB39
BB10	BB40
BB4	BB41
BB13	BB42
BB17	BB43
BB9	BB44
BB3	BB45
BB10	BB46
BB10	BB47
BB2	BB48
BB9	BB49
BB2	BB50
BB1	BB51
BB3	BB51
BB5	BB51
BB9	BB51
BB8	BB52
BB37	BB53
BB7	BB54
BB10	BB54
BB11	BB54
BB15	BB54
BB16	BB54
BB2	BB55
BB3	BB55
BB5	BB55
BB9	BB55
BB34	BB55
BB41	BB55
BB11	BB56
BB2	BB57
BB5	BB57
BB8	BB57
BB10	BB57
BB51	BB57
BB29	BB58
BB15	BB59
BB28	BB59
BB14	BB60
BB10	BB61
BB54	BB62
BB52	BB63
BB9	BB64
BB4	BB65
BB27	BB65
BB4	BB66
BB6	BB66
BB24	BB66
BB44	BB66
BB51	BB66
BB29	BB67
BB2	BB68
BB55	BB69
BB9	BB70
BB12	BB71
BB13	BB72
BB59	BB73
BB61	BB73
BB44	BB74
BB51	BB74
BB5	BB75
BB1	BB76
BB5	BB76
BB9	BB76
BB66	BB76
BB15	BB77
BB16	BB77
BB54	BB78
BB3	BB79
BB7	BB79
BB10	BB79
BB52	BB79
BB5	BB80
BB29	BB81
BB9	BB82
BB10	BB83
BB63	BB84
BB10	BB85
BB3	BB86
BB19	BB86
BB52	BB86
BB2	BB87
BB9	BB88
BB9	BB89
BB66	BB89
BB12	BB90
BB37	BB91
BB66	BB92
BB2	BB93
BB8	BB93
BB51	BB93
BB11	BB94
BB12	BB94
BB17	BB94
BB23	BB94
BB42	BB94
BB4	BB95
BB2	BB96
BB5	BB96
BB41	BB96
BB1	BB97
BB3	BB97
BB6	BB97
BB27	BB97
BB55	BB97
BB64	BB97
BB70	BB97
BB76	BB97
BB27	BB98
BB45	BB99
BB2	BB100
BB43	BB101
BB9	BB102
BB9	BB103
BB10	BB104
BB94	BB105
BB3	BB106
BB99	BB106
BB2	BB107
BB94	BB108
BB29	BB109
BB15	BB110
BB1	BB111
BB2	BB111
BB5	BB111
BB7	BB111
BB9	BB111
BB3	BB112
BB5	BB112
BB13	BB112
BB93	BB112
BB9	BB113
BB11	BB114
BB13	BB114
BB15	BB114
BB17	BB114
BB42	BB114
