INTERACTOR_A	INTERACTOR_B
CC1	CC2
CC1	CC3
CC2	CC3
CC1	CC4
CC2	CC4
CC3	CC4
CC1	CC5
CC2	CC5
CC3	CC5
CC4	CC5
CC1	CC6
CC2	CC6
CC3	CC6
CC4	CC6
CC5	CC6
CC1	CC7
CC2	CC7
CC3	CC7
CC4	CC7
CC5	CC7
CC6	CC7
CC1	CC8
CC2	CC8
CC3	CC8
CC4	CC8
CC5	CC8
CC6	CC8
CC7	CC8
CC1	CC9
CC2	CC9
CC3	CC9
CC4	CC9
CC5	CC9
CC6	CC9
CC7	CC9
CC8	CC9
CC1	CC10
CC2	CC10
CC3	CC10
CC4	CC10
CC5	CC10
CC6	CC10
CC7	CC10
CC8	CC10
CC9	CC10
CC5	CC12
CC7	CC12
CC10	CC12
CC11	CC12
CC8	CC13
CC11	CC13
CC12	CC13
CC11	CC14
CC12	CC14
CC13	CC14
CC9	CC15
CC11	CC15
CC12	CC15
CC13	CC15
CC14	CC15
CC2	CC16
CC11	CC16
CC12	CC16
CC13	CC16
CC14	CC16
CC15	CC16
CC5	CC17
CC10	CC17
CC11	CC17
CC12	CC17
CC13	CC17
CC14	CC17
CC15	CC17
CC16	CC17
CC9	CC18
CC2	CC19
CC8	CC20
CC13	CC21
CC5	CC22
CC13	CC23
CC9	CC24
CC5	CC25
CC13	CC26
CC9	CC27
CC14	CC28
CC11	CC29
CC5	CC30
CC13	CC31
CC9	CC32
CC9	CC33
CC4	CC34
CC15	CC35
CC6	CC36
CC5	CC37
CC15	CC38
CC12	CC39
CC10	CC40
CC4	CC41
CC13	CC42
CC17	CC43
CC9	CC44
CC3	CC45
CC10	CC46
CC10	CC47
CC2	CC48
CC9	CC49
CC2	CC50
CC1	CC51
CC3	CC51
CC5	CC51
CC9	CC51
CC8	CC52
CC37	CC53
CC7	CC54
CC10	CC54
CC11	CC54
CC15	CC54
CC16	CC54
CC2	CC55
CC3	CC55
CC5	CC55
CC9	CC55
CC34	CC55
CC41	CC55
CC11	CC56
CC2	CC57
CC5	CC57
CC8	CC57
CC10	CC57
CC51	CC57
CC29	CC58
CC15	CC59
CC28	CC59
CC14	CC60
CC10	CC61
CC54	CC62
CC52	CC63
CC9	CC64
CC4	CC65
CC27	CC65
CC4	CC66
CC6	CC66
CC24	CC66
CC44	CC66
CC51	CC66
CC29	CC67
CC2	CC68
CC55	CC69
CC9	CC70
CC12	CC71
CC13	CC72
CC59	CC73
CC61	CC73
CC44	CC74
CC51	CC74
CC5	CC75
CC1	CC76
CC5	CC76
CC9	CC76
CC66	CC76
CC15	CC77
CC16	CC77
CC54	CC78
CC3	CC79
CC7	CC79
CC10	CC79
CC52	CC79
CC5	CC80
CC29	CC81
CC9	CC82
CC10	CC83
CC63	CC84
CC10	CC85
CC3	CC86
CC19	CC86
CC52	CC86
CC2	CC87
CC9	CC88
CC9	CC89
CC66	CC89
CC12	CC90
CC37	CC91
CC66	CC92
CC2	CC93
CC8	CC93
CC51	CC93
CC11	CC94
CC12	CC94
CC17	CC94
CC23	CC94
CC42	CC94
CC4	CC95
CC2	CC96
CC5	CC96
CC41	CC96
CC1	CC97
CC3	CC97
CC6	CC97
