INTERACTOR_A	INTERACTOR_B
GG1	GG2
GG1	GG3
GG2	GG3
GG1	GG4
GG2	GG4
GG3	GG4
GG1	GG5
GG2	GG5
GG3	GG5
GG4	GG5
GG1	GG6
GG2	GG6
GG3	GG6
GG4	GG6
GG5	GG6
GG1	GG7
GG2	GG7
GG3	GG7
GG4	GG7
GG5	GG7
GG6	GG7
GG1	GG8
GG2	GG8
GG3	GG8
GG4	GG8
GG5	GG8
GG6	GG8
GG7	GG8
GG1	GG9
GG2	GG9
GG3	GG9
GG4	GG9
GG5	GG9
GG6	GG9
GG7	GG9
GG8	GG9
GG1	GG10
GG2	GG10
GG3	GG10
GG4	GG10
GG5	GG10
GG6	GG10
GG7	GG10
GG8	GG10
GG9	GG10
GG5	GG12
GG7	GG12
GG10	GG12
GG11	GG12
GG8	GG13
GG11	GG13
GG12	GG13
GG11	GG14
GG12	GG14
GG13	GG14
GG9	GG15
GG11	GG15
GG12	GG15
GG13	GG15
GG14	GG15
GG2	GG16
GG11	GG16
GG12	GG16
GG13	GG16
GG14	GG16
GG15	GG16
GG5	GG17
GG10	GG17
GG11	GG17
GG12	GG17
GG13	GG17
GG14	GG17
GG15	GG17
GG16	GG17
GG9	GG18
GG2	GG19
GG8	GG20
GG13	GG21
GG5	GG22
GG13	GG23
GG9	GG24
GG5	GG25
GG13	GG26
GG9	GG27
GG14	GG28
GG11	GG29
GG5	GG30
GG13	GG31
GG9	GG32
GG9	GG33
GG4	GG34
GG15	GG35
GG6	GG36
GG5	GG37
GG15	GG38
GG12	GG39
GG10	GG40
GG4	GG41
GG13	GG42
GG17	GG43
GG9	GG44
GG3	GG45
GG10	GG46
GG10	GG47
GG2	GG48
GG9	GG49
GG2	GG50
GG1	GG51
GG3	GG51
GG5	GG51
GG9	GG51
GG8	GG52
GG37	GG53
GG7	GG54
GG10	GG54
GG11	GG54
GG15	GG54
GG16	GG54
GG2	GG55
GG3	GG55
GG5	GG55
GG9	GG55
GG34	GG55
GG41	GG55
GG11	GG56
GG2	GG57
GG5	GG57
GG8	GG57
GG10	GG57
GG51	GG57
GG29	GG58
GG15	GG59
GG28	GG59
GG14	GG60
GG10	GG61
GG54	GG62
GG52	GG63
GG9	GG64
GG4	GG65
GG27	GG65
GG4	GG66
GG6	GG66
GG24	GG66
GG44	GG66
GG51	GG66
GG29	GG67
GG2	GG68
GG55	GG69
GG9	GG70
GG12	GG71
GG13	GG72
GG59	GG73
GG61	GG73
GG44	GG74
GG51	GG74
GG5	GG75
GG1	GG76
GG5	GG76
GG9	GG76
GG66	GG76
GG15	GG77
GG16	GG77
GG54	GG78
GG3	GG79
GG7	GG79
GG10	GG79
GG52	GG79
GG5	GG80
GG29	GG81
GG9	GG82
GG10	GG83
GG63	GG84
GG10	GG85
GG3	GG86
GG19	GG86
GG52	GG86
GG2	GG87
GG9	GG88
GG9	GG89
GG66	GG89
GG12	GG90
GG37	GG91
GG66	GG92
GG2	GG93
GG8	GG93
GG51	GG93
GG11	GG94
GG12	GG94
GG17	GG94
GG23	GG94
GG42	GG94
GG4	GG95
GG2	GG96
GG5	GG96
GG41	GG96
GG1	GG97
GG3	GG97
GG6	GG97
GG27	GG97
GG55	GG97
GG64	GG97
GG70	GG97
GG76	GG97
GG27	GG98
GG45	GG99
GG2	GG100
GG43	GG101
GG9	GG102
GG9	GG103
GG10	GG104
GG94	GG105
GG3	GG106
GG99	GG106
GG2	GG107
GG94	GG108
GG29	GG109
GG15	GG110
GG1	GG111
GG2	GG111
GG5	GG111
GG7	GG111
GG9	GG111
GG3	GG112
GG5	GG112
GG13	GG112
GG93	GG112
GG9	GG113
GG11	GG114
GG13	GG114
GG15	GG114
GG17	GG114
GG42	GG114
GG43	GG115
GG14	GG116
GG10	GG117
GG15	GG118
GG4	GG119
GG24	GG119
GG51	GG119
GG77	GG119
GG89	GG119
GG92	GG119
GG4	GG120
GG24	GG120
GG44	GG120
GG76	GG120
GG10	GG121
GG57	GG121
GG73	GG121
GG58	GG122
GG67	GG122
GG81	GG122
GG11	GG123
GG12	GG123
GG16	GG123
GG28	GG123
GG116	GG123
GG2	GG124
GG41	GG124
GG51	GG125
GG2	GG126
GG3	GG126
GG7	GG126
GG8	GG126
GG12	GG126
GG25	GG126
GG30	GG126
GG37	GG126
GG57	GG126
GG76	GG126
GG55	GG127
GG3	GG128
GG5	GG128
GG7	GG128
GG2	GG129
GG5	GG129
GG10	GG129
GG121	GG129
GG37	GG130
GG9	GG131
GG59	GG132
GG121	GG132
GG13	GG133
GG28	GG133
GG13	GG134
GG1	GG135
GG3	GG135
GG27	GG135
GG21	GG136
GG69	GG136
GG97	GG136
GG15	GG137
GG13	GG138
GG45	GG139
GG102	GG139
GG9	GG140
GG14	GG141
GG15	GG141
GG53	GG141
GG77	GG141
GG123	GG141
GG13	GG142
GG94	GG142
GG7	GG143
GG30	GG143
GG37	GG143
GG57	GG143
GG94	GG144
GG11	GG145
GG2	GG146
GG50	GG146
GG66	GG147
GG14	GG148
GG101	GG149
GG14	GG150
GG5	GG151
GG10	GG151
GG5	GG152
GG10	GG152
GG29	GG152
GG3	GG153
GG5	GG153
GG28	GG154
GG45	GG154
GG55	GG155
GG3	GG156
GG7	GG156
GG9	GG156
GG10	GG156
GG12	GG156
GG37	GG156
GG55	GG156
GG80	GG156
GG96	GG156
GG111	GG156
GG128	GG156
GG153	GG156
GG11	GG157
GG23	GG157
GG112	GG157
GG134	GG157
GG11	GG158
GG23	GG158
GG112	GG158
GG55	GG159
GG14	GG160
GG49	GG161
GG5	GG162
GG10	GG162
GG2	GG163
GG2	GG164
GG31	GG165
GG72	GG165
GG112	GG165
GG134	GG165
GG142	GG165
GG11	GG166
GG58	GG166
GG109	GG166
GG43	GG167
GG149	GG167
GG2	GG168
GG156	GG169
GG10	GG170
GG12	GG170
GG96	GG170
GG169	GG170
GG56	GG171
GG13	GG172
GG17	GG172
GG39	GG172
GG156	GG172
GG3	GG173
GG2	GG174
GG133	GG175
GG166	GG175
GG2	GG176
GG3	GG176
GG6	GG176
GG65	GG176
GG95	GG176
GG15	GG177
GG171	GG178
GG156	GG179
GG112	GG180
GG165	GG181
GG97	GG182
GG105	GG182
GG10	GG183
GG173	GG183
