co3 do10460 hu15301 mo10350 ra4216 
co7736 do6104 hu5774 mo328 ra4859 
co1524 do11886 hu7994 mo8943 ra11332 
co11467 do7856 hu5385 mo7937 ra15617 
co3024 do2607 hu639 mo1301 ra2105 
co1876 do4976 hu188 mo788 ra1815 
co260 do2383 hu1522 mo2614 ra3794 
co1962 do1986 hu14267 mo5781 ra8909 
co4082 do3881 hu10820 mo9681 ra8387 
co6903 do8616 hu9049 mo2202 ra4525 
co567 do426 hu2651 mo17041 ra459 
co321 do14497 hu4014 mo94 ra1716 
co431 do3785 hu4204 mo4480 ra2752 
co362 do2191 hu3134 mo1508 ra602 
co11301 do11811 hu16485 mo13660 ra1503 
co1063 do2702 hu1765 mo3413 ra2751 
co3495 do9155 hu797 mo12448 ra3409 
co6355 do6690 hu3527 mo3137 ra7490 
co3757 do1510 hu6500 mo7273 ra82 
co1533 do6416 hu2664 mo5523 ra2876 
co1986 do4955 hu5000 mo6280 ra3091 
co6555 do7162 hu3119 mo5659 ra2878 
co9762 do5986 hu10667 mo5863 ra3160 
co10890 do10732 hu7525 mo11125 ra9747 
co5321 do6783 hu4687 mo9980 ra7991 
co802 do2805 hu5542 mo2535 ra6537 
co11617 do4985 hu12482 mo6405 ra4191 
co8403 do10721 hu15307 mo6178 ra5560 
co1557 do4261 hu4261 mo891 ra486 
co5193 do3840 hu1930 mo3841 ra5201 
co7318 do4210 hu6251 mo7665 ra6241 
co7260 do3576 hu9047 mo1431 ra7538 
co10101 do9110 hu9553 mo10985 ra9697 
co4378 do3430 hu9298 mo8088 ra3349 
co3470 do2555 hu8761 mo587 ra3881 
co3642 do4510 hu12657 mo4004 ra5668 
co14761 do373 hu5627 mo948 ra970 
co5133 do6056 hu6404 mo1858 ra1231 
co9923 do5351 hu2088 mo8690 ra6902 
co11895 do4365 hu8828 mo4459 ra8032 
co363 do1703 hu1919 mo4458 ra1940 
co287 do1933 hu6917 mo1102 ra1440 
co1862 do2038 hu1442 mo1754 ra389 
co1889 do6710 hu567 mo5807 ra2225 
co8804 do5324 hu6225 mo7946 ra9331 
co11975 do7165 hu4549 mo6807 ra2394 
co3091 do9050 hu6323 mo7658 ra4982 
co3079 do6069 hu9659 mo6508 ra8221 
co813 do6792 hu580 mo4287 ra4094 
co12321 do3506 hu9521 mo8837 ra4623 
co9957 do2631 hu3587 mo10488 ra3637 
co10075 do7655 hu3946 mo9856 ra2727 
co4534 do5922 hu2326 mo1759 ra7057 
co832 do8735 hu8477 mo4374 ra3616 
co12294 do9865 hu3847 mo11621 ra6814 
co5941 do5218 hu4077 mo7371 ra212 
co2294 do613 hu1060 mo609 ra2040 
co1246 do1282 hu4527 mo6339 ra6201 
co9687 do11568 hu9804 mo125 ra4502 
co6458 do1168 hu4371 mo2927 ra5085 
co6148 do774 hu6914 mo6981 ra11846 
co8451 do3666 hu10182 mo8209 ra1156 
co3762 do1169 hu8428 mo7619 ra10077 
co13629 do10083 hu8209 mo15426 ra12671 
co6743 do4980 hu10206 mo4301 ra4492 
co5913 do5275 hu927 mo1777 ra8342 
co7068 do8669 hu9492 mo5184 ra258 
co11692 do7930 hu12600 mo13006 ra9096 
co6916 do4582 hu4205 mo9284 ra2491 
co6708 do868 hu9200 mo7397 ra2997 
co6359 do445 hu7669 mo2099 ra2653 
co5328 do4528 hu10103 mo9719 ra7336 
co8087 do2487 hu6236 mo2379 ra2777 
co5888 do9324 hu3163 mo663 ra1108 
co5935 do9015 hu1903 mo7267 ra5954 
co5916 do1999 hu5258 mo662 ra1109 
co6244 do1998 hu4048 mo10532 ra1159 
co3180 do2638 hu8628 mo2113 ra5066 
co4724 do4590 hu6768 mo8563 ra7085 
co6286 do586 hu1151 mo8159 ra1893 
co4628 do1773 hu6229 mo361 ra3476 
co1918 do977 hu1814 mo1200 ra731 
co4355 do9791 hu1433 mo6870 ra802 
co374 do3122 hu5380 mo4070 ra1153 
