co3 do10460 hu15301 mo10350 ra4216 
co11656 do3388 hu1883 mo3552 ra4134 
co964 do4617 hu6220 mo5035 ra6316 
co7736 do6104 hu5774 mo328 ra4859 
co1524 do11886 hu7994 mo8943 ra11332 
co11467 do7856 hu5385 mo7937 ra15617 
co3298 do2235 hu3456 mo9003 ra5003 
co4400 do5222 hu5573 mo178 ra2151 
co3024 do2607 hu639 mo1301 ra2105 
co4141 do4088 hu11429 mo4236 ra2811 
co1876 do4976 hu188 mo788 ra1815 
co260 do2383 hu1522 mo2614 ra3794 
co3804 do4044 hu3455 mo8341 ra11105 
co1962 do1986 hu14267 mo5781 ra8909 
co4082 do3881 hu10820 mo9681 ra8387 
co1815 do2705 hu1269 mo2341 ra1297 
co6903 do8616 hu9049 mo2202 ra4525 
co14753 do9009 hu2853 mo312 ra3332 
co567 do426 hu2651 mo17041 ra459 
co14769 do2459 hu512 mo10547 ra6359 
co13075 do3562 hu13599 mo10107 ra460 
co9104 do10077 hu9429 mo8243 ra14008 
co321 do14497 hu4014 mo94 ra1716 
co431 do3785 hu4204 mo4480 ra2752 
co14742 do2992 hu7748 mo3282 ra3952 
co1034 do953 hu854 mo1118 ra1504 
co362 do2191 hu3134 mo1508 ra602 
co11301 do11811 hu16485 mo13660 ra1503 
co1063 do2702 hu1765 mo3413 ra2751 
co3495 do9155 hu797 mo12448 ra3409 
co10773 do10181 hu9822 mo2938 ra5310 
co6355 do6690 hu3527 mo3137 ra7490 
co8010 do5019 hu10547 mo11488 ra11496 
co3757 do1510 hu6500 mo7273 ra82 
co3576 do5730 hu192 mo3381 ra3946 
co11213 do6070 hu7891 mo2818 ra12735 
co5431 do1160 hu467 mo7109 ra4793 
co1533 do6416 hu2664 mo5523 ra2876 
co1986 do4955 hu5000 mo6280 ra3091 
co9388 do4370 hu8538 mo1225 ra2144 
co6555 do7162 hu3119 mo5659 ra2878 
co9762 do5986 hu10667 mo5863 ra3160 
co10890 do10732 hu7525 mo11125 ra9747 
co5321 do6783 hu4687 mo9980 ra7991 
co802 do2805 hu5542 mo2535 ra6537 
co6712 do4408 hu2858 mo4450 ra4192 
co3973 do8293 hu10666 mo3066 ra5123 
co1685 do404 hu4473 mo2897 ra15609 
co11617 do4985 hu12482 mo6405 ra4191 
co8403 do10721 hu15307 mo6178 ra5560 
co1557 do4261 hu4261 mo891 ra486 
co8448 do2051 hu3247 mo6734 ra6560 
co5193 do3840 hu1930 mo3841 ra5201 
co7696 do11230 hu12634 mo3135 ra485 
co7318 do4210 hu6251 mo7665 ra6241 
co5679 do9511 hu2395 mo5084 ra572 
co7260 do3576 hu9047 mo1431 ra7538 
co10101 do9110 hu9553 mo10985 ra9697 
co4378 do3430 hu9298 mo8088 ra3349 
co3470 do2555 hu8761 mo587 ra3881 
