F1PX62	F1MZA9	D3ZV26	A2BED8	Q96II8
F1PU58	P62261	D4A9N5	Q61510	O43439
E2R8C6	F1MM57	P11240	Q9JLY0	Q96CW6
F1PF03	P67939	B5DF02	Q9JLV5	P42338
J9P9V0	F1MC14	P35739	Q80V62	Q9C002
F1PTE2	Q08E54	P10361	Q6P5F9	Q99748
F1Q331	Q17QG8	G3V8T4	P14131	Q9UJU2
E2QXF0	F1MF93	D3ZTY6	Q80ZD8	Q9UP65
F1PGW5	Q2YDH0	Q00961	P55292	O15457
E2RBY3	Q5EAB2	P97536	Q3UIL6	Q6UWB1
F1PSC4	P63103	A0A0G2K612	Q60631	Q9UBU3
E2R6T4	Q08DH1	A0A0G2K5U0	Q921E6	P26373
J9NZ08	E1BM50	P24050	Q922S4	Q86V88
E2RR01	F1MFT4	D3ZUC2	Q62108	Q8NEX5
E2QV97	Q3ZBS7	Q4KM34	P13597	Q9UIU6
F1PGY1	Q76LV2	P35213	Q01853	Q8N3R9
J9PBC5	F1MRD0	A0A0G2K099	P56959	A1L4L8
E2R0L6	E1BGU8	F1LY69	O54828	Q8NCG7
E2RSH8	F1MLK9	G3V8S5	P48754	A8MTY7
O18840	G3MX90	A0A0G2JVW5	P09405	Q4FZB7
F6XV05	E1B9L6	D3ZJK0	Q64695	Q9Y5W7
J9P891	F1MKZ7	Q0VGK0	D3YYU8	P05813
F1P9H0	E1B7G6	Q9JHU5	P63216	O75783
E2R9T6	Q5E9F7	A0A0G2JTG7	Q9Z2X1	O15195
F1P7T4	F1N506	A0A0G2K0D4	P01108	O15254
J9NVF5	Q3B8S0	A0A140TAH1	Q80Z64	P27918
E2RFR0	E1BGZ2	F1LM09	Q9CUN6	P46695
E2QYG9	F1MT04	Q9R1J8	O88910	P60522
F1Q402	F1MUZ3	P68511	F8VQ72	Q9BX68
F1PP86	F1N7F3	P62994	P19785	Q16612
J9NS42	E1BH22	D3Z822	Q9CXU1	O95777
J9NV67	Q0V8H6	F1MA52	Q61767	Q15714
J9NWL1	Q0VCV0	Q3ZAV2	P38647	Q9Y6J9
J9NXM2	E1B9T7	A0A0G2JT93	P58252	Q5VZK9
F1PRW0	Q3T003	Q00969	P14206	Q5FWF4
E2R0T6	F1MCT8	G3V8L3	P68254	Q96PC5
E2RA07	Q0VCX4	A0A0H2UHX8	Q8VDM4	O94769
F1PGL9	F6R7X9	Q5XIM9	Q9CQJ4	Q9H6E4
F1PR94	F1MEY1	Q501W4	Q99J93	Q9BY07
E2RQS9	A1A4I9	P09456	P97315	O43812
E2RJX4	A8E651	F1M9D6	P60521	Q9NWT6
F6UZ83	E1BFS2	G3V8C3	P11276	Q8TAE6
E2RRB7	A6H7B7	P41499	Q8CFI7	O00767
F1PLK9	Q1LZB2	D3ZV40	Q04207	O60739
G1K2D2	F1MG10	D4ACL8	Q9Z1M4	Q96G46
E2QWE0	F1MFF1	P19139	O08749	Q86UR1
F1PK40	G3MX53	D4A9N9	P56812	P49190
