co702 rt428
co67 rt156
co67 rt912
co675 rt156
co675 rt912
co324 rt190
co324 rt240
co324 rt356
co324 rt371
co324 rt775
co958 rt190
co958 rt240
co958 rt356
co958 rt371
co958 rt775
co8 rt480
co8 rt3870
co517 rt480
co517 rt3870
co124 rt55
co124 rt752
co124 rt774
co124 rt953
co193 rt55
co193 rt752
co193 rt774
co193 rt953
co508 rt55
co508 rt752
co508 rt774
co508 rt953
co1098 rt55
co1098 rt752
co1098 rt774
co1098 rt953
co1272 rt55
co1272 rt752
co1272 rt774
co1272 rt953
co1337 rt55
co1337 rt752
co1337 rt774
co1337 rt953
co1845 rt236
co1845 rt293
co1633 rt1226
co1491 rt2913
co100 rt1685
co6422 rt3037
co2988 rt1672
co11805 rt1976
co5585 rt3604
co1688 rt10211
co62 rt2980
co1453 rt1451
co12861 rt938
co5998 rt216
co396 rt7054
co1798 rt7054
co12720 rt6086
co2972 rt5239
co5983 rt4793
co795 rt3307
co1756 rt1604
co1756 rt5321
co98 rt2362
co20 rt8491
co467 rt8491
co8341 rt8273
co2226 rt1234
co3301 rt4074
co3301 rt6272
co3301 rt6870
co8051 rt1533
co8051 rt5558
co12320 rt1533
co12320 rt5558
co4657 rt261
co4743 rt2802
co4486 rt2172
co1509 rt9030
co6139 rt2788
co97 rt898
co2758 rt3971
co957 rt1036
co1940 rt1036
co5010 rt1036
co258 rt1116
co12305 rt5899
co12305 rt9203
co12305 rt11640
co14710 rt4226
co2685 rt7563
co3805 rt7563
co2982 rt4508
co2982 rt5846
co2982 rt12193
co4601 rt3945
co4601 rt5248
co5127 rt3435
co3693 rt1549
co465 rt568
co7746 rt568
co38 rt1620
co1280 rt52
co7182 rt52
co7406 rt488
co443 rt5452
co2560 rt2200
co3172 rt9666
co14182 rt1371
co6700 rt8218
co770 rt14
co674 rt3801
co7998 rt791
co7998 rt3276
co7998 rt7944
co1392 rt2090
co1815 rt2090
co5681 rt2090
co2197 rt607
co417 rt628
co5883 rt13833
co4606 rt1973
co11720 rt8462
co2410 rt931
co1341 rt1825
co5477 rt584
co418 rt861
co3846 rt10505
co5264 rt2143
co7433 rt12236
co5111 rt9939
co3726 rt119
co3726 rt408
co3726 rt3991
co3726 rt13617
co3726 rt15646
co13139 rt1228
co7721 rt977
co2584 rt1487
co2880 rt1487
co5059 rt1096
co4340 rt3644
co4671 rt4625
co1510 rt8293
co6654 rt1738
co824 rt2515
co3352 rt2916
co515 rt543
co2717 rt8701
co37 rt6232
co3336 rt5810
co8054 rt13245
co1978 rt2456
co1106 rt1123
co1106 rt9511
co49 rt778
co1543 rt778
co4233 rt778
co7987 rt778
co12423 rt1679
co4027 rt5890
co1371 rt4453
co1974 rt4453
co6149 rt1424
co10801 rt1424
co8163 rt4302
co2776 rt1989
co2776 rt10481
co4652 rt1989
co4652 rt10481
co2740 rt474
co14274 rt474
co1444 rt14058
co5431 rt6892
co8257 rt3547
co1233 rt4201
co13969 rt4616
co3488 rt1540
co2591 rt1025
co7275 rt2412
co660 rt653
co660 rt1169
co4669 rt10377
co1640 rt1081
co1640 rt8644
co4243 rt1081
co4243 rt8644
co1230 rt2451
co151 rt4229
co4151 rt3256
co3449 rt1441
co3449 rt2167
co4809 rt5501
co491 rt2708
co1399 rt2989
co336 rt1004
co336 rt3691
co6778 rt1004
co6778 rt3691
co3066 rt161
co5259 rt998
co7180 rt1170
co2751 rt4399
co5237 rt4399
co364 rt10499
co1019 rt4547
co2619 rt1630
co2619 rt14880
co329 rt106
co329 rt8650
co576 rt5096
co2739 rt5096
co5435 rt2614
co10868 rt2614
co2612 rt2516
co2612 rt4799
co2612 rt5618
co8760 rt2516
co8760 rt4799
co8760 rt5618
co4012 rt9168
co3328 rt3746
co3328 rt4374
co3328 rt15287
co4981 rt1355
co9185 rt1355
co8055 rt15225
co2091 rt2792
co8908 rt11655
co565 rt2134
co1902 rt7481
co1067 rt13355
co5392 rt116
co14749 rt1449
co1563 rt1628
co2709 rt2645
co4789 rt1396
co4789 rt5611
co1318 rt6115
co2635 rt3717
co1004 rt8106
co1004 rt14888
co3510 rt2732
co1014 rt2572
co6489 rt759
co362 rt4569
co7040 rt2639
co7040 rt2810
co7040 rt5906
co3615 rt3237
co8176 rt9418
co6660 rt9779
co59 rt3745
co498 rt193
co498 rt1018
co12777 rt1611
co2930 rt1409
co4033 rt3201
co5500 rt9405
co1634 rt386
co5038 rt3472
co7609 rt1944
co7562 rt2758
co6535 rt6527
co14743 rt2883
co5483 rt14468
co1241 rt292
co7690 rt1741
co1452 rt117
co2805 rt3301
co2805 rt6503
co946 rt8474
co946 rt14892
co458 rt8983
co458 rt11115
co116 rt245
co116 rt379
co4921 rt2707
co262 rt1208
co758 rt311
co758 rt3055
co3015 rt10372
co3475 rt1084
co311 rt3496
co494 rt2283
co914 rt2231
co914 rt3733
co14057 rt2231
co14057 rt3733
co3569 rt3075
co3415 rt3227
co6211 rt3185
co708 rt955
co1005 rt3490
co9620 rt19
co3407 rt1323
co8599 rt1323
co11412 rt14458
co11754 rt14458
co657 rt3709
co6713 rt3618
co5046 rt14428
co3445 rt2823
co3445 rt4496
co9424 rt2823
co9424 rt4496
co8505 rt4329
co5570 rt820
co5570 rt14602
co4301 rt1029
co8160 rt1502
co8160 rt5883
co1027 rt3077
co1458 rt10341
co10484 rt2313
co10484 rt10472
co2157 rt7594
co6530 rt7594
co2623 rt3150
co4088 rt4486
co4088 rt9410
co158 rt671
co7859 rt1314
co10991 rt1769
co5721 rt1652
co3060 rt1864
co627 rt2140
co1999 rt5766
co1327 rt1935
co1327 rt5420
co3851 rt1935
co3851 rt5420
co8917 rt1935
co8917 rt5420
co14744 rt1935
co14744 rt5420
co7123 rt6637
co3554 rt8887
co3920 rt3550
co11303 rt7016
co3971 rt2683
co6796 rt2683
co10083 rt2683
co7805 rt5202
co4659 rt15601
co703 rt1490
co722 rt1349
co7403 rt182
co128 rt11209
co2046 rt4356
co7029 rt9191
co4493 rt5683
co4290 rt6730
co2168 rt378
co2553 rt2827
co3714 rt435
co1498 rt997
co5077 rt22
co1 rt4176
co10840 rt14345
co1170 rt4485
co7084 rt8665
co7084 rt11595
co7084 rt12310
co7084 rt14260
co743 rt3090
co1658 rt8515
co983 rt249
co6568 rt15188
co4526 rt5071
co2563 rt15326
co2535 rt995
co2689 rt3221
co1283 rt5862
co9686 rt934
co11388 rt6471
co9140 rt10329
co6219 rt7655
co9564 rt15616
co2502 rt6574
co8420 rt3020
co473 rt9308
co1685 rt1539
co8353 rt3423
co4390 rt2091
co4390 rt2482
co4390 rt10113
co36 rt5919
co36 rt10827
co5214 rt5232
co5726 rt1569
co6017 rt4076
co6017 rt11927
co2093 rt224
co8269 rt6724
co6300 rt4483
co11727 rt1179
co14036 rt4109
co1155 rt5386
co3163 rt10268
co3718 rt8670
co4455 rt2785
co3901 rt6092
co13012 rt6092
co13306 rt472
co13306 rt3844
co5003 rt4193
co10582 rt4193
co5874 rt3099
co5874 rt8486
co5874 rt14372
co4335 rt1432
co403 rt9604
co1731 rt3130
co1290 rt9299
co5685 rt1588
co12817 rt1588
co6346 rt3750
co5661 rt3613
co409 rt8233
co704 rt5201
co3442 rt3560
co6121 rt3749
co13331 rt3749
co3376 rt6132
co1738 rt10779
co6805 rt77
co6805 rt7576
co2300 rt1282
co438 rt7252
co3978 rt7252
co8172 rt2709
co8172 rt3589
co8172 rt14516
co7160 rt6632
co10156 rt8072
co10712 rt11180
co1616 rt12969
co1021 rt10295
co4342 rt2277
co4504 rt2277
co6730 rt4023
co11052 rt7891
co11052 rt8506
co8752 rt9364
co9390 rt1831
co1171 rt1904
co1171 rt6946
co1171 rt9917
co2562 rt1114
co2562 rt9025
co858 rt12239
co6485 rt2787
co7652 rt803
co2195 rt1978
co14303 rt338
co198 rt7938
co463 rt133
co11521 rt1351
co13894 rt2721
co6203 rt3689
co10305 rt7012
co6816 rt1725
co8366 rt1725
co11660 rt15275
co4813 rt1826
co5139 rt14003
co12144 rt4131
co4348 rt3330
co14573 rt3330
co1147 rt7042
co2324 rt973
co5135 rt277
co5135 rt1913
co4876 rt3073
co4677 rt1362
co4677 rt6592
co1904 rt8358
co130 rt1085
co130 rt6192
co549 rt1085
co549 rt6192
co6152 rt6345
co4869 rt10052
co13312 rt7794
co13312 rt14105
co2800 rt7924
co14755 rt2800
co3789 rt6158
co3825 rt6158
co2810 rt8755
co7167 rt3608
co11275 rt2627
co689 rt3789
co2536 rt14453
co14469 rt11062
co14469 rt11151
co4462 rt7385
co9764 rt3235
co328 rt3886
co3453 rt14433
co11729 rt1218
co299 rt8818
co381 rt7656
co1971 rt1049
co12377 rt6611
co615 rt947
co4503 rt947
co8795 rt1159
co34 rt4728
co3779 rt3850
co13989 rt3850
co14780 rt1014
co14330 rt1127
co14330 rt9479
co14330 rt15430
co2161 rt4738
co4272 rt1457
co1402 rt29
co14398 rt3555
co14398 rt4220
co3156 rt8835
co4319 rt3969
co4319 rt6344
co11912 rt2250
co12493 rt4334
co12493 rt10684
co6234 rt2022
co3916 rt2298
co5819 rt2993
co1194 rt4112
co558 rt10747
co12291 rt10747
co4619 rt10238
co666 rt4262
co274 rt3157
co4137 rt2421
co6849 rt3331
co6849 rt9240
co877 rt8820
co5193 rt1975
co3893 rt2486
co5870 rt10697
co4421 rt228
co4421 rt2703
co4421 rt15603
co5511 rt228
co5511 rt2703
co5511 rt15603
co471 rt8082
co471 rt10016
co8698 rt15184
co12814 rt4366
co431 rt6400
co2786 rt6983
co28 rt11001
co7193 rt6747
co2401 rt2565
co8375 rt2042
co4864 rt6949
co8268 rt4498
co3004 rt12187
co11541 rt1290
co87 rt1580
co5548 rt1580
co7458 rt4266
co3708 rt1007
co12963 rt6321
co2167 rt1240
co2167 rt3968
co2167 rt4671
co2167 rt9524
co4572 rt11966
co7754 rt1621
co1719 rt13808
co5800 rt5266
co11463 rt7972
co156 rt2888
co6633 rt6919
co1796 rt3633
co1916 rt5170
co495 rt162
co495 rt1434
co2749 rt4814
co3042 rt14963
co504 rt89
co2012 rt89
co136 rt1807
co12426 rt3478
co225 rt5440
co14563 rt4692
co3325 rt1960
co3298 rt3190
co3298 rt4514
co3298 rt12003
co2208 rt2684
co8094 rt12260
co577 rt9694
co2173 rt1012
co2173 rt15570
co2123 rt8636
co2123 rt10336
co8411 rt1328
co9808 rt2096
co13022 rt3946
co9766 rt11425
co13 rt9612
co969 rt6543
co9026 rt6543
co4688 rt5408
co1414 rt566
co5234 rt8298
co4589 rt8393
co11374 rt9510
co8038 rt784
co14145 rt784
co7286 rt9180
co9095 rt11434
co617 rt1556
co617 rt12667
co6940 rt3543
co10487 rt9006
co4316 rt4278
co3295 rt4810
co4473 rt6825
co2086 rt743
co4186 rt1777
co5161 rt1808
co10796 rt1808
co11292 rt1174
co13988 rt11754
co7666 rt1694
co726 rt10071
co8986 rt15281
co4664 rt8863
co232 rt4999
co1196 rt4999
co5132 rt4999
co14172 rt4999
co9529 rt10367
co1028 rt1387
co6193 rt9527
co10218 rt1135
co13211 rt3823
co621 rt6810
co3812 rt7825
co4443 rt1651
co1307 rt1956
co13311 rt4048
co13918 rt6201
co7146 rt9618
co13797 rt9832
co5208 rt4078
co3059 rt4416
co1816 rt4072
co6013 rt1548
co5034 rt6005
co5034 rt6604
co4968 rt4202
co3367 rt8776
co9760 rt1510
co3101 rt15364
co5303 rt12013
co5960 rt13537
co2692 rt8466
co818 rt5990
co2846 rt843
co2846 rt13870
co10719 rt1870
co4095 rt7162
co3383 rt136
co1562 rt1895
co1275 rt8907
co3662 rt10837
co4053 rt2646
co411 rt11962
co6226 rt9092
co1455 rt2752
co240 rt4394
co4392 rt9375
co1635 rt7312
co6813 rt9875
co5165 rt9609
co12931 rt5293
co7344 rt5298
co10655 rt7545
co5541 rt826
co8259 rt4185
co13320 rt4274
co3220 rt890
co3220 rt3993
co2070 rt2538
co375 rt416
co2299 rt8651
co6158 rt602
co519 rt2301
co3236 rt5654
co2504 rt6461
co5968 rt3916
co5958 rt9497
co6629 rt4730
co52 rt768
co11174 rt1753
co6839 rt3361
co5448 rt11053
co11563 rt5860
co4300 rt9438
co372 rt9116
co1870 rt14021
