O15116	Q9CQ74	P68255	Q2HJ64	J9P1X6
Q9HAU5	Q99PT1	Q9EPI9	Q2HJ65	E2R888
P0DI82	D3YVH8	G3V8A9	F6R352	J9P308
Q86T26	Q3U5K8	M0R6B5	-	-
P62879	Q811C2	M0R959	Q148J7	J9P3Z9
Q5VTA0	Q5BKQ4	D4A9P0	F1N0A2	E2RGL9
P04629	P01108	-	-	-
P42356	Q6DR99	Q3MIE7	Q2KIB6	A6Q0K4
Q8TCN5	Q8C854	Q923I8	P81401	E2RSY9
Q9HB40	P38585	A1L1L6	-	-
P15336	P61249	B1WC03	Q0P5K3	E2RSL5
Q8IUH5	P43432	Q9ESG3	A0JN71	F1PG85
Q66GS9	Q8JZX7	D4ADE6	Q17QT4	F1PDN1
Q96CS2	O70435	Q71MM7	F1MFC2	E2QVJ7
P30084	Q99JY1	D3ZX56	A6QNM2	E2QZ71
Q9BXF6	Q9QZF2	Q9JK71	Q3SZL9	J9P149
P98082	P97329	Q05KR1	E1BC37	F1P7S9
Q15811	Q9CQB5	Q9Z2J4	P19120	J9NYW1
Q969G3	Q8BGN2	A0A0G2K2C2	E1BBC1	J9P1Q8
Q9NPI1	Q9DAR7	A0A0G2K4Z6	F1MHR3	E2RNE8
P35244	Q6YGZ1	F1LQS0	F1MC14	E2R9K4
Q9NXV6	Q9WV69	D3ZR26	A6QNL2	F1Q338
P25788	P97812	Q76MT4	F1MEX1	F1PGI1
Q14565	Q6Y4S4	Q566R4	F1MMF1	E2R4E3
Q9UIV1	Q811B5	P0C6C0	Q1JQA6	J9P244
Q9UKZ1	Q9Z126	-	-	-
P00505	O89026	A0A0G2K5K1	E1BK27	E2R260
Q9NSA3	Q9CQD4	G3V923	E1BLN1	J9NYI6
O15260	Q9DCW2	E9PU03	F1MII8	F1Q2A4
P00533	P43135	-	-	-
P40763	Z4YLI8	F1LMQ4	E1B8J2	E2RIE9
Q17RB8	O88325	D4A8F7	F1MHF0	E2RGQ3
