hs12629 ENSG00000138083
hs12628 ENSG00000188770
hs6185 ENSG00000109381
hs682 ENSG00000160305
hs683 ENSG00000100150
hs680 DIP:27542N ENSG00000145703
hs681 ENSG00000159082
hs686 ENSG00000136040
hs687 ENSG00000011451
hs684 O60241 ENSG00000121753
hs685 CAE45866.1
hs688 ENSG00000142599
hs689 ENSG00000182253
hs15624 ENSG00000165555
hs1942 ENSG00000177169
hs1941 DIP:24203N ENSG00000156970
hs15627 ENSG00000179824
hs15620 ENSG00000170689
hs15621 ENSG00000128951
hs1945 ENSG00000148634
hs15623 ENSG00000124455
hs10669 ENSG00000186344
hs10668 ENSG00000170515
hs20826 ENSG00000138072
hs20827 ENSG00000154079
hs20824 ENSG00000122873
hs20825 ENSG00000119782
hs20822 ENSG00000174365
hs20823 ENSG00000118702
hs20820 ENSG00000198321 ENSG00000196838 ENSG00000186808
hs20821 ENSG00000186836
hs20828 ENSG00000183097
hs20829 ENSG00000171530
hs10663 ENSG00000143845
hs10667 ENSG00000148154
hs10666 ENSG00000120875
hs14959 ENSG00000188343
hs14958 NP_006684.1 ENSG00000160917
hs14951 ENSG00000139405
hs14950 ENSG00000187942
hs14953 ENSG00000186710
hs14952 ENSG00000129084
hs14955 ENSG00000173244
hs14954 ENSG00000197965
hs14957 ENSG00000198425
hs14956 ENSG00000091972
hs18256 ENSG00000172016
hs18257 ENSG00000180398
hs18254 ENSG00000152292
hs18255 ENSG00000165527
hs18252 ENSG00000198027
hs18253 ENSG00000180385
hs18250 ENSG00000185563
hs18251 ENSG00000160472
hs18258 ENSG00000123545
hs18259 ENSG00000184903
hs307 ENSG00000137337
hs306 ENSG00000187908
hs305 ENSG00000126883
hs304 ENSG00000197603
hs303 ENSG00000115020
hs302 ENSG00000112379
hs301 ENSG00000077235
hs300 ENSG00000177103
hs309 ENSG00000156650
hs308 ENSG00000135636
hs7587 ENSG00000105136
hs21889 ENSG00000120742
hs21888 ENSG00000163797
hs21887 ENSG00000179835
hs21886 ENSG00000177868
hs21885 ENSG00000198596
hs21884 ENSG00000182248
hs21883 ENSG00000181177
hs21882 ENSG00000197339
hs21881 ENSG00000187234
hs21880 ENSG00000189082 ENSG00000182354
hs18924 ENSG00000196297
hs18925 ENSG00000089063
hs18926 ENSG00000004779
hs18927 ENSG00000102309
hs5918 ENSG00000176853
hs5919 ENSG00000061337
hs18922 ENSG00000103363
hs18923 ENSG00000198579
hs5914 ENSG00000132394
hs5915 ENSG00000182938
hs5916 ENSG00000139719
hs5917 ENSG00000089060
hs18928 ENSG00000184563
hs5911 ENSG00000185878
hs5912 AAK72951.1
hs5913 DIP:5999N
hs20598 ENSG00000198937
hs20599 NP_056955.1 ENSG00000142684
hs20596 ENSG00000177221
hs20597 ENSG00000185804
hs20594 ENSG00000151135
hs20595 ENSG00000165169
hs20592 ENSG00000197487
hs20593 ENSG00000150722
hs20590 ENSG00000159017
hs20591 ENSG00000187793
hs20048 ENSG00000189440
hs20049 ENSG00000167656
hs20040 ENSG00000162910
hs20041 ENSG00000111973
hs20042 ENSG00000187025
hs20043 ENSG00000196978
hs20044 ENSG00000114405
hs20045 ENSG00000198893
hs20046 ENSG00000183226
hs20047 ENSG00000189269
hs12441 ENSG00000140030
hs12440 ENSG00000180030
hs12443 ENSG00000173198
hs12442 ENSG00000124227
hs12445 ENSG00000102547
