B7NZM8	A0A286XBQ9	W5PAQ3	M3WE16	F7BJQ7	F1P6I3	A0A287APW0	P67939	P19139	P97855	P07306
G1SMC0	H0VUF0	W5P675	M3W2Y5	F6ZN38	E2RG18	A0A288CG24	P35350	O35956	Q64527	Q9H269
G1T3V0	A0A286XPE5	W5Q8Y5	M3WDA8	F7BB45	E2RET1	A0A287AWK8	F1MT25	Q3KRF2	Q8VDJ3	P33764
G1U466	H0VN16	W5QIG7	A0A2I2UHC8	F6QKZ0	E2RLP4	Q2XVP4	F6R7X9	P68255	E9Q0B8	O60678
G1SHV1	H0VID8	W5NR26	A0A2I2UFY7	F6U2B0	E2R6J5	A0A286ZWJ9	Q2KJA1	D4A5T1	P97481	O75334
U3KMP5	H0UWJ7	W5QG85	A0A2I2V586	F6WSH0	A0A0A0MPC3	I3L7H6	Q5E9Y0	Q6MG27	O88522	Q8NBN7
G1T4X3	P70105	W5P0V1	M3X5F3	F7C9K4	F1PW11	A0A287AKC1	E1BCN2	B5DF15	Q9JJN1	Q9UL03
G1TBR9	H0VH40	W5QI90	M3WFZ9	F6XFL5	F1PNS8	F1S0W0	G3MZ88	A0A0G2K0Q5	Q9D4V4	Q86YR6
G1T881	H0V7I1	W5NQI5	M3W9G0	F6WEK8	J9NTA0	I3LLA8	G3MX98	F1MAD9	P34884	P51861
G1SRH9	A0A286XRC2	W5PWA8	M3WQD9	F7B9X5	E2RN45	F1SSL6	Q3T0Y1	G3V681	Q9WV60	Q5MAI5
G1SIG3	H0W7B1	W5Q2P2	M3XDW6	F6YQH6	J9P3X4	F1RXX3	Q0VD01	B2RZ12	Q8VHZ7	Q8N587
G1TDM2	H0VQK7	W5PA68	A0A2I2UDB8	F6YG28	F1PHT0	A0A287BCF2	E1BF14	D4AE75	Q8K205	Q6FI81
G1U5M7	A0A286XIG1	W5QEK7	M3XA70	F7DTJ8	J9P8E9	I3L5T3	Q3B8S0	P55770	P35550	Q8NE35
G1SN56	A0A286XH11	W5P8K0	A0A2I2UD00	F7AIG1	J9NWB0	I3LGP4	F1MN19	Q91Y81	P35278	Q9NWS8
G1T9K3	H0V010	W5P7J0	M3XFK8	F7ADB8	F1PRH2	F1SM49	E1BFC3	F7F163	L7N451	Q06203
G1SQV2	H0VDG6	W5PI35	M3X9S7	F6RH93	J9P7A7	I3LLH3	Q3SZK0	F1LP62	Q61727	Q92544
G1SM24	H0VTT4	W5P396	M3WWK8	F6XJW2	J9NZY7	F1RY22	E1BC24	A0A0G2K9L9	A2ANY6	Q8NBN3
G1T8K5	H0V9M7	W5P0D1	A0A2I2UPH1	F7D2A3	E2QX65	F1RZG7	F1MND2	A0A0G2K5Y3	Q69ZF3	B7Z2F4
G1T404	H0WDU5	W5Q664	M3W9X9	F6ZB69	F1Q0B3	F1SL31	F6QF86	Q80WK7	Q9D7L7	Q6XD76
G1TAP9	A0A286XWX1	W5P1N7	M3WBI8	F7BDU3	F1P8Q6	D7EZN7	Q29RU6	P43428	Q8K326	Q16651
B8K133	H0VHV7	W5NVS1	M3VZ42	F6W0B9	J9NYI3	A0A287B5M8	Q5E9R6	Q5XFX8	P01738	A8K1L8
G1TTF2	H0VNS6	W5QIT4	A0A2I2U762	F6VRP2	J9JHH5	F1S467	E1BD55	D3ZSW4	Q3TAP4	Q9BSH4
G1SN37	A0A286XJP1	W5QHQ1	M3X872	F6WN90	E2RKQ6	A0A287A4S4	F1MXY9	Q5U303	Q9CQN1	O15054
G1T2V0	A0A286XG26	W5Q6Z2	M3X130	F6UZJ4	E2QW25	A0A287AY01	Q3SZ86	Q9EPJ3	Q9D125	Q9UDX4
G1SK70	H0W598	W5Q0A0	M3W9L7	F6TQL1	E2QRY4	F1SSH5	E1BNX8	Q6MFY8	O35310	Q6W6M8
G1SE12	H0V205	W5PH38	M3XEH4	F6VTG8	E2QTG4	F1SKF9	F1N0L2	Q4KM97	P83741	Q9H9S0
G1TDD2	H0UYD7	W5NY79	A0A2I2UTU3	F7E0B9	F1Q3W8	A0A287BBQ5	Q17QJ6	Q62703	Q3U1F9	P52732
G1SW91	H0VSH5	W5PTG3	M3XAK6	F6T301	E2QUQ2	A0A287A7C5	F6QYC3	D3ZZ37	Q9CWV0	Q8NE86
G1SN92	H0V2Q3	W5PU15	A0A2I2UFQ1	F6QH40	F1Q2Q9	I3LCK3	A4IFE6	R9PXV5	Q9QY23	Q7L590
G1SHE2	H0UTV5	W5NYE8	A0A2I2UCL3	F7B157	F1PC04	F1SB08	F1MTZ4	Q63772	Q9QXF8	Q15182
G1T8M5	H0VMK5	W5Q2S1	M3XBV3	F6X578	E2R7H3	A0A286ZMQ7	G3N133	A0A0G2K6Q2	Q7M729	O14638
G1SGX2	H0VTA1	W5Q055	M3W859	F6ZJX8	E2R2K6	Q767K8	F1N059	F6Q5K7	Q9CXW2	B4DMS2
G1U6G2	H0V3M7	W5PEF1	M3W6B5	F6UV62	E2RGM1	A0A287AP08	A5PJN6	B2RYS9	P35582	Q9NRX5
G1U6F4	H0VS46	W5PP68	M3VXJ7	F6U5R1	F6XFZ9	F1RFX9	F1MM78	Q505J8	Q8CJF9	P01037
G1TYC0	H0V8R3	W5QHL9	M3VWA2	F6Z169	F1PPZ5	I3LF36	F1MWE0	P09527	P62331	O00410
G1TCG5	A0A286XHH2	W5NSV5	M3X1H9	F6Y205	E2RNS3	F1S050	P22439	P07483	B9EKK6	Q9NQC8
G1SV58	H0UY42	W5PGV0	A0A2I2UEL3	F7BJ83	F6UUM9	I3LPQ6	F1MGL5	M0R5N4	P10923	O95425
G1T1E0	H0VRG6	W5PZ02	M3X4M2	F6RN56	F6X511	A0A287B0M8	A7YY52	Q6AYK2	Q3TBT3	A6NHX0
G1TCQ7	A0A286Y224	D7RFH8	A0A2I2V0Q3	F6Z381	F1PG39	F1SJY7	F1MHV4	F7F5P4	Q91VN2	Q9Y399
G1SRL7	A0A286XEB0	W5NW98	M3WZ04	F7BAM6	Q30KV2	A0A287BLJ5	E1BF53	I7LRF5	Q9CR76	Q15915
G1T9I0	A0A286Y5E2	W5PDF9	M3X0F3	F6SNC5	P01353	P03970	F1N1M0	D3ZWJ9	A2A5I3	Q9NP92
G1U027	H0VMM7	W5PRX8	M3WSG5	F6Q4X9	E2R2V0	P61291	F1MW57	A0A0G2QC38	Q07813	Q3KNV8
G1TNY8	H0V1S0	W5PAK0	A0A2I2UB47	F6S057	E2QZC8	A0A287AQT2	P41985	F1LQS7	Q91W27	Q96LD8
G1TSG1	A0A286XTN0	W5PU40	A0A2I2UNG3	F6RKM7	J9P385	P67985	E1BCK7	Q6PDV8	P67984	P48378
G1TML2	H0VUT9	W5Q812	M3VWT4	F6XIL8	F1Q3I3	F1SF37	E1BLI8	B5DFG8	Q9D1C8	Q86VG3
G1TCA3	A0A286XH75	W5NSA5	A0A2I2UDV1	F6R7D5	F1PWG6	I3LUR5	Q1RMI2	F1M7Z1	Q7TPS3	Q13416
G1T6I9	H0VI81	W5QJ04	M3X9J6	F6QCM0	E2R2H9	A0A287AYL9	F1MYS0	A0A0G2K9V0	Q543V3	P13674
G1TAS2	A0A286X7A1	W5PZU0	A0A2I2UVC0	F6RAA6	F1PGK8	A0A287AAN9	A5PK30	O35094	Q8VE85	Q6UVJ0
G1TD04	A0A286XI24	W5NUG7	A0A2I2UK09	F7ADS6	F1P9C1	I3LE93	F1MT56	Q9Z1I0	Q0VAV1	P15169
G1SJ75	A0A286XN90	W5QB62	M3WBW6	F7CVX9	E2RSR8	F1STB5	F1MUZ7	Q9JLH7	Q810B8	P05014
