E2R9K4	A6QLA8	P35739	P12023	Q5EBL4
F1P603	F1MC14	Q80U96	P05627	P30042
E2RQK5	F1MLZ2	P50745	Q9D1R1	Q96QU6
F1PF03	Q3SZ25	G3V6K6	Q61510	Q6RFH8
E2RHA6	Q3SWY0	D3ZIH3	Q99M01	P18825
E2RNS8	F1MCI4	Q6TXJ0	Q91ZP6	Q99616
E2RJU3	F1MLR3	Q63041	Q8VE95	Q9BUP3
F1PU58	E1BE83	B5DF02	P48754	Q9BV36
E2RL81	A7MB35	D3ZUC2	P97310	P49757
F6XBZ5	Q08DH1	D4A9N5	P70372	Q9UBX0
E2R0T6	A8E651	P62138	P49312	Q03701
F1P7J1	E1BBQ3	Q66HM2	Q9WVA4	Q5VTD9
E2RLQ6	A0A140T894	B5DF45	A0A0B4J1E2	Q86YJ6
J9P383	Q3ZCE2	B5DF91	P07901	P05141
F1PTE2	Q08E54	P08592	Q99JX7	Q12972
F1PBK4	Q3MHR5	Q5XHY5	O08917	Q5SRE7
E2R4L7	A6H6Y0	P69897	P52480	Q14526
E2RR01	Q1RMS5	A0A0G2JSP3	P0CG50	Q9UM47
J9NYK6	Q3T0E0	B5DF05	P35385	A0A024R0K8
E2REA4	G3N1T2	A0A0G2K6Z8	P63017	P51149
J9NVX2	F1MJY3	D4A7G1	Q8R4I7	Q9NQF3
J9PAB2	E1B8D6	Q4QQW4	P11499	Q99593
E2QUE1	A6QLU9	F1LQD1	Q3THG9	Q9BSG5
F1PAI7	Q5E9Y0	D4A8G7	P70196	B4DQY1
J9NTS8	E1B7L0	F1LYI0	Q8C827	Q6NVV1
E2RB79	P67774	D4AC23	Q9JKF1	P20783
E2R6T4	E1BE98	Q6P751	Q9CQJ4	Q9UKC9
E2RLS3	F6R7X9	P46462	P97377	Q5TGI0
F1PEX6	F1MZ92	A0A0H2UHX8	Q8BTI8	P51636
E2RTC3	Q1JQE0	P97536	P54823	Q68CZ1
F1PKW7	Q2HJ27	A0A0G2JVC1	P48678	P32322
J9JHS7	A7MBI5	D4A5Q9	Q922R8	Q9Y5Y0
E2RQ08	F1N4M9	F1M446	A0A087WSP5	Q9P0M2
E2RQC9	E1BDM8	P61980	P60122	Q9BXL8
E2QWE0	E1BK00	Q6P6R2	Q8VEK3	Q9NZQ0
F1P624	G3N0Q3	Q59IV8	P14142	P34949
E2RNA2	E1BEQ0	Q6P7A6	Q924X4	Q9H106
E2RLQ9	A6H744	A0A0G2JT93	P11440	P0C1Z6
E2R6H2	F1MMW4	A0A0G2K0I1	P61211	O75054
F1PRH7	G3X6L9	P28480	P62196	K7ERS5
J9P9V0	P62261	P62260	P62259	Q13829
F6V0I8	F1MYE6	Q6XVN8	Q80TQ2	Q9NUQ6
E2QZB3	Q3SYR2	Q6MGC4	Q923J1	Q8N5S9
E2RFW1	F1N619	G3V8T5	Q60864	Q9NSY0
E2RPE1	E1BMD3	G3V939	Q3UJ03	O43236
E2RI78	F1MUB2	D4A556	B8QI34	Q9BV57
F6X725	Q0VC36	P27008	Q52KC3	Q69YI7
E2RCJ9	F1MF50	F1M6U0	Q61024	Q92917
F1P771	F1N7U9	M0RBQ5	P82350	Q14183
F6ULX5	F1MDI5	A0A0G2K0D3	Q9D2Y9	Q86UV7
F1PR63	F1MC48	D4ACB8	G3X956	P20700
F1PSC4	P81948	A0A0G2QC09	A0A0R4IZW5	Q6NXQ0
F1Q0T0	F1MIB4	A0A0G2K7Z6	Q8BKD6	Q9P2R3
F1PP86	P67939	B1WBY1	D3YYU8	P41743
J9NZX6	G3N0G0	Q5XHY0	Q99KP6	Q9H0X6
J9NS71	F1MIE2	B0BMW2	Q99JB2	Q15813
E2QWJ1	Q3MHM1	Q5U2X0	P27671	Q9UHY7
E2RDZ9	E1BCP2	Q4V8I4	P62746	O15296
F1PXN8	E1BIS4	Q9QUM8	Q9D7I9	A8K8A6
F1PAA9	G3X7B5	F1LQH2	P10126	Q8N5D0
J9NZB0	F1N1A9	Q5XI23	Q99J27	P32942
E2R2U3	G5E5D1	G3V8T4	P60335	Q13064
J9P868	Q17QE2	F1LZ35	G3X8Q6	Q9UDX4
J9P9C6	F1MC31	Q6PDV8	Q8CGC6	Q6UXF1
E2R0G3	G5E5N3	Q5PQK2	E9QNN1	Q8WV37
E2RQU7	Q32LC7	P60711	Q9Z1X4	Q9NQZ8
E2R2H1	E1BJI4	Q80Z26	Q91WB2	Q63ZY6
F1PCU1	Q08E38	P85834	Q9CXY6	O00194
F1PR36	A7E307	Q3MHU2	Q8BQ10	P33764
F1PRZ1	A6QLR9	Q64315	E9PUK6	Q9UDY2
E2RHE9	E1BP59	Q6P685	A2AQ07	Q9NS91
F1Q3A0	F1N5V3	B1WC68	O35160	Q96BN8
F1PU46	Q2KI86	A0A0G2JZI2	Q8BTS0	Q9BX69
J9P752	F1MFP7	D3ZIJ5	O88662	Q8TAW3
E2QZX4	Q2KIR1	A0A0G2JUU7	G3X9B1	Q6P9H5
J9NWN6	E1B9E5	B1WBS3	P04918	B4DU58
F1PDB2	P67827	Q9Z1E1	P49615	P57057
F1PX75	A7Z057	P39951	Q04736	O43255
E2RQ57	F1MVR5	O54698	Q9CZH3	Q13794
F1PDD1	Q08DC3	D3ZEI6	Q91VH2	Q9P232
E2R0L3	G3MYH4	F1LRP7	Q9R194	Q6GPH6
E2RBF2	F1MX61	P62282	Q9ESX5	Q9HA92
F1PX22	E1B7R4	G3V8C3	Q9EPU0	Q14623
F1PK17	E1BG14	Q38PG0	F8VPX2	Q13051
