O15116	Q6IWE2	D3Z9A7	E1BAZ2	F6UP55
Q9HAU5	Q3U0V1	Q641W4	Q2TBM8	E2R8Y3
P0DI82	Q9D0S4	M0R685	F1MWV1	F1PET6
Q86T26	Q9R001	-	-	-
P62879	Q9JJ80	F1M9C0	A5D980	F1PM91
Q5VTA0	Q9DCI2	F1LPI5	P07318	J9PAG1
P04629	P05627	P08592	A6QLA8	J9P9V0
P42356	G3UWG2	F1SW39	P35705	J9NXR6
Q8TCN5	Q56A10	O35049	F1MGZ9	J9NU23
Q9HB40	Q9D6X6	G3V9P0	F1MEN7	E2RL86
P15336	Q61699	Q09167	E1BI26	E2QUY0
Q96CS2	Q8CI08	D3ZWF2	E1BDP9	E2QXW5
P30084	F8WJD4	P24338	-	-
Q9BXF6	P56203	A0A0H2UHH2	F1MJ66	F1PDY2
P98082	Q3TDN2	O08623	Q29RS3	F1P7Q4
Q969G3	A2A870	G3V959	F1MNT9	F1PLD8
Q9NPI1	Q7TSH2	E9PT22	F1MI29	E2RKD7
P35244	P46662	Q5U328	Q0VCV0	F1P7N8
Q9NXV6	Q923F1	D4A2F0	G3MZL7	F1PME4
P25788	Q3TCH7	F1LVA8	P67868	F1Q284
Q14565	Q9JI99	A7YY82	F1MS02	F1P8B9
Q9UIV1	O70325	-	-	-
Q9UKZ1	Q8BH55	D4A280	E1BPX5	E2RSI4
P00505	Q8VBU8	A0A0G2K9F0	Q0VBY4	F1P8U4
Q9NSA3	Q99N80	D4A1N8	A0JN70	E2QXE2
O15260	Q9ES00	P40307	E1BC67	F1PKU7
P06748	Q9CQV8	F1LPJ6	F1N614	E2RDE8
P00533	P02340	F1MA52	E1BE83	F1PF03
P40763	P62141	R9PXX6	E1BE92	F1Q402
Q17RB8	P17918	B5DFI3	C7FFR6	F1PQZ4
Q9BQQ3	Q9JME7	D3ZBH5	F1MWQ4	E2R440
P02652	Q8BXL9	Q5U1X1	G3MYT0	F1PM76
Q6I9Y2	Q8BVE3	D3ZM69	E1BGH6	E2RSN5
P27986	Q9ESV0	Q5XIF4	F1MJ10	F1PVY6
Q9P1A6	Q3UDR8	P61169	P21782	E2RS27
P78406	Q62312	G3V8M1	F1N757	F1PUB5
Q12906	Q64337	F1M3D3	F1MUZ9	F1PEA6
P22694	Q6A078	-	-	-
P29274	Q6PE54	Q9ES75	P02638	-
Q04206	P68510	D3ZZ80	F1MWR8	J9P6N4
Q9Y6G5	Q3V1Z0	Q9Z1L1	Q0V882	E2R1U4
Q29974	P39655	D3Z8K2	E1BLZ4	F1P8C9
P41219	P48193	D3ZQE8	F1MGX4	F6Y5E4
O75052	P70182	Q6AYG3	-	-
Q96CW1	P24547	F1M4T6	Q3ZCA2	E2R2M6
P08758	P23708	-	-	-
P54274	O88685	Q2EJA0	A6QLV0	F1PGY4
P68400	P54823	G3V7Q7	F1MNS2	F1Q2M3
Q14493	P62077	-	-	-
O95271	Q8CDG1	D3ZTY0	E1B783	E2RTG3
Q96A72	E9QNR7	A0MV40	Q2NL23	E2RD18
Q01844	Q9WTM5	B2RZ55	F1MSD2	F6XKL7
Q9NVX2	P70441	Q63151	A6QLA4	F1PS57
P46531	P40142	D4A174	F1MU08	E2RSV7
