O15116	P10598	Q91XL4	F1MRE1	E2R4V5
Q9HAU5	Q9WTZ0	G3V649	A4IFH7	E2QS43
P0DI82	Q9D0Z3	Q9EQ25	A6QP24	E2R9S1
Q86T26	Q8C436	D4A8L9	Q29RJ0	E2REH7
Q5VTA0	Q8C084	Q62649	F1MND0	J9NS36
P04629	Q3UFB7	P08592	E1BE83	F1PTE2
P42356	Q9Z2L6	Q6IN36	F1MCK4	E2RFC2
Q8TCN5	P01216	Q5XIG7	A6H7H8	E2R5V7
Q9HB40	O70146	M0R6B1	E1BL63	F1PEJ3
P15336	Q9QUI0	-	-	-
P30084	A2AHZ3	F1M9V7	A4FUE3	E2RKT9
Q9BXF6	Q9QZD4	D3ZKY5	A6QNM9	E2R3Y5
P98082	Q8BML9	-	-	-
Q15811	O08648	-	-	-
Q969G3	P54276	B2RZ72	F1N238	J9P1Q5
Q9NPI1	Q5F2E7	B2GUZ2	F1MCE2	F1PVP5
P35244	Q62108	A0A0G2JSI8	E1B8E7	J9NYK5
Q9NXV6	P58281	F7EPH4	Q3T0R7	F6Y2F0
P25788	Q7TPR4	D4AE10	A6H767	E2RLS8
Q14565	Q91W89	D3Z9C8	O46385	F1PZR5
Q9UIV1	P70677	F1LVV4	F1N7X3	E2RJX3
Q9UKZ1	G3X932	-	-	-
P00505	E9QB01	D3ZZ21	E1BI70	E2R5U0
Q9NSA3	Q8K375	D3ZXP8	F1N0X6	E2RGB4
O15260	Q8K039	-	-	-
P06748	A0A0B4J1E2	D3ZME7	G5E5A9	E2QWE0
P00533	Q9CQJ4	A0A0G2JTP3	E1BIN5	J9P8M2
P40763	P53566	A0A0G2JWX1	Q8WNW7	E2RML9
Q17RB8	O70583	F1LV21	F1MG44	F6Y0P3
Q9BQQ3	Q569L8	D4AEL8	F1MW19	E2QZV1
P02652	Q7TQI7	Q5M7A7	Q3SZE9	J9P6T3
Q13769	Q924M7	A0A0A0MXZ5	A6H7C1	E2RMQ2
Q6I9Y2	Q9QVP9	-	-	-
Q9P1A6	P97931	Q924U0	-	-
P78406	P14404	-	-	-
Q12906	Q9ERD7	Q6IMY8	F1MKW9	E2R052
P22694	Q61937	G3V662	E1BD86	J9PA79
P29274	Q6P253	D4A460	A9QWP9	F1PSS9
Q04206	Q9EQC1	P47196	A8E651	E2QWD3
Q9Y6G5	P19253	Q63538	F1MIW7	F1P719
Q29974	G3X961	D3ZI44	F1N5N2	F1PLF8
P41219	E9QN59	F1LX07	Q5BIP4	F6XCZ4
Q969H0	P13439	Q04931	Q0VCK0	F1Q1J6
O75052	Q8BYI9	P42667	-	-
Q96CW1	Q61390	D3ZXN9	Q95M59	F1PCQ4
P08758	Q9EPC1	Q7TSA0	F1N3Q4	E2R5W8
P68400	P62264	P62986	Q95KU9	E2R2N2
Q14493	P28322	P07953	G3N3L6	J9NV83
O95271	O55131	D4AA06	Q3SZ68	F1PBW5
Q96A72	Q3URE6	Q5QJV7	F1MSK0	E2R287
Q01844	P70196	O70436	E1BH82	E2RK70
Q9NVX2	Q9CWK3	Q4KLI7	A6QL85	F6UKZ0
P46531	A0A0R4J140	F1M403	F1N605	F1PMJ3
Q9BZK7	Q8CIE4	Q4V7E6	E1BIN6	E2RNH5
Q96SN8	Q9Z0J1	D4ADQ7	Q05B70	F1PU80
Q99598	Q6IFX3	-	-	-
P09629	P58871	O35547	F1MYJ4	E2RTA2
Q9Y616	P05063	A0A0G2JT07	F1MJ09	F1PLU0
O14829	Q9EQR6	F1LSF4	F1MDG4	E2RII3
O95831	Q3U2P1	Q66H80	Q3ZCK9	E2QUY0
Q13469	Q9Z0X1	E9PU28	Q32PK0	E2RL17
Q13888	P51480	F1LVL2	-	-
Q01105	P39054	-	-	-
Q16851	G5E870	D3ZCM7	Q2HJF3	F1P658
Q9NVV4	Q8CHY6	D3ZA85	G5E525	A0A140T8E9
P62263	Q7TMK9	Q5EB98	F1MFT4	J9PAX0
P62266	Q8CA72	F1M446	G3XCF6	E2RJ89
P40425	D3Z2Z3	D4A6P3	F1N0T4	E2QSB9
Q7L5N1	D3Z1S8	Q566E4	Q3T0I4	E2RQ08
Q13148	E9Q0B8	C0JPT7	A0JN52	J9P601
Q9Y6M1	P62814	G3V678	F1MJV3	F1PWE6
P63279	Q9CUN6	P07632	A5D973	E2RE73
Q9UHF7	Q9QZN3	A0A0G2K9V4	Q148F1	E2R5X2
P06493	P60122	Q2EJA0	B0JYL0	E2RQ81
Q99661	P36898	P62494	F1N727	F6UUY0
O14976	Q6PB44	Q63604	-	-
Q5T0W9	E9Q1Z0	Q6F596	Q0P5G9	F1PBA4
Q16352	Q8BHL3	-	-	-
Q9H2C0	O35129	D3ZPR0	Q3ZBH9	F1Q2F6
P35813	P55200	Q5M7T1	F1N6K7	E2RER8
Q562F6	Q80WT0	D3ZQ46	Q2NL37	E2R1L5
P49257	Q9CWJ9	Q91XJ1	E1BAC1	F1P797
Q12946	P09023	-	-	-
P08684	F8VPU2	F1LRX4	Q2TBG1	-
P17612	P42227	O88275	A6QLA6	F6X725
O43395	Q8K4P0	D4A8X6	F1MYY8	F1P9S0
P62318	Q62167	M0R623	A7Z066	E2RGQ5
Q07812	Q9JJP2	F7FLS6	A5D7R8	E2RI73
Q9NS69	Q61456	A0A096MJY1	F1N7Q1	F1PDY7
