O15116	Q99J45	F1LTB8	A4FUE0	J9P8M7
Q9HAU5	Q6NV99	A0A0G2JZT6	A5D7H7	E2R479
P0DI82	Q8CJ70	D4AE76	Q17QX2	F6XVM7
Q86T26	P70191	P41135	Q2TBP4	J9NSS0
P62879	Q80UG5	A0A0H2UHH7	P41541	J9JHK6
Q5VTA0	O54818	D4A6T2	Q0VCQ3	F1PEJ5
P04629	Q3UFB7	P62260	P62261	F1PTE2
P42356	E9PZ16	-	-	-
Q8TCN5	Q8VE62	D3ZUQ2	G3X6L1	F6Y2H4
Q9HB40	G3X907	A0A0G2K2Z5	Q29RI6	E2R181
P15336	Q99M51	O88767	F1MCQ7	F1PDU7
P30084	E9Q2M3	Q5M821	E1BCT7	E2QWX2
Q9BXF6	Q8BWZ3	Q9ERS3	P13621	E2QW06
P98082	Q9QYC0	P85515	P20004	E2R1Z7
Q969G3	Q91W90	F1M9N7	F1MSQ2	E2QS96
Q9NPI1	P51448	Q66H41	A5D7A7	E2RLL3
P35244	P26450	A0A0G2K2I0	E1BPQ4	J9P539
Q9NXV6	Q8VE92	A0A0H2UHT5	E1B887	J9P5T7
P25788	P49817	Q71UF4	E1BF59	J9PAK3
Q14565	Q32NY6	F1LYQ6	G3X809	E2RCV9
Q9UIV1	Q9DAA6	Q5RKI1	A5D7H2	F1P630
P00505	Q5HZG4	Q01177	P01211	E2RM73
Q9NSA3	P40764	Q5U3Y7	E1BIW9	J9NVZ5
O15260	Q9Z1G3	D4A7A8	P49004	F1PKV7
P06748	P0CG49	-	-	-
P00533	P02340	D3ZP96	Q3SZ25	F1PI27
P40763	Q60973	D3ZSX6	Q3T116	F6V9N0
Q17RB8	Q8BZQ2	Q5XIC5	F1N465	E2RDG6
Q9BQQ3	G5E8E3	D3ZWI9	F1MQL5	E2RG41
P02652	Q8BTS9	D4A1F4	E1BL43	F1CMF1
Q13769	Q8CCS6	D3ZWA8	E1BBT9	E2QYF3
Q6I9Y2	Q9Z2B9	-	-	-
P27986	Q3ULA2	F1LMH8	G3MZP9	F1PLK9
Q9P1A6	P52801	P36370	F1MP73	J9P015
P78406	P54116	Q5VLR5	F1MY06	F6XZ30
Q12906	Q792F9	Q63429	F1MUZ9	F1PBJ3
P22694	Q9JI44	G3V9K5	Q5E9Q0	E2QXA6
P29274	O35484	G3V7W8	Q3SX02	E2RET0
Q04206	O35226	P62246	F1MNS2	E2QYK5
Q9Y6G5	Q9CQG3	P97924	-	-
Q29974	Q9DAK2	F1M768	F1MFB2	E2REG8
P41219	Q6ZPT1	P19804	A7MB83	E2QU99
Q969H0	Q61187	-	-	-
O75052	P04247	-	-	-
Q96CW1	Q60722	D4A414	-	-
P08758	B1ASP2	Q5XI06	A6QQ46	F1PNS6
P54274	Q99LC5	Q6AYH5	F1MDN8	F1Q2U8
P68400	Q9D6Z1	A0A0G2K6Z8	E1BK00	E2RLP4
Q14493	Q80VM3	-	-	-
O95271	Q8CBY3	D3ZKC5	F1MNS1	J9NXK8
Q9NUX5	P51150	-	-	-
Q96A72	Q641P0	-	-	-
Q01844	P60335	B2RYG6	F1MFF1	J9P393
Q9NVX2	Q80UY2	G3V7R1	Q2KHU4	E2R3V1
P46531	P47754	G3V618	E1BL08	E2QX15
Q9BZK7	Q922H2	Q5XHX3	A5PJD6	E2R818
Q99598	Q8BIQ3	B1WBZ9	F1N567	F1PCN5
P09629	Q8VC34	A0A0G2K2N0	F1N3Z3	F6X528
Q9Y616	G3X9J4	F1LWD8	F1MHF3	E2RSL2
O14829	Q9JM51	D3ZGR7	F1MFD2	E2RA06
O95831	A0A0R4J046	B4F786	F1N3F6	F1PVC1
Q13469	O70126	P13803	E1BMS5	F1PPZ5
Q13888	F6RCF6	D4A1Z8	A0JNQ6	E2RSC9
Q01105	Q9Z0X1	A9CMB8	A6H767	F1PQS3
Q16851	Q9ET01	B2RYU7	F1N2R1	E2RB92
Q9NVV4	Q3UW66	D3ZYF8	G3N0U8	E2R4W9
P62263	Q8VIJ6	F1LNF1	F1MH06	E2R149
P62266	P83887	D4AE24	G3MXJ7	J9NVE6
P40425	Q5SVR0	D3ZSV6	F1MFI5	J9P6D7
Q7L5N1	Q8BK63	Q5RJT2	A5PJS6	E2REI6
Q13148	P14131	-	-	-
Q9Y6M1	O35643	-	-	-
P63279	P60521	F2Z3T0	E1B9T7	F6XIK8
Q9UHF7	Q9QXT6	Q4V8G8	-	-
P06493	P28656	E9PTS4	F1MJ10	F1P7L6
Q99661	O54692	R9PXS8	F1MZP0	J9PBL1
O14976	Q02614	-	-	-
Q5T0W9	Q9CZ91	Q6AY43	Q0VC58	L7N062
Q16352	Q8BFQ4	F7EYF1	A6QQL9	E2R8C1
Q9H2C0	A0A0R4J049	D3ZD23	G3N131	E2QUY0
Q562F6	Q3U962	D3ZDC2	E1BIQ0	-
P49257	B1AWC9	Q6Q0N3	G3N2V0	E2RMA9
Q12946	Q3TA75	Q4QR71	A6H7I6	F1PP15
P08684	D6RCK0	D3ZUM2	Q9TU26	E2R8M8
P17612	Q61753	D3ZTK5	A6QLG6	E2R580
O43395	Q8VEJ4	D3Z898	Q0P5K4	F1PEN5
P62318	Q8BTV2	Q62623	Q3SWX8	F1PTX2
Q07812	O55013	D4A3V3	F1MKA1	J9P398
Q9NS69	Q8BHS3	Q5RKH1	F1MMU3	E2R5S2
P08887	Q8JZP9	P51652	A6QLH5	F1PCS0
Q96JP5	Q1PSW8	P52953	E1BEM2	E2R1W5
Q01201	P14404	F1LXV0	E1BDU0	E2RBR6
Q3ZCQ8	Q8BWY3	Q63364	E1BL00	E2RRJ5
O43149	Q9JKC7	Q9Z214	E1BIA7	F1PZG3
Q99501	Q00342	P26255	A5PKK3	F1PJF4
Q8WYQ5	O88544	H9KVF3	F1N339	F1PU93
Q9BZE4	P35762	D3ZEM8	F6QFZ1	E2RDD9
O00459	P26187	G3V829	F1MYF9	J9P1N0
P00519	Q8R550	F1LP66	Q3ZBZ8	E2RJL3
Q9Y5B8	O89106	D3ZY35	F1MYH0	E2R7A8
P67809	P23249	D3ZTN0	E1BEL7	F1Q331
Q9NR30	Q61881	O08629	Q0IIG0	E2R9G7
Q969P0	P15806	Q498M4	G3X736	E2QRQ8
Q8WUT4	O70439	D3ZZK0	Q3ZBA5	E2RP99
P04792	Q9WTX6	B5DF45	Q0V8H6	F1P7T4
P19320	Q60631	P10361	P63103	F1PF03
P22626	O55201	P28480	F6RSR1	P63050
Q9H4P4	P02088	-	-	-
O95405	Q80UP3	-	-	-
Q8NBJ7	Q8C8C1	O70511	F1MLX4	F1Q3A2
P25398	O35286	Q1JU68	E1BCC9	E2RFV7
P46778	P70318	B2RZB7	F1MDU7	J9P385
O15533	Q3U1D0	-	-	-
P61769	Q7TN31	P14408	Q2KIH8	F1PSG6
P12931	P35564	Q6P6R2	F1MSX5	F1P7V6
Q68CZ2	P32921	P07861	F1MPT5	E2QSJ6
O75431	Q8C8B0	A0A0A0MY01	Q3T015	P61012
P55327	A2AR02	O89038	F6Q5U0	E2RMD6
O60216	Q80Z64	Q8CFN2	G5E589	J9NTG2
P62081	O88569	F1LMV6	F1MG05	J9NVM6
O76024	Q9CQX4	F6QFT3	E1BIH1	J9NUA8
P56537	O08810	Q6TQE1	-	-
P62805	P68372	D4A8A0	P04272	E2RE36
Q13619	P38647	G3V8C3	A3KMV6	E2RA27
O75526	A2APB8	A0A0G2K8R7	Q148H2	E2RNV6
Q9GZQ8	Q60952	-	-	-
Q9Y2X3	Q07243	-	-	-
P02545	P70168	A0A096P6L8	F1MKZ7	-
P21333	Q9ERD7	A0A0G2K612	Q58DA0	E2RP23
P00441	G3X9H5	P19357	F1MKW9	E2QYW2
Q9H0I9	Q61210	D3ZR08	G3X7B2	F1Q1L4
Q7Z3I7	F8VQG7	D3Z9Z5	E1BMH8	E2RE13
Q04695	Q9EQF6	E9PU02	E1BG06	F1PIQ7
O00273	O35345	B2GV14	F1MHT1	F1PLM8
Q71U36	P25799	P63086	F1MLG0	F1P861
P04626	Q9ERG0	P18418	G5E5C4	E2RSU7
Q9Y5J1	Q9Z2W1	F1M8V2	E1BNY8	F1P658
O75400	Q9WTU6	Q91XJ1	Q2KHT6	F1Q279
P18583	Q4VGL6	A0A0G2JSQ6	P29172	J9P3G6
P48730	Q80Y86	B0K026	E1BGU8	F1P892
P56645	Q8BJF9	G3V946	F6QCI5	E2RCR3
P46781	P61979	F2Z3T9	A7MBG8	E2R6Q2
P60866	P62702	P12785	Q3ZBH9	E2RMN1
O95166	Q02248	P46462	A6QLQ0	E2R1V2
P19474	Q8CGY8	Q64350	Q3T147	E2RDF9
Q9BVL2	Q9D7X1	P15387	-	-
Q9H1M0	Q9CPR4	D3ZCL3	A4IF63	F1PRT7
Q8TBE0	Q8CA04	P0C279	F1MZB7	E2RKP1
P56749	E9Q286	-	-	-
O95990	Q3U3S3	D4ADU2	F1MJV6	E2RG75
Q8N635	G3X8Q8	P07308	A7E3L4	E2RQB9
O15084	P27601	Q7M0E7	E1BL95	F1PY24
Q14315	Q9CXU9	A0A0G2K5E4	P43249	E2RGN7
O43324	Q9CQJ6	-	-	-
Q96JM3	Q8BMQ8	P28023	F1N7X6	J9NSI2
O43143	Q7TPR4	Q5EB98	Q3T0P6	F1PXP9
P06702	Q8BG60	Q7TP77	-	-
P05067	P62259	P35739	Q3ZCE2	J9P9V0
Q6E0U4	Q8BWD8	D3ZRD9	Q32LJ2	E2RDL6
O95997	Q6RHW0	Q6P4Z9	A6QLF6	J9P5X6
P52948	Q6P1G2	D4A3Q3	G3MZU4	F1PWU8
P62068	Q8K2P1	D3ZJC1	F1MUW3	E2QVP2
P62987	Q07832	G3V9A3	F1MY28	F1PDV9
P27635	Q8C2Q3	M0RCY2	P61286	F1P9J3
P46087	P62245	A0A0G2JWX1	F1MI47	F2Z4N5
Q9H4B6	Q6P5H2	O35867	E1BKT3	E2R7M4
Q9Y566	Q9CQE9	-	-	-
Q9Y3I1	A0A0G2JE09	P04639	F1MIB2	E2R501
O43390	D3YZV8	B0BN81	Q9XSB5	E2R1V1
P43243	Q62376	Q9Z118	F1MQ37	F1PCU1
P50402	Q8VDP4	D3ZI16	F1MTG9	F1PUT6
P86479	A0A0R4J1Y0	A0A0G2K9B2	-	-
P10809	Q8BTS0	D3ZVH2	F1MMA0	F6XRY2
P78371	A0A0R4J187	Q4G061	Q2HJ60	F1PR36
Q99437	Q8C015	Q75PQ8	E1B8N9	E2QUV3
Q00537	Q3TWI9	P24155	F1N7I6	F1PHQ7
Q9UHV9	Q3TBT3	G3V9T0	F1MYM9	F6UUY0
O14641	O55042	A0A0G2K8W9	F6R1H3	F1Q1K6
Q66PJ3	Q6ZQF0	P50475	Q3ZBQ7	F6Y290
P05388	E9QNN1	A0A0G2K719	-	-
P24534	P05213	G3V6J2	G3N3B7	E2RJ76
P09914	P03958	D4A7E7	F1MG14	H9GWC0
P60228	Q9Z0E3	F1LT09	G3N3R9	F1Q3G5
O75570	P97440	A0A0G2K3F6	A5PJY4	J9P7J7
Q9HCE1	P62960	P62994	Q76LV2	E2R0T6
Q9NPA3	Q5SUD9	A0A096MJF7	P48617	F1Q0F2
Q9UMX9	Q9D1H9	A0A0G2K8N6	F1MQ47	E2RK27
Q8TC92	Q8BHP7	Q9Z0X2	-	-
Q9Y2T6	E9Q5I3	D3ZDR5	A0A140T8A1	E2RK48
Q07001	Q99ME6	D3ZSY8	E1BDA3	E2RGA0
Q6T4P5	Q9R0A5	F1LSN8	Q3SZL9	J9NVF9
Q15427	Q9Z1B7	P21531	P68102	E2RTC5
Q9Y4P3	Q7TNP2	D3ZT52	Q2KII9	F6XWQ1
O00744	Q8C790	Q6AYA4	-	-
O75170	Q8BHW6	F1LQS6	O97790	F1PX05
Q96FV9	Q99MQ3	P50545	Q3SZC4	-
Q96QD9	Q3TIX6	Q68FP1	O77628	E2RMP3
Q3LI72	E9PWB8	Q5XIC8	F1MFD9	A0A0B4J199
P61313	P26369	P19139	P09867	E2RBC3
P63173	Q3TCH7	O54857	E1BJ64	E2R3R6
Q9NP64	P34057	P25110	Q3ZCK2	E2R8Z4
Q9UQ35	Q8CG73	Q5PQK2	E1B8L7	F6V8G4
P35908	Q8VE37	F7EZZ0	Q3ZCM0	E2RML9
Q13618	P63101	A0A0G2K5U0	F1N7F3	E2R6T4
Q15717	Q80V62	B5DF91	Q08DH1	E2R9K4
Q96A54	Q8C7B6	A0A0G2K3A4	A8E4M8	E2RES7
P40259	Q8BPB0	A0A0G2JY41	E1BJH1	E2R123
Q92783	P54754	M0R9I6	A2VDT9	E2REX0
P62140	F8VQ87	A0A0G2K098	F1MCH0	E2RFI6
Q14160	Q99P88	D4A206	P68530	E2R9D7
P0CG47	P54823	P21708	F1MLK9	F1PCD0
Q7L4E1	Q8BUJ9	Q9Z143	F1MI37	E2QTP4
Q15398	Q02780	F1M7V4	F1MXE6	F6XKS7
P05362	Q8CJG0	Q9QXQ0	F1MHN4	E2RL81
P16989	P70333	-	-	-
Q15020	Q9Z255	Q5RK08	F1MPQ0	J9PAW2
Q9Y333	E9Q492	-	-	-
Q6P4R8	Q9Z1Y9	D3ZC52	F1MPP3	F1P9W8
Q6PI98	A0A0R4J0C6	G3V7X2	Q28055	F1PHQ2
P52757	Q01097	D3ZXF9	Q5BIS9	F1PB61
P23458	Q8K3K8	B2RYD0	F2Z4H6	E2R4P3
Q9UNL2	Q80X66	-	-	-
A1L188	Q9CWQ2	D3ZDR9	E1BFC3	J9P3S8
O75439	Q9Z110	P04906	Q2KIV3	P61007
Q5RL73	Q8C4Q6	A0A0G2K7H5	F1MRY0	F1Q4K4
Q99963	Q99J23	-	-	-
P52815	Q149C2	P11530	G3X8E4	E2RDN1
Q8N3Z3	G5E8H1	Q4V7F2	E1BHE5	F1PUC7
P38919	P51881	O88791	F1MNA5	E2RP05
Q9UKV8	P80316	A0A0G2K761	A6H7F8	F6V263
O75792	P09671	D3Z8C4	-	-
P62807	P63260	P39948	Q3SZ00	E2R5V6
P62273	Q9JJI8	Q5U2Y1	Q2KI22	E2RHX1
Q9NY93	Q8R016	Q5U2X6	F1N6D3	F1PIZ0
