IIDdog.gw	IIDcow.gw	IIDrat.gw	IIDmouse.gw	IIDhuman_exp.gw
E2R9K4	P62261	P62260	Q61510	Q9BY07
F1P603	F1MC14	P17325	Q3UFB7	O75635
E2R8D6	A0A140T856	D3ZVN8	P19096	Q96IV6
F1PSC4	E1BE98	P62994	P05627	O95153
E2R2I2	F1N441	D3ZAE3	Q02591	Q9Y2P4
J9NWY6	E1B738	F1M9G6	Q8VHK5	Q7RTV0
F1PTE2	P63103	B5DF02	Q80V62	Q13228
F1PGY8	F1N1E3	Q5PPP3	Q8K2Q7	Q96E52
F1PBJ3	Q5E9Y0	B5DF45	P97310	O95936
F1P7T4	F1N7F3	P10361	P11276	Q6IAM0
F6V0I8	Q2HJ27	A0A0G2JZG2	Q8VEK3	Q9BRQ3
J9P9V0	A6QLA8	P08592	Q01279	B2R6D7
J9NTU3	F1MZA9	A0A0G2JUT7	Q9CXT7	Q9BZ23
F1PU58	Q08DH1	P35213	P02340	Q08623
E2RDE8	Q2KJC1	D3ZP96	P97377	A0JLT9
E2RR01	F1MKZ7	P62138	Q8BKJ9	Q9Y3M9
F1PEC0	F1N3P6	F1LTJ8	Q66LM6	Q86WR0
F6XBZ5	Q3SZ25	F1MA52	Q9JLV5	P49790
E2R8Q4	E1BL63	Q9QUH6	Q3V140	O75712
E2R000	G5E5A9	G3V8T5	Q6ZQ38	O43684
F1PGH2	Q27974	P20280	Q8JZV7	Q9HCL0
F1PKW7	E1BK00	P67874	Q80TQ2	Q9UMK6
F1P9K0	F1N3G8	Q6AYA8	Q6PDE8	O95833
F1PYS6	G3MX34	B0BN48	P97504	Q9P2K3
E2RB63	Q3SWZ6	G3V6I1	Q7TMF3	P82094
F1PIC7	F1N506	G3V8L3	P0CG50	Q2KHM9
E2RA07	E1B8D6	Q6IMY8	P62908	Q8WXX7
E2R6T4	F1MYX8	B5DF91	P11499	P35268
F1PI27	Q76LV2	A0A096P6L8	D3YZV8	Q9BW72
E2RBF4	F1MKR0	Q3SWT5	Q8BFP9	Q9BQB4
A0A0A0MPD2	G3MYH4	Q99J82	Q9Z1M4	Q9UQN3
F1PLS4	Q3ZBH9	F1LQH2	P47911	Q3KP66
F1PW15	F1MBP8	A0A0G2JTP3	Q02248	Q6PIV2
F1PP86	G3N0Q3	P47196	Q8VEE4	P56282
F1PR36	F6R1H3	A0A0G2KB98	P17426	Q13017
F1PSQ3	Q3ZBH0	P62986	P35980	Q8IXT2
E2RE47	Q05B85	D3ZAH4	G3X959	P04066
E2R0T6	F1MFT4	P68255	P48678	P46091
F1PHH4	E1B8P9	Q5U3Z7	Q9Z108	Q9GZT4
F1PR47	F1MP07	Q4QQW4	P99024	Q15849
E2RQC9	G3N262	P68511	P58252	Q9UI32
F1P624	A6QLQ0	P19357	P60710	Q96A84
F1PAR0	F1MNA5	Q9ET50	Q9D8N0	Q9UKP5
F1PBF1	E1B9T7	D3Z8G3	Q9CXY6	Q9HCJ0
J9NV67	Q0VCV0	Q0VGK0	Q08460	Q14966
F1PQQ3	F1MNX2	F1LQR5	Q8VCK5	P11908
E2QZG2	Q3SYU2	A0A0G2K4U6	B2RQC6	Q6ZVZ8
F1PFE3	G3N0H1	B1WBR3	Q8CGJ5	Q6ZMS7
L7N0I6	E1BJQ3	G3V975	Q8BFW3	Q3SY84
E2R0D1	E1BEB8	Q3KR94	P70671	Q7Z7B0
J9NXM2	P26452	F1LR10	P11440	Q8TEQ8
F6UZ83	Q24K09	Q561Q8	P54822	P10114
F1PPZ5	P68138	Q6P9V1	Q91YN9	Q8IYA7
F1PJT2	F1MVC0	D3ZTN0	P14131	H7C1Q1
F1PDG4	G5E577	P61980	Q7TSJ6	Q96JC9
E2RLQ9	A0A140T861	Q7TP47	P49817	Q92784
