mm7412 ENSMUSG00000040471
mm7413 ENSMUSG00000045515
mm7410 ENSMUSG00000022329
mm7411 ENSMUSG00000029771
mm7416 ENSMUSG00000035948
mm7417 ENSMUSG00000040164
mm7414 ENSMUSG00000036813
mm7415 ENSMUSG00000061664
mm8691 ENSMUSG00000025873
mm8690 ENSMUSG00000038806
mm7418 ENSMUSG00000024777
mm7419 ENSMUSG00000044624
mm8695 ENSMUSG00000022037
mm8694 ENSMUSG00000064289
mm8697 ENSMUSG00000021186
mm8696 ENSMUSG00000061651
mm10938 ENSMUSG00000032079
mm10939 ENSMUSG00000050528
mm10934 ENSMUSG00000032415
mm10935 ENSMUSG00000027509
mm10936 ENSMUSG00000051469
mm10937 ENSMUSG00000041481
mm10930 ENSMUSG00000048039
mm10931 ENSMUSG00000031986
mm10932 ENSMUSG00000044026
mm10933 ENSMUSG00000036961
mm2464 ENSMUSG00000033628
mm2465 ENSMUSG00000022833
mm2466 ENSMUSG00000053289
mm2467 ENSMUSG00000001227
mm2460 ENSMUSG00000022791
mm2461 ENSMUSG00000069204
mm2462 ENSMUSG00000017264
mm2463 ENSMUSG00000056592
mm2468 ENSMUSG00000027115
mm2469 ENSMUSG00000039852
mm23046 ENSMUSG00000067585
mm23047 ENSMUSG00000053155
mm23044 ENSMUSG00000069382
mm23045 ENSMUSG00000036781 ENSMUSG00000050621
mm16198 ENSMUSG00000032572
mm16199 ENSMUSG00000019782
mm23040 ENSMUSG00000067816
mm23041 ENSMUSG00000043982
mm16194 ENSMUSG00000022523
mm16195 ENSMUSG00000064292
mm16196 ENSMUSG00000056364
mm16197 ENSMUSG00000044915
mm16190 ENSMUSG00000039601
mm16191 ENSMUSG00000025499
mm16192 ENSMUSG00000029346
mm16193 ENSMUSG00000003923
mm22795 ENSMUSG00000020219
mm22794 ENSMUSG00000068728
mm22797 ENSMUSG00000055385
mm8692 ENSMUSG00000008167
mm22791 ENSMUSG00000050074
mm22790 ENSMUSG00000062784
mm22793 ENSMUSG00000048360
mm22792 ENSMUSG00000062913
mm15686 ENSMUSG00000054236
mm22799 ENSMUSG00000047706
mm22798 ENSMUSG00000044330
mm12473 ENSMUSG00000037904
mm12472 ENSMUSG00000017195
mm12471 ENSMUSG00000056351
mm12470 ENSMUSG00000032744
mm12477 ENSMUSG00000057861
mm12476 ENSMUSG00000021615
mm12475 ENSMUSG00000042654
mm12474 ENSMUSG00000047841
mm12479 ENSMUSG00000042429
mm12478 ENSMUSG00000036602
mm8343 ENSMUSG00000030560
mm8342 ENSMUSG00000041245
mm5117 ENSMUSG00000042661
mm5116 ENSMUSG00000018678
mm5111 ENSMUSG00000057842
mm8346 ENSMUSG00000053897
mm5113 ENSMUSG00000038756
mm8344 ENSMUSG00000049439
mm8349 DIP:78N
mm8348 ENSMUSG00000027481
mm5119 ENSMUSG00000015971
mm5118 ENSMUSG00000006784
mm4448 ENSMUSG00000030104
mm4449 ENSMUSG00000047787
mm14132 ENSMUSG00000046245
mm14133 ENSMUSG00000046796
mm14134 ENSMUSG00000056828
mm14135 ENSMUSG00000039854
mm14136 ENSMUSG00000028348
mm14137 ENSMUSG00000059362
mm4440 ENSMUSG00000021747
mm4441 ENSMUSG00000030203
mm4442 ENSMUSG00000018765
mm4443 ENSMUSG00000030281
mm4444 ENSMUSG00000068649
mm4445 ENSMUSG00000030811
mm4446 ENSMUSG00000031451
mm4447 ENSMUSG00000020599
mm4992 ENSMUSG00000051506
mm4993 ENSMUSG00000048519
mm4990 ENSMUSG00000026994
mm4991 ENSMUSG00000059970
mm4996 ENSMUSG00000042564
mm4997 ENSMUSG00000066037
mm4994 ENSMUSG00000055675
mm4995 ENSMUSG00000013523
mm4998 ENSMUSG00000022526
mm4999 ENSMUSG00000035045
mm23042 ENSMUSG00000056978
mm23043 ENSMUSG00000026810
mm9908 ENSMUSG00000056055
mm9909 ENSMUSG00000038569
mm9902 ENSMUSG00000022885
mm9903 ENSMUSG00000060264
mm9900 ENSMUSG00000004609
mm9901 ENSMUSG00000020911
mm9906 ENSMUSG00000002825
mm9907 ENSMUSG00000034317
mm9904 ENSMUSG00000057111 ENSMUSG00000068262 ENSMUSG00000060036
mm9905 ENSMUSG00000047025
mm19560 ENSMUSG00000055895
mm19561 ENSMUSG00000069739 ENSMUSG00000066570
mm19562 ENSMUSG00000066582 ENSMUSG00000068903
mm19563 ENSMUSG00000043192
mm19564 ENSMUSG00000066657
mm19565 ENSMUSG00000021550
mm15269 ENSMUSG00000049902
mm15268 ENSMUSG00000034686
mm15267 ENSMUSG00000024181
mm15266 ENSMUSG00000025528
mm15265 ENSMUSG00000023027 ENSMUSG00000055574
mm15264 ENSMUSG00000056966
mm15263 ENSMUSG00000046898
mm15262 ENSMUSG00000051101
mm15261 ENSMUSG00000022676
mm15260 ENSMUSG00000049413
mm24461 ENSMUSG00000066144
mm22796 ENSMUSG00000065982
mm24460 ENSMUSG00000069923
mm24463 ENSMUSG00000067213
mm7107 ENSMUSG00000050108
mm24108 ENSMUSG00000067687
mm24109 ENSMUSG00000067841
mm24106 ENSMUSG00000067380
mm24107 ENSMUSG00000069621
mm24104 ENSMUSG00000067826
mm24105 ENSMUSG00000069151
mm24102 ENSMUSG00000054435
mm24103 ENSMUSG00000066638
mm24100 ENSMUSG00000066290
mm24101 ENSMUSG00000067540
mm21556 ENSMUSG00000068941 ENSMUSG00000066359
mm21557 ENSMUSG00000062277
mm21554 ENSMUSG00000066671
mm10168 ENSMUSG00000024878
mm21552 ENSMUSG00000031950 ENSMUSG00000067744
mm21553 ENSMUSG00000060986
mm21550 ENSMUSG00000030590
mm21551 ENSMUSG00000030037
mm10163 ENSMUSG00000031591
mm10162 ENSMUSG00000054128
mm10161 ENSMUSG00000027358
mm10160 ENSMUSG00000043462
mm10167 ENSMUSG00000047759
mm10166 ENSMUSG00000033427
mm21558 ENSMUSG00000054883
mm10164 ENSMUSG00000004936 DIP:467N
mm20685 ENSMUSG00000055458
mm20684 ENSMUSG00000069303 ENSMUSG00000069307
mm20687 ENSMUSG00000049960
mm20686 ENSMUSG00000036850
mm20681 ENSMUSG00000056445
mm20680 ENSMUSG00000066211 ENSMUSG00000066202
mm20683 ENSMUSG00000027533 ENSMUSG00000063266
mm20682 ENSMUSG00000048070
mm20689 ENSMUSG00000059662
mm20688 ENSMUSG00000057857
mm21880 ENSMUSG00000051234
mm21881 ENSMUSG00000006941
mm21882 ENSMUSG00000061626
mm21883 ENSMUSG00000041881
mm21884 ENSMUSG00000055045
mm21885 ENSMUSG00000067555
mm21886 ENSMUSG00000028475
mm21887 ENSMUSG00000052122
mm21888 ENSMUSG00000055015
mm21889 ENSMUSG00000069748
mm11458 ENSMUSG00000021809
mm11459 ENSMUSG00000051950
mm11452 ENSMUSG00000025405
mm11453 ENSMUSG00000017697
mm652 ENSMUSG00000052854
mm653 ENSMUSG00000001506
mm650 ENSMUSG00000010342
mm651 ENSMUSG00000053141
mm656 ENSMUSG00000034269
mm657 ENSMUSG00000021709
mm654 ENSMUSG00000032525
mm655 ENSMUSG00000024483
mm658 ENSMUSG00000030131
mm659 ENSMUSG00000034021
mm22962 ENSMUSG00000047700
mm22963 ENSMUSG00000067098
mm22960 ENSMUSG00000050406
mm22961 ENSMUSG00000061438
mm22966 ENSMUSG00000067787
mm22967 ENSMUSG00000048303
mm22964 ENSMUSG00000062691
mm22965 ENSMUSG00000026650
mm22968 ENSMUSG00000058943
mm22969 ENSMUSG00000044600
mm17328 ENSMUSG00000032606
mm17329 ENSMUSG00000009075
mm17320 ENSMUSG00000000724
mm17321 ENSMUSG00000062637
mm17322 ENSMUSG00000027879
mm17323 ENSMUSG00000031064
mm17324 ENSMUSG00000063821
mm17325 ENSMUSG00000000711
mm17326 ENSMUSG00000032184
mm17327 ENSMUSG00000024725
mm18318 ENSMUSG00000038500
mm18319 ENSMUSG00000043284
mm18310 ENSMUSG00000069052
mm18311 ENSMUSG00000020810
mm18312 ENSMUSG00000052730
mm18313 ENSMUSG00000054190
mm18314 ENSMUSG00000032245
mm18315 ENSMUSG00000030511
mm18316 ENSMUSG00000057338
mm18317 ENSMUSG00000053548
mm14677 ENSMUSG00000036944
mm14676 ENSMUSG00000059774
mm14675 ENSMUSG00000068897
mm14674 ENSMUSG00000016505
mm14673 ENSMUSG00000024730
mm14672 ENSMUSG00000041025
mm14671 ENSMUSG00000051335
mm14670 ENSMUSG00000039232
mm14679 ENSMUSG00000057605
mm14678 ENSMUSG00000059208
mm19047 ENSMUSG00000019815
mm19046 ENSMUSG00000028865
mm19045 ENSMUSG00000057173
mm19044 ENSMUSG00000068219
mm19043 ENSMUSG00000037788
mm19042 ENSMUSG00000002014
mm19041 ENSMUSG00000057356 ENSMUSG00000060126 ENSMUSG00000059252
mm19040 ENSMUSG00000045012
mm19049 ENSMUSG00000018543
mm19048 ENSMUSG00000046718
mm4158 ENSMUSG00000033688
mm1387 ENSMUSG00000033210
mm4156 ENSMUSG00000045934
mm15682 ENSMUSG00000031590
mm4157 ENSMUSG00000026509
mm5115 ENSMUSG00000014781
mm5114 ENSMUSG00000031645
mm8341 ENSMUSG00000023965
mm8340 ENSMUSG00000037169
mm8347 ENSMUSG00000006458
mm5110 ENSMUSG00000048812
mm8345 ENSMUSG00000021057
mm5112 ENSMUSG00000069249
mm515 ENSMUSG00000034295
mm514 ENSMUSG00000042807
mm517 ENSMUSG00000020026
mm516 ENSMUSG00000042446
mm511 ENSMUSG00000025195
mm510 ENSMUSG00000034730
mm513 ENSMUSG00000036935
mm512 ENSMUSG00000039840
mm519 ENSMUSG00000021782
mm518 ENSMUSG00000022973
mm14700 ENSMUSG00000068426
mm9409 ENSMUSG00000024604
mm9408 ENSMUSG00000039033
mm3197 DIP:6004N ENSMUSG00000046876
mm14130 ENSMUSG00000069288
mm3195 ENSMUSG00000024431
mm3194 ENSMUSG00000027006
mm3193 ENSMUSG00000026565
mm3192 ENSMUSG00000023186
mm3191 DIP:280N ENSMUSG00000015522
mm3190 ENSMUSG00000031826
mm3199 ENSMUSG00000048347
mm3198 ENSMUSG00000043857
mm1902 ENSMUSG00000033777
mm1903 ENSMUSG00000042625
mm1900 ENSMUSG00000032846
mm1901 ENSMUSG00000000632
mm1906 ENSMUSG00000025105
mm1907 ENSMUSG00000048799
mm1904 ENSMUSG00000022098
mm1905 ENSMUSG00000042817
mm1908 ENSMUSG00000032217
mm1909 ENSMUSG00000036104
mm1658 ENSMUSG00000003863
mm14138 ENSMUSG00000014529
mm1659 ENSMUSG00000027087
mm14139 ENSMUSG00000020847
mm15942 ENSMUSG00000044017
mm15943 ENSMUSG00000048482 DIP:5724N
mm10716 ENSMUSG00000042250
mm15941 ENSMUSG00000019873
mm10710 ENSMUSG00000066900
mm1650 ENSMUSG00000023008
mm10711 ENSMUSG00000020484
mm1651 ENSMUSG00000022325
mm15944 ENSMUSG00000050640
mm15945 ENSMUSG00000068703 ENSMUSG00000069542
mm2244 ENSMUSG00000067910 ENSMUSG00000066085 ENSMUSG00000067183 ENSMUSG00000069965 ENSMUSG00000066618 ENSMUSG00000069330
mm2245 ENSMUSG00000022105
mm2246 ENSMUSG00000040389
mm2247 ENSMUSG00000028245
mm2240 ENSMUSG00000039637
mm2241 ENSMUSG00000009614
mm2242 ENSMUSG00000026147
mm2243 ENSMUSG00000005611
mm2248 ENSMUSG00000011256
mm2249 ENSMUSG00000001441
